year,2015,2016,2017,2018,2019,2020,2021,2022,2023
total_pop,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E
eighteen_plus,DP05_0018E,DP05_0018E,DP05_0021E,DP05_0021E,DP05_0021E,DP05_0021E,DP05_0021E,DP05_0021E,DP05_0021E
sixty_five_plus,DP05_0021E,DP05_0021E,DP05_0029E,DP05_0029E,DP05_0029E,DP05_0029E,DP05_0029E,DP05_0029E,DP05_0029E
nonhisp_white_perc,DP05_0072PE,DP05_0072PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0077PE,DP05_0079PE,DP05_0082PE
hisp_perc,DP05_0066PE,DP05_0066PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0071PE,DP05_0073PE,DP05_0076PE
nonhisp_black_perc,DP05_0073PE,DP05_0073PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0078PE,DP05_0080PE,DP05_0083PE
two_plus_races_perc,DP05_0053PE,DP05_0053PE,DP05_0058PE,DP05_0058PE,DP05_0058PE,DP05_0058PE,DP05_0058PE,DP05_0058PE,DP05_0061PE
nonhisp_asian_perc,DP05_0075PE,DP05_0075PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0080PE,DP05_0082PE,DP05_0085PE
