year,2015,2016,2017,2018,2019,2020,2021,2022,2023
hs_incomp_25_plus,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E,S1501_C01_008E
hs_grad_25_plus,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E,S1501_C01_009E
bach_grad_25_plus,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E,S1501_C01_012E
perc_bach_grad_and_above,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E,S1501_C02_015E
