civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
3495,2316,13092,62.7,30.1,3804,12879,1008,70.1,601
11536,1927,16358,51.1,23.5,11112,26966,2249,54.7,602
12400,3124,16603,51.3,20.0,16048,31689,2516,62.6,603
1355,230,12832,64.7,18.8,1629,5004,197,67.7,606
8464,1290,19309,43.5,18.1,9950,17595,1023,48.8,610
15455,3675,18171,47.5,25.6,20927,40275,2841,58.5,612
3120,595,16018,50.2,26.0,4339,7081,551,44.3,616
5835,1339,16735,49.6,26.0,8388,15621,1379,58.9,617
1286,255,15206,51.0,33.3,2678,4236,377,54.7,622
10922,1736,16280,53.5,24.6,17293,27871,1811,54.9,623
5596,1661,17578,55.5,27.5,6146,16504,710,62.7,624
8543,1628,16831,50.2,29.5,8771,23107,1516,63.5,627
394,196,9681,65.1,34.5,265,1274,80,79.2,631
5698,1166,16887,47.1,26.2,7427,15013,1360,41.1,637
3209,847,14916,56.3,37.8,4699,13250,603,65.2,638
6168,2596,16795,51.9,35.2,7225,19484,1801,58.8,641
11617,3336,29320,34.5,33.5,17788,19672,1717,32.6,646
1104,482,13674,62.6,29.2,1218,4529,148,90.2,647
3950,788,19631,52.3,26.4,4911,10060,514,62.3,650
959,153,21650,43.9,23.5,1543,2414,173,56.8,652
2329,997,12915,64.4,18.9,2128,8744,568,71.3,653
4663,1373,16902,55.7,24.0,6280,13156,647,71.1,656
12069,915,17201,46.5,27.5,14208,25474,2043,53.7,659
4781,1439,19394,40.8,21.9,6514,10531,742,48.7,660
10134,2335,17180,54.5,24.5,11714,27968,2505,60.1,662
3361,946,15253,60.6,24.3,3208,11029,949,71.0,664
4647,1241,13766,61.0,26.0,6880,17896,1223,73.7,667
6282,2409,14816,54.9,34.9,6467,18422,1422,58.7,669
2177,70,13427,56.5,28.8,2460,6087,248,69.5,670
11062,2289,19211,45.9,25.0,13450,25588,2840,50.7,674
9017,3235,14146,57.3,24.5,10258,26413,1599,63.8,676
4572,497,21673,42.1,21.9,5171,9569,601,48.0,677
7468,1022,16200,52.0,27.3,6785,19516,1106,60.5,678
11511,3898,13911,52.2,23.2,15618,32037,2202,68.1,680
7738,3004,15029,54.2,21.1,13119,19672,2035,63.8,682
7860,667,15523,52.8,24.8,9711,21806,1310,66.7,683
8598,3001,14617,55.1,28.6,9326,27845,2403,63.1,685
8586,2253,20589,45.5,35.4,8685,22258,1747,53.4,687
3360,487,17231,50.1,28.8,4654,7358,875,64.3,688
1451,420,17622,51.2,30.4,2064,3489,182,64.6,690
9499,2377,19094,47.3,34.1,12417,22535,1777,57.7,692
14490,3376,19119,45.4,29.7,18236,34680,3784,48.2,693
0,0,-,34.8,-,0,69,0,-,694
8918,2222,15019,48.3,23.2,10863,25168,1927,53.7,698
7519,1701,17129,51.3,31.8,9072,17840,1874,65.3,703
2296,258,14293,62.0,23.8,2218,6306,109,75.5,704
6466,376,19516,46.6,25.5,6528,16788,682,59.4,705
2183,822,19596,48.9,30.8,2897,8160,538,57.5,707
3701,510,17095,57.8,21.3,4305,14216,539,60.7,714
640,222,13070,65.4,23.3,604,2444,77,84.2,715
7072,1243,18818,47.5,22.1,9238,19431,1516,63.1,716
3803,893,12251,57.8,19.5,4818,12295,631,71.4,717
6903,808,19318,49.5,31.8,7829,17635,1232,58.2,718
7680,2406,19757,45.4,34.1,10963,19304,1271,50.2,719
4315,2255,13408,57.4,34.3,4829,17089,476,67.2,720
4071,955,15826,53.1,29.6,4339,13059,623,56.4,723
26870,5189,20920,41.5,31.1,31982,48674,5003,49.9,725
21098,2424,31401,31.5,32.7,27866,26892,3219,36.7,727
11308,1661,19047,49.0,22.7,13107,24833,1867,62.2,728
16184,4867,20920,42.9,35.3,20239,28414,5020,50.9,729
7709,1594,15431,55.1,22.8,9576,21818,1790,68.0,730
3657,445,17083,53.7,28.5,3972,8273,832,66.9,731
3668,475,19184,43.7,25.3,4940,8208,564,55.5,735
14769,1608,21000,43.9,27.7,20311,27882,3466,55.3,736
9424,3619,19404,43.2,27.3,10790,18710,2667,51.2,738
11297,2266,20098,41.9,30.9,15491,23137,1734,47.3,739
403,270,13136,66.0,19.3,283,1223,140,88.3,740
1353,497,22073,45.6,23.8,1388,3460,381,64.9,741
16941,5071,22782,38.3,38.0,21399,28435,3372,43.0,745
5738,503,17567,51.4,24.8,5709,15202,1071,57.8,751
11335,1161,18895,44.9,37.0,13048,24080,1939,53.9,754
7671,707,17640,47.1,24.2,7658,13504,1646,55.4,757
2440,435,15271,41.6,14.3,2707,5637,936,66.7,765
6722,1999,19746,48.4,28.9,6861,15874,1125,62.0,766
8044,2809,15999,53.5,30.5,9498,24082,1693,59.1,767
11633,923,19928,46.9,25.9,13503,25602,1760,49.2,769
10254,2347,21499,43.7,27.7,13784,23285,1975,46.0,771
5151,2219,15658,56.2,34.9,5361,14054,1530,65.3,772
