housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
4967,3551,1416,818,161400,1119
1085,1038,47,1671,200400,1128
2541,1959,582,1157,170800,1129
3589,1720,1869,1042,151700,1151
0,0,0,-,-,1199
19745,12582,7163,908,178500,1201
3999,2364,1635,779,161600,1220
301,278,23,-,250600,1222
1155,1071,84,1243,283200,1223
73,62,11,-,225700,1224
1534,1246,288,1095,199400,1225
3127,2396,731,881,244200,1226
28,21,7,-,425000,1229
3500,2582,918,918,378200,1230
1037,857,180,775,192400,1235
562,367,195,1282,294400,1236
1078,975,103,1500,254900,1237
2329,1790,539,1021,291500,1238
2105,1342,763,1022,340300,1240
128,104,24,-,189600,1242
133,127,6,-,236200,1243
53,41,12,-,420800,1244
382,356,26,1208,443700,1245
6521,4126,2395,788,154900,1247
408,347,61,-,279000,1253
427,413,14,1625,479700,1254
316,313,3,-,266500,1255
316,301,15,642,193400,1256
944,778,166,925,329100,1257
211,176,35,879,493900,1258
287,261,26,1094,378900,1259
87,66,21,-,666700,1260
450,254,196,781,484600,1262
82,61,21,1000,416700,1264
550,478,72,1568,375300,1266
2411,1770,641,955,331700,1267
368,368,0,-,303400,1270
8248,4519,3729,882,198000,1301
752,630,122,788,325200,1330
5269,3916,1353,841,182400,1331
1030,841,189,888,258100,1337
50,50,0,-,233300,1338
601,532,69,850,223600,1339
740,599,141,994,221700,1340
776,665,111,1282,341800,1341
408,314,94,1725,270700,1342
33,24,9,-,245500,1343
550,422,128,818,208200,1344
248,244,4,-,233000,1346
76,53,23,-,157400,1347
461,381,80,1037,201500,1349
48,36,12,920,122200,1350
1057,821,236,1041,268000,1351
591,477,114,1050,255900,1354
412,354,58,892,258800,1355
1278,1076,202,796,244300,1360
3036,2121,915,862,167700,1364
472,427,45,1250,297500,1366
205,188,17,1250,230300,1367
539,452,87,852,271600,1368
1754,1200,554,881,284400,1370
2186,1804,382,996,329400,1373
1606,653,953,1462,324600,1375
2285,1150,1135,918,204900,1376
315,295,20,1375,254200,1378
379,317,62,1172,213600,1379
15555,8279,7276,964,216500,1420
2103,1935,168,1544,277400,1430
1261,1177,84,1083,272500,1431
3424,2232,1192,1172,335900,1432
286,251,35,-,329000,1434
1207,958,249,-,245900,1436
211,189,22,-,184400,1438
8535,4739,3796,867,192500,1440
3944,3511,433,1313,487100,1450
1486,1405,81,1211,617200,1451
1761,1567,194,1024,289400,1452
17019,10298,6721,1006,261700,1453
3501,3110,391,1595,476800,1460
4342,3595,747,1689,326400,1462
4571,3617,954,1071,364700,1463
2578,2041,537,871,307700,1464
147,147,0,-,529600,1467
1591,1447,144,1151,258800,1468
2913,2421,492,996,299900,1469
3067,2658,409,1037,303100,1473
658,620,38,1667,312800,1474
3942,2894,1048,822,220300,1475
6618,5728,890,926,274800,1501
1291,1083,208,1072,438200,1503
3767,2901,866,945,287400,1504
1818,1477,341,1171,441300,1505
1368,1196,172,903,225900,1506
4861,3854,1007,1015,317800,1507
5864,3191,2673,1121,269700,1510
843,649,194,906,255000,1515
3174,2492,682,1168,336600,1516
1376,1015,361,1062,330500,1518
2605,1904,701,1679,385300,1519
5893,5170,723,1180,344200,1520
1041,907,134,1270,251000,1521
1183,999,184,949,300200,1522
2633,2112,521,1510,369500,1523
2363,1893,470,870,286700,1524
123,25,98,983,-,1525
5147,3829,1318,1187,291800,1527
1305,1092,213,1119,332300,1529
449,376,73,925,304400,1531
5444,4463,981,2008,451100,1532
2347,1816,531,777,354700,1534
1874,1269,605,840,250500,1535
2759,2077,682,902,361200,1536
954,689,265,1044,260700,1537
4074,3200,874,947,271900,1540
1267,1194,73,746,393700,1541
968,852,116,1385,277400,1542
2879,2461,418,1046,326100,1543
13753,10055,3698,1534,434000,1545
6760,3167,3593,917,214500,1550
1816,1188,628,1124,371600,1560
31,31,0,-,-,1561
5114,3320,1794,856,281100,1562
3143,2918,225,1327,367500,1564
2350,2176,174,1410,290400,1566
2753,2435,318,905,483800,1568
5360,4204,1156,1272,336100,1569
6987,3899,3088,917,260000,1570
4103,2826,1277,1004,274300,1571
6950,4300,2650,1692,482400,1581
2614,2213,401,981,300400,1583
1923,1454,469,912,263000,1585
3945,2306,1639,1031,310700,1588
3338,3050,288,1212,365900,1590
9820,6107,3713,1272,254800,1602
6919,3121,3798,1052,213100,1603
15426,7006,8420,1192,237600,1604
10702,3023,7679,1062,228800,1605
8328,5327,3001,1210,244700,1606
3751,1360,2391,1063,217900,1607
1881,186,1695,1088,253300,1608
7816,2972,4844,1067,325400,1609
7715,1279,6436,1084,190400,1610
751,582,169,893,246700,1611
1621,1463,158,1107,349000,1612
13503,10496,3007,1622,455700,1701
14926,5440,9486,1363,385900,1702
209,133,76,-,248900,1718
2259,1578,681,1285,586200,1719
8527,6141,2386,1512,598700,1720
7124,5647,1477,1851,418600,1721
5286,3804,1482,2031,695400,1730
531,0,531,3135,-,1731
1777,1679,98,-,578100,1740
1775,1656,119,1115,855000,1741
6464,4793,1671,2213,907700,1742
246,169,77,1613,409700,1745
5452,4899,553,971,466500,1746
2073,1684,389,1332,354600,1747
6468,5568,900,1896,608600,1748
7813,5670,2143,1296,370500,1749
16044,9292,6752,1498,365200,1752
4285,3347,938,1114,367700,1754
2059,1896,163,1510,519200,1756
11064,7715,3349,1286,333000,1757
14830,10119,4711,1625,601700,1760
1478,1422,56,1039,790500,1770
3289,2990,299,1134,638200,1772
2055,1584,471,1645,996200,1773
2569,2209,360,1390,514100,1775
6301,5737,564,1245,754200,1776
4761,4351,410,1263,736700,1778
15901,9266,6635,1763,486600,1801
10625,7966,2659,2016,588600,1803
12926,10402,2524,1714,637600,1810
11879,9183,2696,1687,421700,1821
9595,7971,1624,1718,450800,1824
11696,9409,2287,1398,340600,1826
1155,1103,52,1750,499200,1827
10167,5563,4604,1178,327000,1830
9299,5033,4266,1252,316000,1832
3322,2585,737,1727,461400,1833
2460,2207,253,1381,409600,1834
5146,3723,1423,1235,311500,1835
2330,92,2238,889,120200,1840
15384,4796,10588,1192,289500,1841
8838,2999,5839,1258,276100,1843
17610,12943,4667,1276,350100,1844
11226,7949,3277,1803,523200,1845
5367,2531,2836,1209,265700,1850
10812,4599,6213,1341,302500,1851
14020,6788,7232,1217,292000,1852
10061,3543,6518,1080,259600,1854
2800,2269,531,1115,384800,1860
3737,2954,783,1605,404700,1862
3676,3041,635,1450,355400,1863
5824,4922,902,1696,578100,1864
9374,7929,1445,1363,594000,1867
11808,10030,1778,1938,421700,1876
4181,3436,745,1266,417200,1879
10479,7814,2665,1482,557800,1880
8544,7562,982,2064,556100,1886
7882,6646,1236,2009,495500,1887
8065,6755,1310,2068,968000,1890
1079,125,954,982,281100,1901
17594,6537,11057,1237,338200,1902
6215,4806,1409,1413,390300,1904
8338,3948,4390,1223,334600,1905
10207,7925,2282,965,433200,1906
6157,4464,1693,2011,505900,1907
1723,1389,334,1574,582600,1908
7404,5015,2389,1180,351400,1913
16568,9999,6569,1308,463000,1915
2853,2765,88,922,673200,1921
1163,1080,83,769,553700,1922
