civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
10444,2084,19158,45.5,22.1,13987,17348,2801,62.7,921
7693,2135,16052,52.0,27.3,8633,14298,2760,62.7,923
15267,4852,19023,48.6,29.6,18211,28659,3880,65.5,924
2707,756,10928,59.9,31.3,2255,3157,1324,64.1,925
36088,3955,35681,27.0,28.4,54853,38871,5722,34.7,926
5648,381,36994,21.7,24.1,9245,5447,615,28.2,927
18,23,-,0.0,N,80,0,23,0.0,934
0,0,-,-,-,0,0,0,-,936
26537,3962,27575,33.7,32.5,32997,37605,5244,39.8,949
0,0,-,-,-,0,0,0,-,950
0,0,-,-,-,0,0,0,-,951
2029,640,16196,53.8,26.7,2015,4754,721,74.2,952
26770,3104,27688,31.0,41.4,36793,32900,4620,35.6,953
22040,2959,23859,37.9,33.9,26041,34292,5019,48.6,956
13901,1625,27115,33.7,35.6,16737,21407,3185,48.7,957
18563,2099,30307,30.7,31.8,23317,23598,3320,42.4,959
1,3,-,100.0,-,2,28,1,-,960
9936,1607,29811,32.0,28.6,14145,13901,2372,37.7,961
5406,1306,16053,51.7,30.1,5828,11665,1513,61.0,962
1768,450,14279,57.3,27.7,1573,5284,422,70.7,965
6213,743,48174,19.5,27.7,10087,5659,811,27.4,966
1414,56,49500,15.0,22.2,2524,1470,270,9.5,968
17219,1636,47489,19.2,27.0,27032,14978,2378,29.5,969
10315,1158,24972,32.5,25.7,12308,12877,2213,35.8,971
22932,1390,31729,31.1,33.5,31336,25988,4321,38.0,976
8191,829,33087,20.0,26.1,10041,7282,2058,30.4,979
4735,1095,25360,38.6,26.1,6467,7291,1273,54.6,982
12495,2222,26385,34.9,27.7,15737,16566,3404,53.2,983
10827,2438,27560,30.9,29.7,14984,17290,2192,36.5,985
20492,2842,32596,27.9,33.6,30052,22984,3337,33.8,987
8141,362,66088,8.4,20.6,12559,6044,366,11.6,1001
15669,1305,60540,23.8,20.0,24981,8272,720,9.9,1002
3765,948,-,61.5,13.2,10356,1140,411,-,1003
2831,114,80060,11.1,36.4,4094,1707,42,21.1,1005
8480,316,94812,5.0,29.9,12865,3767,282,4.7,1007
571,9,78988,4.7,37.4,874,370,56,16.5,1008
360,53,72644,27.0,26.8,485,211,34,32.6,1009
1761,112,75577,6.2,37.8,2522,1492,148,7.2,1010
710,18,71921,9.9,34.5,924,624,97,11.7,1011
370,9,73750,5.2,30.9,445,251,17,0.0,1012
10500,816,46007,21.3,19.8,12764,12096,979,27.6,1013
14511,1062,58909,10.9,18.7,20004,15105,715,16.8,1020
699,52,43525,23.1,17.3,1249,1121,44,0.0,1022
423,15,71000,9.9,33.7,744,484,12,15.4,1026
9647,506,66339,7.5,23.1,13846,6426,623,8.0,1027
7548,216,90579,3.9,23.4,12574,5688,200,4.0,1028
354,0,92361,4.2,36.7,376,239,31,0.0,1029
6780,321,79713,7.2,23.0,10151,4114,241,6.8,1030
769,7,45549,17.3,27.4,1270,461,14,22.7,1031
270,3,81875,5.2,29.4,409,142,3,0.0,1032
4045,178,101886,4.4,21.7,5041,1597,422,3.7,1033
1104,73,90625,7.9,35.8,1626,777,87,13.2,1034
2603,47,86690,5.0,21.2,4156,1901,180,0.0,1035
2739,254,94393,2.2,27.9,4460,1947,28,0.0,1036
260,0,83036,8.1,27.6,531,119,2,0.0,1037
1469,21,85449,5.7,25.7,2307,780,5,0.0,1038
951,14,94256,3.9,23.7,1112,421,24,7.6,1039
16371,1252,42537,27.5,20.5,18209,23837,1281,34.3,1040
1435,41,73839,6.7,32.7,1910,1056,22,3.8,1050
551,13,50357,17.1,22.8,1241,635,15,16.1,1053
935,59,93942,9.3,29.4,1283,967,42,8.5,1054
11092,440,73516,8.3,23.7,15297,7958,596,6.2,1056
4748,316,77156,7.2,30.9,6959,3167,168,4.8,1057
9066,371,67356,11.7,21.6,12367,5653,344,8.0,1060
4879,75,76959,8.7,22.2,7273,3657,136,9.0,1062
274,21,-,-,14.6,589,23,20,-,1063
0,0,-,0.0,-,0,30,0,-,1066
904,43,85326,5.0,37.8,1392,511,20,0.0,1068
4470,270,66920,8.0,32.1,5938,3885,232,12.6,1069
345,13,63750,15.0,40.6,477,389,2,24.1,1070
710,11,81058,4.8,27.2,1193,349,58,8.8,1071
748,101,81042,7.4,31.2,1122,688,45,8.8,1072
3374,128,104052,2.1,23.1,5198,2053,48,3.0,1073
215,22,88775,26.3,N,125,296,0,29.2,1074
9346,394,73601,7.8,23.5,14584,5931,296,8.9,1075
5279,170,84896,5.5,28.8,7642,3520,197,4.4,1077
195,0,32963,0.0,N,223,298,33,0.0,1079
1115,98,78576,13.1,30.1,1669,1003,81,18.2,1080
1104,41,74375,4.7,31.9,1573,535,56,6.6,1081
4866,546,58131,11.9,32.4,7129,4478,243,20.8,1082
1553,16,78252,11.3,30.4,2461,1009,51,6.7,1083
75,4,71875,6.7,40.4,96,111,4,0.0,1084
21012,916,74784,5.9,24.5,30835,16282,901,4.6,1085
57,6,-,-,9.4,342,9,0,-,1086
365,45,42111,12.9,22.8,533,271,15,0.0,1088
14917,761,54516,10.3,19.2,18648,12261,1239,10.8,1089
706,29,60396,5.7,43.7,1015,339,0,0.0,1092
196,3,97083,7.5,24.4,281,88,0,0.0,1093
119,0,-,33.4,51.3,215,324,0,60.3,1094
7666,64,111487,4.3,27.6,12436,4470,173,0.7,1095
1425,20,81447,7.0,29.0,1808,858,54,5.6,1096
28,0,63750,29.0,N,66,37,0,31.8,1097
721,30,81875,4.8,40.7,857,552,32,5.1,1098
875,0,17736,43.9,15.2,825,1161,83,24.4,1103
9402,1257,40884,20.2,18.9,10063,14624,443,18.9,1104
3730,587,21875,48.1,21.8,2500,10591,494,48.9,1105
7101,349,123644,2.2,25.5,13617,4859,242,1.2,1106
3938,717,30457,41.5,20.7,3601,8010,585,43.2,1107
11637,1099,41807,27.2,21.5,12570,15195,1235,30.9,1108
11860,1323,35000,27.6,21.8,12767,18953,1365,31.9,1109
7232,449,70296,14.9,20.6,9996,6391,411,24.7,1118
5580,156,48324,16.6,21.1,7439,7138,460,24.2,1119
1512,106,67422,10.8,21.6,2374,996,78,11.9,1128
3008,161,61769,12.4,23.6,4103,2952,80,18.9,1129
4049,253,44291,16.2,21.8,4479,5639,462,17.5,1151
0,0,-,-,-,0,0,0,-,1199
21763,1639,57160,12.5,17.4,28120,21115,1245,15.3,1201
3917,253,47908,11.6,26.4,6084,3845,136,23.1,1220
363,16,58668,6.5,23.3,498,455,12,9.3,1222
1311,68,66161,10.1,33.3,1704,1036,198,6.5,1223
103,0,-,7.4,29.6,92,71,0,0.0,1224
1545,70,72119,5.5,23.7,2377,1278,31,5.4,1225
3331,117,73911,5.9,20.0,5016,2961,164,4.9,1226
13,0,-,0.0,N,47,47,0,-,1229
4396,74,68690,6.3,18.5,5786,3582,149,3.8,1230
1381,35,67404,8.6,26.1,1755,1004,33,12.6,1235
948,65,63696,4.3,28.5,1045,860,85,9.1,1236
1286,26,76579,5.9,19.2,1874,1022,147,0.0,1237
3052,113,77455,3.9,20.6,4489,2522,104,2.2,1238
2001,73,72802,4.6,16.7,3136,2377,73,0.0,1240
157,46,-,1.2,23.3,188,178,0,0.0,1242
162,0,62708,4.3,36.1,185,109,0,0.0,1243
47,0,50104,6.7,N,16,111,2,-,1244
340,20,109063,5.7,24.0,658,440,0,0.0,1245
7489,390,52398,12.8,20.3,10760,6573,503,12.5,1247
392,55,88487,3.6,34.2,612,371,19,0.0,1253
503,11,96563,4.1,19.4,808,396,11,0.0,1254
421,7,77000,5.9,37.7,650,336,35,0.0,1255
320,21,47200,11.5,34.5,521,332,4,21.8,1256
981,55,64375,11.7,15.9,1262,1074,30,35.9,1257
375,3,74375,5.6,49.6,498,227,0,0.0,1258
292,22,78625,6.0,26.5,477,305,6,0.0,1259
88,10,107614,14.1,20.3,164,132,0,0.0,1260
429,39,39286,17.1,15.5,762,574,44,0.0,1262
119,5,68750,25.7,21.1,133,116,1,25.0,1264
693,30,77500,8.8,23.8,901,648,0,13.7,1266
3822,138,91917,5.9,15.3,6575,2117,68,0.7,1267
540,0,86912,4.7,34.0,754,220,32,0.0,1270
8461,446,46931,13.6,18.8,10654,8835,504,17.1,1301
932,96,72609,11.3,31.7,1184,617,28,5.2,1330
6516,561,61949,10.7,31.7,8716,6033,491,12.2,1331
1221,64,69853,8.4,28.8,1883,997,58,10.0,1337
86,0,64667,10.7,46.8,130,46,0,52.2,1338
582,35,60438,10.2,34.4,980,767,33,16.5,1339
924,42,60313,10.2,28.6,1311,848,57,17.1,1340
999,62,92500,1.7,28.0,1518,712,47,0.0,1341
618,25,103000,8.6,17.3,1021,321,22,0.0,1342
33,0,73125,4.8,51.2,59,19,17,0.0,1343
641,67,63333,10.0,26.5,981,526,52,8.6,1344
345,2,93400,2.4,34.6,415,275,0,0.0,1346
97,0,-,32.4,N,74,76,0,-,1347
735,39,75417,5.8,26.8,931,581,72,7.0,1349
46,4,-,11.0,47.2,63,50,3,0.0,1350
1522,48,97054,3.8,23.4,1692,1239,9,2.3,1351
991,52,68173,5.4,25.1,1386,563,60,2.2,1354
586,14,69038,11.4,31.3,721,406,44,33.3,1355
1667,76,75900,4.1,23.5,2346,1168,83,2.2,1360
3464,334,53949,14.3,30.5,5364,3721,174,18.0,1364
587,30,71818,4.2,32.9,890,488,16,1.2,1366
230,2,69375,6.6,37.6,392,250,9,5.4,1367
760,8,86607,5.3,39.7,1166,411,54,8.6,1368
1827,140,61711,13.7,25.3,2432,1900,106,14.9,1370
2797,113,82105,4.9,21.3,4244,1588,33,3.6,1373
2342,80,54524,15.4,20.0,2922,1096,33,10.1,1375
2314,108,41369,10.6,22.0,2793,2470,85,21.1,1376
368,18,68839,7.9,38.9,522,343,16,7.9,1378
397,38,62813,14.5,36.0,459,473,32,8.9,1379
19861,1723,54683,14.5,26.3,23154,20724,1109,16.8,1420
3354,169,113045,1.6,37.1,5231,2124,31,0.0,1430
1845,81,97269,2.2,34.9,2721,821,76,0.0,1431
4659,210,99195,5.1,33.2,6447,2048,145,2.3,1432
565,11,96500,14.9,38.5,774,191,0,11.2,1434
1457,176,70662,6.3,34.7,2663,1115,17,2.1,1436
295,0,100579,0.6,20.6,445,82,1,0.0,1438
9663,504,51708,13.7,30.9,12848,8746,559,17.2,1440
5790,228,142500,3.9,36.5,10033,2394,191,0.5,1450
2194,110,177422,1.7,34.9,4280,866,18,2.9,1451
2697,93,100255,4.9,35.3,3930,1381,59,5.9,1452
21932,1252,63263,11.0,28.3,28021,18150,1314,15.9,1453
5306,295,125275,5.0,36.2,8766,2662,248,3.5,1460
6086,392,99601,7.8,37.6,9440,3331,143,10.5,1462
6431,250,105377,5.5,35.8,9971,3347,313,5.7,1463
3116,91,89247,3.5,32.8,4951,2088,79,3.1,1464
274,0,-,0.0,27.8,301,159,15,0.0,1467
2588,61,82173,3.5,29.0,2993,1356,89,0.0,1468
4214,117,97730,5.3,39.3,6032,2626,176,2.3,1469
4038,179,98555,1.7,29.6,6390,3042,66,0.0,1473
1012,80,94554,5.7,38.1,1257,538,73,11.2,1474
5672,303,81582,8.7,33.8,8106,3789,291,15.1,1475
8196,486,83265,3.4,29.1,13863,5552,195,3.4,1501
1794,106,104432,5.7,36.6,2797,1124,55,1.3,1503
5380,238,90665,3.3,35.6,7876,2705,119,0.7,1504
2600,59,106100,3.0,27.4,4145,1090,56,2.9,1505
1790,75,70610,4.1,32.8,2750,1150,150,0.0,1506
6704,333,102531,4.5,32.8,11032,4194,129,3.5,1507
8282,327,75455,5.5,29.8,9362,5688,425,6.4,1510
1165,73,75347,5.5,35.3,1576,930,20,7.1,1515
5053,265,117250,4.0,35.0,8065,2345,46,4.0,1516
1751,99,72713,6.0,42.0,2615,1582,63,14.1,1518
4232,114,114226,5.9,31.0,6610,1852,113,0.0,1519
8566,477,116107,3.1,27.6,14347,3665,210,0.6,1520
1308,86,77054,7.1,37.0,1779,1047,73,7.7,1521
1492,36,104040,11.8,29.9,2251,1376,53,14.9,1522
3455,206,97394,4.0,33.6,5099,2256,263,5.2,1523
3867,195,80649,6.9,30.3,5325,1831,298,12.3,1524
149,16,52750,18.8,29.4,129,166,30,66.7,1525
7447,458,92556,2.9,29.2,11112,4253,217,0.5,1527
1770,84,79647,6.8,32.4,2740,976,43,11.7,1529
602,19,90489,11.5,37.1,846,441,32,11.4,1531
8592,376,140600,3.5,33.0,13366,3176,185,4.5,1532
3242,195,100819,4.4,31.7,4222,1975,169,3.7,1534
2615,122,73208,4.3,35.7,3596,1655,88,0.0,1535
3549,357,102756,12.0,30.6,5336,2491,143,5.4,1536
1406,2,76859,2.0,28.8,1751,639,36,0.0,1537
6435,353,85813,3.3,27.5,9142,3998,211,1.0,1540
1871,50,129097,6.5,34.1,2868,1119,40,5.9,1541
1223,0,88750,2.3,29.8,1960,932,53,2.6,1542
4488,221,124890,1.4,34.0,7736,2254,22,0.7,1543
19405,696,108870,3.5,31.0,32445,8710,849,1.5,1545
8135,646,52900,19.6,27.2,9004,9046,475,20.0,1550
2351,179,86146,4.2,40.9,3729,1089,198,1.5,1560
39,0,-,0.0,N,102,63,0,-,1561
6098,383,70265,7.9,32.4,9799,4010,476,1.3,1562
4371,140,122810,2.4,31.3,7111,2078,16,0.0,1564
2816,120,105294,2.7,34.8,5266,1768,104,2.2,1566
4003,297,126442,2.1,38.1,7196,1776,27,0.0,1568
7999,322,109179,5.4,32.1,11648,3686,171,5.6,1569
8203,580,59844,11.5,29.8,10517,8351,336,14.3,1570
6132,316,69659,5.3,26.7,9076,3678,299,2.7,1571
9983,183,119148,4.5,31.9,15761,4746,284,4.4,1581
3237,137,91696,8.8,29.1,5013,2320,151,8.0,1583
2406,82,63295,7.7,35.0,3179,1977,119,0.0,1585
5729,269,80434,5.7,30.9,7918,3299,510,7.1,1588
5664,122,108971,3.1,29.0,8188,2147,92,2.5,1590
13050,313,71239,13.4,27.1,17620,9644,681,15.2,1602
8848,630,45969,19.4,23.6,9658,9721,933,17.2,1603
19446,960,59123,14.3,25.7,23797,16719,887,14.8,1604
12000,749,42683,26.6,24.8,13136,15995,543,33.2,1605
10852,423,72050,9.5,25.9,14739,6319,613,9.6,1606
4218,250,53838,18.4,25.3,4842,4406,155,23.3,1607
1964,147,31504,48.7,24.1,1372,3596,117,68.9,1608
9365,659,45679,23.8,21.8,14356,9387,425,15.6,1609
9695,548,33326,29.5,20.2,11417,10694,827,27.8,1610
1286,26,100375,3.9,28.1,1735,580,0,10.5,1611
2629,89,116313,2.6,30.4,4590,1149,41,4.4,1612
18966,767,116971,4.4,30.5,27807,9846,811,3.9,1701
21688,1706,67048,11.8,30.8,21549,16953,3083,13.5,1702
417,19,142813,4.4,43.1,556,195,0,5.0,1718
3200,317,126597,3.6,34.9,4966,921,310,2.8,1719
11879,759,138750,2.8,36.1,19655,5376,336,0.5,1720
10392,380,118348,4.5,36.4,14774,4810,422,2.8,1721
7044,490,133824,2.4,25.6,12378,3205,77,1.6,1730
417,14,105625,0.0,16.2,1649,121,0,0.0,1731
2734,109,167708,2.0,36.4,4977,867,19,0.0,1740
2333,85,197530,3.5,36.9,4782,1083,32,3.0,1741
7778,239,160448,2.7,32.9,15357,4137,267,2.8,1742
353,16,125000,0.0,31.3,516,77,68,0.0,1745
8106,303,137589,2.3,38.6,13481,3175,285,2.1,1746
3065,183,110582,4.3,28.1,4801,1598,227,4.5,1747
9982,312,172683,3.5,37.9,16454,3058,111,2.4,1748
10834,487,96038,4.6,29.8,15697,6274,758,5.4,1749
22541,1143,83469,7.2,30.2,28354,14160,1910,8.6,1752
6233,201,107891,5.4,30.3,9631,2519,123,5.5,1754
3610,0,126806,1.5,33.2,5459,1317,37,0.0,1756
16165,719,86203,9.1,31.7,19961,11513,1452,9.9,1757
19857,812,115588,3.3,34.1,31369,8754,601,2.5,1760
2253,92,216406,6.2,42.5,4022,704,38,8.9,1770
5128,144,163438,4.8,34.0,8595,1858,49,6.4,1772
2223,78,156607,6.9,32.8,4249,1512,38,16.5,1773
3591,123,143711,3.2,34.2,6461,1635,64,7.3,1775
9014,432,195073,2.3,35.0,17901,3456,134,1.6,1776
7119,142,192961,3.3,34.3,12879,3016,139,3.1,1778
22559,1329,92084,5.7,26.9,32312,12778,743,5.6,1801
14969,308,121433,4.2,29.7,22949,8745,695,3.0,1803
18852,766,153315,3.5,32.7,32785,6754,483,1.4,1810
19404,841,116445,4.1,28.9,28418,8779,777,3.8,1821
13709,616,123087,4.6,30.3,22393,6404,441,3.6,1824
17050,577,92533,6.4,30.8,25276,10457,514,5.8,1826
1913,118,158523,1.4,30.4,3059,742,12,0.0,1827
13601,1007,62318,12.1,28.5,16649,11033,1074,14.5,1830
12337,607,67016,11.9,25.8,15916,9626,942,16.2,1832
4674,133,122600,3.0,37.2,8002,1895,87,3.0,1833
3811,93,111056,4.0,30.2,6051,1718,0,3.8,1834
7905,193,84638,12.1,28.3,10248,4942,501,18.0,1835
2054,275,25077,36.4,21.6,1368,4021,399,33.3,1840
22034,2873,45486,21.5,23.0,16597,31977,3473,22.8,1841
12526,1371,54283,16.6,24.2,11715,14025,1236,19.5,1843
27176,1919,83532,9.1,27.3,35727,19790,2004,8.9,1844
16485,443,113916,6.6,32.6,26610,7547,781,7.7,1845
7292,508,55837,19.5,27.8,8200,8219,753,23.5,1850
