civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
3657,1968,14361,61.9,27.3,3789,12784,1146,72.1,601
11188,1420,16807,49.5,21.0,10488,26697,2276,53.5,602
12004,3197,16049,51.6,20.2,15213,31103,2324,61.3,603
1238,169,12119,65.5,18.9,1580,5053,217,69.5,606
8257,1029,19898,46.0,19.8,9605,17386,1168,52.6,610
15767,3507,18741,46.7,25.6,20387,39547,2948,56.9,612
3041,633,17007,48.3,26.4,4174,6146,668,42.1,616
6387,1599,16984,48.0,25.8,8250,15737,1100,56.1,617
1470,303,14615,48.9,31.6,2601,4363,357,59.1,622
11207,1903,17130,51.4,25.6,16444,27784,2059,56.4,623
5592,1504,16701,56.6,28.3,5655,16188,726,64.8,624
8762,1267,17000,50.0,30.5,8768,22389,1549,61.5,627
343,131,10244,70.3,29.0,214,1264,72,87.6,631
6393,1245,17405,46.0,26.5,7624,14259,1345,41.3,637
3576,889,16843,54.9,39.6,4170,12787,723,61.3,638
5844,2617,15792,52.1,35.3,6675,18981,1906,56.7,641
12062,2898,30573,33.1,33.9,17872,19050,1985,31.7,646
1176,550,14223,61.1,27.1,1389,4537,154,82.7,647
4106,942,19764,52.1,27.8,4444,10172,542,65.0,650
1006,175,21987,40.9,23.8,1442,2336,171,55.0,652
2096,824,12072,64.6,18.7,2131,8188,553,74.3,653
4746,1318,17355,54.9,24.5,6046,12863,636,68.6,656
12538,905,17715,45.4,28.1,13941,24517,2603,49.2,659
4909,1436,19030,43.6,22.6,6538,10440,622,57.2,660
9843,1819,16834,55.8,24.9,10997,28201,2223,59.5,662
3268,571,14595,61.4,24.1,2707,11037,1016,71.9,664
4907,1447,14013,62.7,27.2,6860,17547,1076,75.7,667
6445,1497,16922,55.0,35.6,6578,17590,1423,59.2,669
2207,111,14245,50.3,27.8,2507,5998,181,59.4,670
10698,2433,18299,47.2,25.8,12977,25148,3067,52.6,674
9625,3086,14992,54.3,26.9,10322,25323,1689,59.1,676
4675,365,19943,41.6,20.1,5007,9567,581,49.6,677
7754,734,17144,49.2,26.2,6883,18950,1246,58.4,678
11233,3735,14217,52.5,23.6,15025,31223,1866,68.9,680
7618,2858,14706,55.3,21.4,12323,19765,2076,66.3,682
7266,545,16332,51.2,24.7,10339,20560,1331,61.9,683
9020,2222,15185,53.9,29.0,9719,27188,1783,63.4,685
8757,2442,20941,44.9,34.2,8507,21873,1768,50.0,687
3181,709,17874,52.2,30.8,4132,7439,1065,67.3,688
1742,406,18288,51.3,25.0,2109,3755,212,64.5,690
9993,2586,20585,44.4,32.9,13192,21013,1977,53.5,692
14990,3261,19576,45.7,30.2,17381,33215,4906,50.3,693
0,0,-,29.7,-,0,64,0,-,694
8524,2163,14794,48.9,22.7,10498,24212,2157,53.9,698
8091,1210,18846,47.8,29.9,9750,17383,1817,63.3,703
2497,176,17275,54.6,25.5,2608,5394,431,70.8,704
6835,373,20214,44.2,25.3,6823,15801,794,57.3,705
2052,769,20760,45.6,31.3,2785,7860,638,57.0,707
3518,563,17615,59.1,22.3,3900,14220,590,67.4,714
549,222,12188,67.6,25.8,569,2291,85,86.4,715
6908,978,17969,48.8,22.2,8632,19295,1449,65.3,716
3720,818,12121,56.7,19.6,4696,11848,703,71.9,717
6934,1275,19372,47.3,31.2,6962,17943,1729,60.6,718
7343,2285,18922,46.2,36.6,10963,19008,1515,52.6,719
4641,2165,15295,55.9,33.7,4843,16346,643,66.7,720
4136,938,16063,53.8,31.4,3770,12807,931,57.5,723
26817,5114,21350,42.1,32.4,30553,49743,5292,49.5,725
20875,1977,31688,31.4,34.9,26729,25450,3287,36.2,727
11501,1404,19340,49.0,22.7,12844,24479,1772,62.9,728
16660,4883,21469,41.6,35.6,20173,27495,5459,50.3,729
7877,1336,15723,53.5,23.4,9210,20618,1755,66.0,730
3614,368,15473,54.0,27.7,3963,8187,831,66.5,731
3649,503,18395,41.9,25.6,4965,7948,658,51.9,735
13852,1452,21894,42.1,27.3,21809,26504,3369,54.3,736
9541,3233,19859,42.1,27.9,10305,18420,2280,50.9,738
11122,2036,20065,44.1,31.0,16573,22604,1720,51.3,739
511,328,12944,67.2,18.1,345,1500,116,83.6,740
1308,285,22121,44.4,23.3,1020,2991,410,70.9,741
17207,4791,22960,39.0,39.2,20185,27931,3715,43.7,745
5592,270,18087,48.5,24.7,5678,14757,1104,57.1,751
10934,964,19403,43.6,35.5,12643,23451,2049,51.4,754
7994,608,19827,45.4,24.2,7913,12647,1903,52.9,757
2420,200,14880,46.0,14.8,2396,5713,1040,68.2,765
6686,1878,19682,48.0,30.5,6773,15779,864,57.9,766
8611,2120,16295,53.1,30.3,9448,23467,1685,60.0,767
11566,739,19700,46.1,25.8,13166,25678,1431,49.9,769
10454,1815,21175,42.5,27.3,13241,23100,2223,45.5,771
5352,2119,16107,52.8,34.3,5101,13637,1603,64.2,772
5522,1857,21850,42.6,32.4,5886,11523,1382,55.9,773
587,19,22667,36.4,11.6,466,779,162,37.7,775
12234,3769,19830,47.1,30.2,12639,25257,3423,52.6,777
18059,3588,35183,30.3,35.8,23647,21689,3748,31.0,778
3588,348,21663,46.8,27.1,5256,5390,782,44.8,780
4230,1433,13683,58.6,37.5,5377,13452,845,62.6,782
7750,3670,14995,56.5,39.2,10023,23252,1763,65.6,783
9673,829,17415,50.0,24.7,11378,26010,2349,64.4,784
135,0,37552,12.8,N,35,325,0,-,786
13850,1651,20269,42.8,26.2,17102,33286,1849,52.1,791
6979,1534,17073,55.8,33.9,7428,21282,1127,69.1,794
13532,3807,20471,46.8,26.4,15282,28088,2265,52.7,795
2208,338,21469,42.4,21.6,2695,3231,571,54.9,901
156,0,106518,7.3,20.2,185,6,0,0.0,906
7109,715,36495,25.8,21.3,9501,6223,1389,35.4,907
1728,324,19443,43.6,25.7,1691,2762,544,63.3,909
3467,320,35470,24.9,23.1,4289,2548,853,19.6,911
2455,461,22292,42.0,22.8,2394,2831,954,57.3,912
1496,1408,6493,81.2,31.2,1364,6343,486,93.5,913
8191,3033,12802,61.0,26.2,5943,16004,4492,73.2,915
6118,1359,15220,49.7,25.2,6890,10113,2522,66.8,917
6166,827,25117,39.3,22.2,8063,7819,1324,59.0,918
6866,473,25809,32.1,21.4,8241,8561,1984,46.5,920
11113,1785,18763,45.4,22.4,14627,17344,3145,63.5,921
7231,2085,14159,54.3,28.1,8024,14795,2609,67.4,923
15053,5057,18176,49.3,29.6,18760,29231,3791,64.8,924
2731,734,11090,64.4,31.5,2504,3080,1372,65.5,925
37609,3823,35788,27.3,29.0,56640,40757,5906,34.9,926
5607,567,35268,24.9,23.6,9909,5159,446,29.1,927
18,25,-,0.0,N,73,0,25,0.0,934
0,0,-,-,-,0,0,0,-,936
26873,4582,27229,33.7,33.0,34272,38524,5016,40.1,949
0,0,-,-,-,0,0,0,-,950
0,0,-,-,-,0,0,0,-,951
