civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
3904,2152,11507,62.4,28.5,4257,12845,1251,72.5,601
11560,3116,15511,54.5,25.0,11537,28049,2177,61.2,602
12722,3768,16681,50.7,20.3,16452,33384,2859,61.7,603
1467,205,11648,64.0,19.9,1686,4888,153,75.9,606
8327,1587,17751,49.3,19.4,9758,18744,792,57.8,610
16087,4207,17208,47.8,27.4,21990,42056,3533,54.5,612
2743,329,14490,50.1,26.9,4038,6970,666,44.2,616
5307,1148,15645,52.5,26.8,9065,15765,1219,60.1,617
1443,211,16784,55.6,27.7,2806,5062,259,65.8,622
11511,1392,17134,49.2,26.3,17834,26011,2334,52.5,623
5832,1812,16764,56.7,27.4,7178,16827,821,60.3,624
8710,2178,17206,48.4,30.3,9574,23155,1874,57.3,627
338,303,7948,67.0,34.3,251,1396,110,75.2,631
5513,1530,14877,49.2,26.4,7748,15954,1131,49.5,637
3552,616,12486,61.0,35.8,5228,13954,836,68.9,638
6325,2570,16181,51.8,32.6,7540,20757,1800,62.3,641
11576,3144,27967,36.1,33.6,18609,19490,1826,35.5,646
1258,342,13312,59.0,23.6,1541,4180,243,81.9,647
3494,776,15807,55.3,26.6,4283,10508,393,61.1,650
1007,163,19497,46.0,29.0,1820,2232,280,51.5,652
2263,1223,13175,65.0,19.4,2157,9532,788,69.8,653
4458,1287,14828,58.9,25.7,6125,14033,895,70.6,656
12425,1456,18480,44.7,27.4,17071,24374,1867,52.4,659
4847,1370,20589,36.3,21.9,7367,9974,1006,40.6,660
10098,2575,16291,54.4,24.8,12839,28083,2540,60.0,662
3126,1220,15749,60.0,21.9,4185,11511,463,66.9,664
4995,1047,12736,59.7,25.6,7748,17623,1255,71.2,667
5981,3307,12552,57.4,33.5,6343,19413,1981,60.5,669
2472,70,13209,58.1,27.9,2390,6675,232,67.6,670
11012,2231,18549,46.1,28.2,15114,25405,3463,53.1,674
9066,2803,14149,56.6,24.8,10867,27317,1684,60.8,676
4385,744,17881,48.0,23.3,4668,10531,536,60.8,677
6684,1308,15208,56.6,28.3,6507,19774,1173,64.6,678
13186,3902,14575,50.5,22.1,17724,33909,2584,64.8,680
8068,2582,15804,53.2,21.7,13504,19508,2316,62.0,682
8474,711,15198,50.8,25.7,10063,22549,1463,59.6,683
8415,3619,13840,56.5,27.6,9923,28959,2656,60.2,685
8164,2279,17649,51.9,35.1,8684,22694,2146,57.5,687
3153,401,14697,55.3,28.8,4660,8014,662,67.3,688
1549,297,20668,40.1,31.7,2638,2791,168,47.8,690
9424,2498,18593,48.0,34.1,13043,22794,1909,55.8,692
14422,2998,17624,46.3,32.2,20087,36067,3932,49.8,693
0,0,10550,84.8,-,0,66,0,-,694
9064,2865,14734,50.2,24.8,12022,26354,2038,52.3,698
6831,2150,15276,51.8,35.7,7796,20359,1324,59.9,703
2327,339,14528,51.1,24.3,2605,5539,486,57.7,704
5931,382,17893,47.7,26.3,7096,17539,572,53.1,705
2375,766,18815,56.0,29.4,3083,8567,519,62.1,707
3865,1112,16538,52.7,21.5,4975,14024,725,55.4,714
770,269,12229,69.3,21.3,975,2696,127,88.5,715
7891,1616,18595,48.0,23.5,10964,18918,1721,60.0,716
4190,1071,11597,60.2,19.7,5466,12878,884,72.5,717
7134,948,18906,50.4,32.7,7969,18588,1129,60.3,718
7933,2199,19247,47.5,35.5,10774,19331,1292,50.4,719
4609,1871,14845,57.5,33.8,4820,17709,483,64.3,720
3983,1399,13975,56.7,28.7,4690,13419,777,68.4,723
27126,6042,20072,42.0,32.0,33466,49483,5906,52.3,725
21844,2836,30890,30.4,32.9,29756,26780,3815,36.4,727
11216,1976,18099,48.9,22.4,15382,24416,1911,59.4,728
16517,4830,20805,42.6,35.8,20986,28113,5923,49.8,729
8115,2300,15046,53.9,21.1,11059,23049,1558,65.8,730
4366,596,16171,56.2,28.3,4496,10109,902,72.6,731
3613,453,20204,43.9,26.2,4740,8579,598,57.8,735
16086,2487,20571,43.6,29.3,19729,29887,3423,49.8,736
10402,3509,19809,43.4,25.4,13057,19155,2261,52.7,738
12524,2305,21818,41.4,31.4,15471,22749,1783,46.3,739
402,245,14500,59.3,20.7,342,1048,113,81.1,740
1227,423,20363,46.1,28.0,1728,3567,254,59.3,741
17701,5167,23344,37.1,39.5,22610,28939,3513,40.1,745
5507,677,16177,55.6,23.9,5996,15956,1183,59.6,751
11089,1840,16927,46.8,34.4,12800,26118,1738,53.2,754
7229,885,15295,50.4,23.4,8028,13796,1788,55.1,757
2872,403,17604,35.8,15.5,3117,5551,775,41.1,765
7063,2317,18670,51.1,27.4,7654,16542,932,60.3,766
8171,2607,16342,49.5,29.3,9642,25729,1704,55.6,767
11519,1331,18578,49.0,25.0,13083,26300,1923,52.9,769
10151,2715,19982,47.7,29.2,12754,25219,1875,51.0,771
5892,2214,15725,55.4,36.3,6064,14026,1907,62.2,772
5824,2084,19658,44.3,31.8,7055,11846,1351,49.7,773
645,24,20221,46.2,10.5,441,961,163,52.0,775
11681,4013,19249,48.7,33.0,14994,24857,2203,54.1,777
17697,3099,31070,32.4,37.1,24671,21291,2925,30.0,778
3942,611,20985,39.2,26.2,5156,6334,580,45.9,780
4310,1293,12752,61.1,37.3,4433,14432,786,67.1,782
7590,2972,14465,56.7,36.6,9631,25070,1145,60.6,783
9346,1580,15383,53.2,23.2,11958,27949,2187,61.9,784
87,0,-,16.0,-,76,211,0,-,786
14485,1840,19269,45.2,26.3,18236,33310,2044,55.5,791
6263,629,14785,60.7,31.3,7412,22245,1028,67.4,794
14174,3488,20459,47.5,27.3,15544,30018,1908,53.4,795
2205,255,16612,48.7,17.7,2806,3013,636,56.2,901
56,0,-,6.6,13.4,38,5,33,-,906
7970,853,31836,26.3,19.8,10146,7010,2220,40.3,907
1974,485,16219,54.3,23.6,1886,3487,530,72.2,909
3413,397,29325,29.9,21.7,3960,3188,813,35.5,911
2562,525,20663,42.1,23.4,2631,2669,934,61.9,912
1714,1206,6989,77.0,27.2,1527,6631,493,86.8,913
9365,3630,13573,60.2,26.3,6473,17770,5181,74.0,915
6515,1481,13913,54.7,24.3,6644,11189,2256,72.5,917
5765,709,21030,41.3,22.4,8213,8973,1056,59.8,918
6828,735,25591,33.1,21.5,8838,8598,2192,44.3,920
12588,1589,18334,46.2,24.7,15321,18855,4511,64.2,921
7498,2317,14631,55.6,27.5,8873,15761,2906,65.2,923
16857,4735,18535,48.0,29.1,22005,31386,5370,61.3,924
2813,735,10247,65.3,32.0,2963,2886,1340,54.9,925
39525,4055,32583,30.1,28.7,61510,43619,5279,38.2,926
5446,632,32083,26.9,21.1,10012,5439,771,28.5,927
35,0,66063,0.0,N,55,15,0,0.0,934
0,0,-,-,-,0,0,0,-,936
27855,6084,25226,35.7,35.7,37253,40477,6008,40.0,949
0,0,-,-,-,0,0,0,-,950
8,0,-,100.0,N,0,8,0,-,951
3036,706,16577,42.3,29.6,2873,6351,439,48.7,952
26285,4687,29793,30.6,41.9,40579,30927,4743,31.3,953
25037,5421,22432,38.7,36.2,32951,38370,5146,46.4,956
14056,2718,23886,37.7,38.8,20077,22734,3131,50.9,957
19542,2714,28215,30.0,33.3,27325,22379,3032,37.4,959
0,0,-,58.1,-,0,24,7,-,960
10852,1592,28203,31.0,31.0,16175,13810,1907,38.5,961
5679,2729,15782,54.9,27.3,6719,13168,1541,64.8,962
2268,759,15274,52.0,28.7,2169,5216,519,63.6,965
6799,609,50570,18.4,25.0,11167,5640,891,27.8,966
1495,132,46047,10.8,20.0,2501,1316,93,8.4,968
19020,1683,53175,17.5,27.0,30972,13540,2724,20.4,969
