housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5611,3902,1709,414,89500,601
12546,9443,3103,465,108200,602
19537,11148,8389,448,141800,603
1871,1438,433,405,100700,606
8838,6415,2423,553,113600,610
611,393,218,471,100300,611
23438,14335,9103,503,112300,612
3471,2424,1047,623,102700,616
8579,6108,2471,625,121400,617
3141,2320,821,609,115400,622
15031,11678,3353,576,118200,623
7301,5023,2278,530,88100,624
11814,9065,2749,574,105500,627
477,295,182,336,102900,631
271,126,145,385,131700,636
7555,5754,1801,445,99200,637
5924,4200,1724,404,94500,638
8947,5510,3437,464,101900,641
12180,9636,2544,688,156900,646
1844,1407,437,433,87500,647
5260,3632,1628,662,104100,650
1583,1217,366,733,128500,652
3749,2569,1180,326,80400,653
6443,4716,1727,435,84900,656
12865,9498,3367,598,130000,659
6000,4347,1653,558,115200,660
13949,8945,5004,555,122300,662
4962,2944,2018,483,105500,664
8247,5871,2376,492,103300,667
10374,6733,3641,496,102700,669
2777,2043,734,355,89600,670
14871,10811,4060,551,115300,674
12974,8324,4650,506,116500,676
5655,4112,1543,626,154600,677
8739,5934,2805,525,109600,678
17584,9475,8109,463,101300,680
12194,5623,6571,448,116800,682
10866,7306,3560,466,100600,683
14525,10248,4277,470,110000,685
10026,7040,2986,572,113800,687
3904,2450,1454,546,99500,688
2138,1248,890,595,139500,690
12539,8561,3978,667,136500,692
20982,15690,5292,600,117900,693
68,68,0,-,-,694
12410,9186,3224,521,99100,698
9057,5974,3083,461,129800,703
2461,1905,556,645,95500,704
9342,6995,2347,505,120700,705
3946,2944,1002,498,106300,707
6364,4885,1479,466,95200,714
804,616,188,671,80000,715
11826,7373,4453,511,119800,716
6638,3252,3386,492,111000,717
8186,5984,2202,525,105700,718
9107,6277,2830,484,105900,719
6613,4621,1992,482,96200,720
6051,4238,1813,515,89000,723
31121,19989,11132,558,139900,725
20559,14642,5917,821,147800,727
13259,9962,3297,517,108500,728
17269,12888,4381,606,117500,729
13366,8946,4420,496,100700,730
3741,2969,772,426,86800,731
4131,3047,1084,522,110400,735
18095,11302,6793,546,142300,736
12136,8429,3707,617,118800,738
12712,8566,4146,547,138400,739
727,358,369,531,103600,740
1377,1093,284,633,95600,741
16657,12130,4527,580,129800,745
7850,6077,1773,449,89600,751
13585,9963,3622,552,115000,754
