hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1298,3762,1773,16.7,601
2616,7161,4767,21.6,602
3256,11522,6001,24.5,603
396,1374,287,10.1,606
1502,5701,3199,22.1,610
87,311,179,23.2,611
3044,13802,9930,28.2,612
609,2572,1329,21.5,616
1140,5490,2960,23.2,617
612,1393,956,22.7,622
2399,7138,6425,29.2,623
1428,4201,3202,24.6,624
2276,5857,3630,21.3,627
54,162,273,30.2,631
96,212,102,25.3,636
1013,5583,3310,25.3,637
1538,3828,1663,15.4,638
1370,4658,3093,21.6,641
1641,6724,5841,33.0,646
339,1375,434,15.4,647
578,3488,1625,20.0,650
334,747,672,28.0,652
983,2395,639,13.4,653
1307,3771,2475,24.5,656
1917,6834,5857,29.5,659
698,3918,2671,28.9,660
1930,9513,5882,26.1,662
534,4002,1669,20.4,664
1689,4931,2824,20.0,667
1966,4903,2967,20.0,669
570,2139,913,17.8,670
2413,8992,5110,23.7,674
2137,8192,4663,23.4,676
990,2981,2152,23.4,677
1688,5405,2815,20.2,678
2886,8959,5398,24.6,680
1786,5412,3724,30.9,682
2141,7371,3813,23.5,683
3067,7803,4720,20.8,685
1733,6531,2995,18.7,687
859,2613,1417,19.7,688
467,1099,860,27.6,690
1900,6698,3764,23.5,692
3454,11822,7751,24.8,693
0,37,0,12.2,694
1624,8682,5212,27.7,698
1742,5770,2690,18.7,703
378,1911,757,20.9,704
1374,6575,2740,22.8,705
576,2464,744,14.0,707
1164,3336,2249,24.9,714
196,634,110,10.6,715
1478,5663,4967,36.1,716
802,3219,2440,33.1,717
1087,6103,2771,22.8,718
2161,5275,3049,18.2,719
1386,4618,2078,17.9,720
710,3592,1571,19.8,723
4122,16508,12155,29.6,725
1786,9005,10298,40.4,727
2303,8466,5588,27.5,728
2603,10099,6430,26.1,729
1842,6617,4613,29.9,730
653,2723,1329,20.4,731
703,3019,1503,22.2,735
2079,10988,6694,27.2,736
1209,7320,5124,29.8,738
1307,8404,4830,27.1,739
129,510,293,21.9,740
232,1004,464,19.2,741
2728,10605,7210,25.9,745
1214,5560,2162,19.6,751
2437,7179,3543,19.5,754
805,5200,2957,27.0,757
872,2793,406,14.5,765
950,5374,2749,21.6,766
2194,5922,3395,18.4,767
1433,10309,4608,23.1,769
1399,6243,4872,27.2,771
1517,5335,1338,12.2,772
1008,4419,2065,22.7,773
38,322,116,15.6,775
2138,7844,4557,22.1,777
1896,7222,6847,33.9,778
718,2465,1959,31.7,780
1271,3994,1707,16.4,782
2139,6984,3929,20.8,783
2220,9541,4045,22.5,784
0,41,0,0.0,786
2709,12123,5858,24.6,791
1787,6086,3713,22.7,794
2856,8825,6081,26.4,795
449,1719,1457,44.2,901
0,0,8,76.2,906
540,1908,4358,61.9,907
114,890,909,38.2,909
376,677,1803,58.4,911
441,947,1263,42.0,912
398,1360,713,25.9,913
1914,5859,1942,13.8,915
955,4243,2547,29.2,917
320,1821,4267,62.0,918
784,2656,3516,36.2,920
1730,5533,4935,30.8,921
1170,5454,2807,24.4,923
1965,8670,6650,30.4,924
362,669,913,37.1,925
2421,11724,21123,50.4,926
387,960,3950,66.4,927
0,0,30,54.1,934
2762,12651,11075,29.6,949
0,0,0,-,950
40,59,28,21.3,951
525,1788,819,14.8,952
2515,12714,9828,28.0,953
3618,11351,10256,27.2,956
1733,7306,6754,29.4,957
1756,7447,8912,35.4,959
694,1564,71,2.9,960
1162,4557,5572,37.4,961
1365,5200,1825,16.2,962
441,1354,418,12.1,965
306,1421,5090,65.6,966
58,237,1318,75.3,968
1127,4295,10815,57.6,969
1496,4963,4299,30.2,971
2262,10769,12162,37.5,976
622,2147,4258,49.8,979
583,2873,2335,29.3,982
1165,6933,5389,30.8,983
1126,7849,5322,27.1,985
2146,9440,10856,37.6,987
570,3500,2676,35.4,1001
101,1252,2852,72.5,1002
0,3,4,41.0,1003
92,1250,564,34.5,1005
188,2705,2605,45.0,1007
31,360,193,33.1,1008
23,112,167,38.1,1009
88,716,820,41.5,1010
69,460,74,20.4,1011
20,146,29,20.1,1012
1341,5010,2302,24.0,1013
2320,8270,3191,21.5,1020
55,517,322,30.7,1022
17,117,226,56.3,1026
680,3507,3014,40.1,1027
327,2572,2798,43.2,1028
59,138,92,35.5,1029
204,3029,1773,33.2,1030
78,386,115,22.3,1031
3,80,101,43.8,1032
167,1155,1114,39.2,1033
42,425,352,37.3,1034
98,642,1466,60.7,1035
80,991,809,36.4,1036
21,123,127,40.7,1037
31,323,634,53.2,1038
10,200,370,58.0,1039
3385,8096,3618,22.2,1040
123,595,432,32.0,1050
58,433,424,48.0,1053
59,219,306,63.4,1054
833,4961,2783,25.0,1056
407,2087,1068,27.9,1057
342,1069,3341,70.9,1060
173,1197,1896,53.5,1062
0,0,0,100.0,1063
31,51,13,10.2,1066
64,293,297,39.9,1068
582,1790,1074,26.1,1069
7,132,93,46.7,1070
31,374,181,28.4,1071
14,166,362,67.4,1072
166,1112,1179,41.3,1073
60,205,47,16.2,1074
382,2630,3047,49.0,1075
190,2223,1305,34.4,1077
1,207,63,20.0,1079
81,782,221,15.0,1080
58,489,197,27.6,1081
412,2865,1375,26.5,1082
99,763,375,32.1,1083
4,33,27,51.2,1084
1664,7789,5937,32.8,1085
0,98,39,23.1,1088
1008,5610,4638,36.5,1089
0,393,255,36.2,1092
0,51,44,39.0,1093
0,12,6,15.8,1094
148,2087,2879,54.1,1095
46,479,518,51.2,1096
0,16,0,0.0,1097
24,227,200,47.5,1098
251,348,361,41.7,1103
2107,4908,1168,14.2,1104
1096,2252,246,7.3,1105
240,1243,3701,63.1,1106
1116,2150,522,13.7,1107
2248,5590,1912,20.8,1108
2731,5500,1980,18.3,1109
446,2853,1881,32.7,1118
667,3732,1038,19.1,1119
80,591,369,36.7,1128
212,1450,917,28.7,1129
0,0,0,-,1144
784,2233,815,18.0,1151
1802,9996,6799,34.0,1201
305,2523,1178,25.1,1220
46,107,127,33.1,1222
51,577,415,39.3,1223
0,49,0,21.8,1224
125,627,514,31.1,1225
130,1349,1046,40.9,1226
8,27,30,51.9,1229
236,1727,1698,46.5,1230
187,717,255,22.2,1235
45,249,381,57.5,1236
62,502,364,45.2,1237
47,1277,965,44.7,1238
166,981,1168,51.2,1240
0,0,22,28.1,1242
0,34,33,46.0,1243
7,40,25,26.4,1244
11,65,119,55.4,1245
704,3776,1567,26.1,1247
47,158,168,40.4,1253
7,173,270,61.9,1254
51,215,76,29.0,1255
25,204,76,20.2,1256
11,499,290,39.4,1257
4,20,54,50.6,1258
7,85,81,47.6,1259
0,20,0,0.0,1260
45,297,259,52.2,1262
0,36,53,58.4,1264
27,130,243,68.6,1266
85,731,1060,67.4,1267
24,179,179,40.8,1270
775,3568,2873,37.0,1301
32,307,331,49.9,1330
714,3852,1421,20.3,1331
92,610,402,33.1,1337
0,32,0,40.0,1338
41,305,254,35.5,1339
64,484,257,36.9,1340
30,203,316,58.1,1341
29,327,142,46.6,1342
14,48,14,11.0,1343
55,464,194,24.5,1344
1,93,97,48.6,1346
8,0,63,49.7,1347
8,153,31,25.5,1349
4,44,4,16.0,1350
93,567,480,43.2,1351
44,298,431,46.6,1354
10,221,158,30.3,1355
133,526,510,45.1,1360
368,2336,628,16.9,1364
31,211,188,43.5,1366
21,121,62,26.8,1367
106,362,156,24.8,1368
121,581,843,52.7,1370
116,727,840,43.2,1373
97,368,729,53.7,1375
195,1384,574,30.1,1376
17,230,177,39.7,1378
17,150,167,49.4,1379
0,9,7,36.0,1380
2135,8903,4537,23.6,1420
129,883,1089,38.4,1430
112,719,546,41.5,1431
316,1158,1446,39.5,1432
154,370,251,31.6,1434
126,661,361,22.1,1436
11,31,38,26.8,1438
1271,5566,2130,19.5,1440
144,1033,2525,63.4,1450
33,282,1538,76.3,1451
113,898,612,30.7,1452
1775,8938,6737,33.2,1453
191,1537,1950,56.8,1460
275,2309,2149,41.6,1462
178,1951,2092,44.0,1463
415,1901,1190,32.6,1464
115,817,698,35.0,1468
146,1311,1403,39.5,1469
222,1710,1325,40.2,1473
51,434,278,31.6,1474
354,2483,1058,23.5,1475
448,3264,2933,41.9,1501
56,729,891,53.9,1503
182,2197,1547,34.0,1504
97,552,1156,53.4,1505
72,988,463,26.0,1506
392,2668,2077,39.3,1507
605,2863,2492,37.0,1510
49,636,307,26.0,1515
31,1864,1745,40.2,1516
38,557,396,44.5,1518
48,852,1994,63.4,1519
228,1710,3616,60.1,1520
115,544,429,30.6,1521
13,260,596,55.1,1522
286,1351,2070,51.1,1523
150,1324,737,28.4,1524
31,0,0,0.0,1525
454,2921,1883,32.8,1527
172,692,490,29.8,1529
58,169,175,36.0,1531
206,1509,3516,65.2,1532
403,1061,1023,40.4,1534
157,1344,622,29.9,1535
203,1171,1227,46.6,1536
120,359,303,32.8,1537
251,3091,1249,25.8,1540
35,288,962,63.7,1541
96,534,264,27.0,1542
84,1542,1530,41.8,1543
614,3611,8322,65.4,1545
1313,4041,1402,17.0,1550
106,921,844,49.4,1560
0,0,0,-,1561
375,3825,1368,24.2,1562
176,1467,1970,49.7,1564
200,933,1221,43.4,1566
88,812,1980,58.0,1568
296,2873,2378,36.2,1569
610,4278,2368,26.1,1570
371,2289,1384,27.9,1571
384,1763,4872,68.8,1581
330,1400,1260,39.5,1583
228,1343,674,26.3,1585
327,2205,1280,29.5,1588
164,1561,1597,46.5,1590
563,4006,4241,45.6,1602
1320,4441,2380,22.2,1603
2602,8701,5764,31.7,1604
1408,6479,3396,28.6,1605
942,4205,3595,40.1,1606
438,1819,1375,30.0,1607
247,740,707,32.5,1608
972,3061,2857,44.9,1609
1959,4295,1804,19.7,1610
99,410,253,28.7,1611
110,575,897,51.1,1612
699,3771,8309,60.4,1701
1896,6341,6183,40.6,1702
0,0,156,75.3,1718
30,248,1452,78.5,1719
261,1108,5116,77.1,1720
211,1970,4487,61.2,1721
226,1142,3340,68.9,1730
0,148,162,34.7,1731
18,358,1372,77.1,1740
0,136,1145,81.3,1741
360,1300,3564,77.0,1742
13,42,149,70.6,1745
192,1269,4001,65.8,1746
119,991,1166,46.2,1747
127,1235,4408,75.1,1748
777,2960,4018,45.4,1749
1727,7836,7011,40.6,1752
108,1101,2332,63.1,1754
47,917,1579,53.0,1756
1361,6082,4826,34.3,1757
332,3710,8891,69.9,1760
35,178,1043,81.6,1770
82,638,2214,70.9,1772
46,109,1155,87.3,1773
41,533,1719,74.3,1775
82,858,4731,83.6,1776
85,532,3314,78.3,1778
1006,7278,8102,47.7,1801
306,3798,6484,58.2,1803
308,2121,8643,75.6,1810
582,5556,5741,43.2,1821
522,2978,5858,56.5,1824
1337,7640,5587,34.4,1826
33,339,774,59.2,1827
1228,5743,3376,28.9,1830
1144,6067,3370,26.9,1832
106,960,2007,55.9,1833
204,1090,1273,45.0,1834
352,2064,2367,37.6,1835
743,1549,393,14.1,1840
3943,10791,3064,12.5,1841
1951,5749,2300,19.5,1843
1756,10805,7215,30.7,1844
267,3507,6830,59.6,1845
964,3928,1094,16.4,1850
1533,6337,4046,30.1,1851
1540,7598,4742,32.1,1852
1408,5855,3266,27.9,1854
222,1229,1174,33.2,1860
456,2554,2180,35.1,1862
181,1405,1764,45.5,1863
188,1991,3761,57.0,1864
197,2738,6169,64.5,1867
915,6442,6192,42.8,1876
254,1614,2329,47.8,1879
522,3986,6322,56.9,1880
144,1821,5627,72.4,1886
440,3788,4845,47.9,1887
213,1396,4322,77.3,1890
39,353,219,30.0,1901
3336,10820,4297,19.3,1902
974,3866,2592,30.6,1904
1933,5150,2552,19.2,1905
1165,7324,3850,29.8,1906
212,1381,3360,63.5,1907
52,518,890,62.4,1908
449,2948,3401,41.3,1913
603,6209,8865,51.5,1915
77,695,2304,69.7,1921
65,495,681,48.9,1922
790,4507,6178,47.6,1923
68,337,854,63.3,1929
678,6406,5363,39.6,1930
62,77,12,14.8,1937
