hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1363,3028,1781,17.7,601
2825,6698,3692,19.4,602
3549,9741,5888,23.1,603
762,1422,311,9.5,606
1841,5569,2498,17.6,610
3616,12531,7561,23.6,612
747,2135,1328,21.1,616
1351,5292,2603,19.6,617
670,1150,966,24.0,622
3429,7598,6081,26.3,623
1780,4342,2824,22.4,624
2019,6304,3629,20.6,627
152,288,135,13.9,631
1571,5369,2651,19.7,637
1202,3672,1399,15.0,638
1614,5869,2893,18.6,641
2552,7007,5499,30.1,646
442,1459,656,18.0,647
717,3664,1092,13.2,650
234,644,468,23.4,652
1122,2875,772,14.5,653
1258,3887,2385,23.0,656
2518,6503,5171,24.8,659
923,3803,2061,22.3,660
2598,8440,4523,22.8,662
611,3896,1245,17.3,664
2414,4291,1940,15.7,667
2071,3986,2766,18.5,669
718,1746,791,14.8,670
2573,7731,4874,22.0,674
2653,7715,3575,18.8,676
1251,2581,1913,23.4,677
1840,5677,2613,18.1,678
2902,9616,4930,21.4,680
2064,5291,4254,31.6,682
2042,6653,3705,23.0,683
2390,7286,3988,18.1,685
2276,5404,2822,16.9,687
836,2954,1487,20.2,688
246,1120,742,29.5,690
2427,6943,3535,21.8,692
5417,8757,5626,20.5,693
0,0,0,0.0,694
2241,8156,4902,24.7,698
2015,5393,2515,16.5,703
451,1867,712,18.5,704
1264,5749,2251,20.1,705
766,1995,1214,17.7,707
1242,5029,1492,14.0,714
348,724,175,8.5,715
1469,5626,4613,33.2,716
846,3477,2245,29.3,717
1741,5518,2513,19.2,718
2305,5007,2749,16.7,719
1692,4909,1764,16.0,720
957,3525,1610,16.0,723
4550,16091,11560,28.0,725
2313,8989,8763,33.9,727
2237,8541,5143,24.8,728
3091,11655,5664,21.1,729
2077,7158,3553,23.1,730
608,3110,1491,20.9,731
898,2801,1185,18.7,735
2503,10499,5515,22.6,736
1789,7028,3982,24.3,738
1561,7648,4181,24.0,739
121,473,66,6.5,740
489,973,374,12.3,741
3343,11667,5998,21.8,745
1648,5599,1992,17.1,751
2202,7223,4002,19.9,754
913,5709,2436,24.1,757
460,2311,919,20.8,765
1150,5679,2618,20.3,766
2245,5972,3706,18.6,767
2344,9903,4495,21.5,769
2219,7003,3798,20.6,771
1773,5316,1259,11.7,772
1141,4194,1830,19.5,773
113,351,113,15.3,775
1894,8268,3807,19.4,777
2599,7322,7238,34.3,778
447,2015,1698,33.7,780
968,3815,1186,12.2,782
2397,6650,2832,16.5,783
2540,10738,4568,20.4,784
47,215,0,0.0,786
2656,10891,5981,23.9,791
1959,6436,2577,18.3,794
2930,9551,5901,25.2,795
484,1256,1215,40.4,901
0,0,42,87.6,906
699,2035,3481,50.8,907
290,987,683,32.4,909
169,719,1869,54.0,911
338,963,871,33.5,912
431,1664,414,16.3,913
