total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17242,13491,3004,0.3,99.7,0.0,0.7,0.0,601
38442,31121,6615,5.5,93.5,0.1,13.8,0.0,602
48814,38794,9671,1.4,97.4,0.3,2.2,0.3,603
6437,5185,1158,0.2,99.8,0.0,1.9,0.0,606
27073,21766,5214,3.2,96.2,0.0,11.3,0.0,610
60303,48085,12655,0.5,99.3,0.0,1.4,0.0,612
10765,9033,2173,0.5,99.5,0.0,0.9,0.0,616
23974,18790,4372,0.2,99.8,0.0,1.0,0.0,617
6578,5690,2072,0.0,100.0,0.0,0.0,0.0,622
42427,33833,8594,0.2,99.8,0.0,0.6,0.0,623
22707,17413,3560,0.2,99.7,0.0,2.0,0.0,624
32222,25844,5960,0.6,99.3,0.1,0.8,0.0,627
1568,1327,435,0.0,100.0,0.0,0.0,0.0,631
22975,18256,4923,0.2,99.8,0.0,1.9,0.0,637
16701,13121,3237,1.0,99.0,0.0,1.8,0.0,638
27571,22068,5443,0.5,99.4,0.1,2.2,0.0,641
37494,28963,6074,1.5,98.5,0.0,5.6,0.1,646
5643,4631,1633,0.0,100.0,0.0,1.5,0.0,647
14760,11562,2596,1.1,98.9,0.0,0.3,0.0,650
3697,2872,737,0.5,99.5,0.0,0.2,0.0,652
11140,8653,2097,1.3,98.5,0.0,1.0,0.0,653
18979,14864,3639,0.4,99.5,0.0,1.3,0.1,656
40390,32416,7561,0.1,99.9,0.0,0.6,0.0,659
16180,13282,4218,0.1,99.8,0.1,1.7,0.0,660
40290,32219,7595,1.0,98.5,0.2,0.8,0.0,662
14991,11593,2317,0.4,99.6,0.0,2.7,0.0,664
23590,19181,5437,0.2,99.7,0.0,1.7,0.0,667
25653,20489,4843,0.3,99.5,0.0,0.7,0.0,669
8498,6725,1617,0.5,99.5,0.0,0.8,0.0,670
39859,31518,7818,1.0,98.4,0.3,0.5,0.0,674
36995,28967,5956,0.4,99.2,0.0,1.1,0.1,676
14311,11704,3307,9.2,88.8,0.2,13.0,0.0,677
26091,20734,4722,0.6,98.9,0.3,0.7,0.0,678
46395,38508,11135,0.3,99.5,0.1,1.6,0.0,680
32359,25931,6336,0.9,98.8,0.0,3.5,0.1,682
30424,24528,7083,0.6,99.3,0.0,0.6,0.0,683
38039,30524,8281,1.7,97.8,0.0,1.8,0.0,685
31320,24360,4570,0.3,99.5,0.1,1.6,0.0,687
12202,10002,2117,0.6,99.3,0.0,0.3,0.1,688
5352,4417,1232,0.8,99.2,0.0,2.1,0.0,690
35840,27839,5872,1.0,98.3,0.2,3.4,0.0,692
54428,43235,10315,2.7,97.2,0.1,1.3,0.0,693
69,69,69,0.0,100.0,0.0,0.0,0.0,694
36312,29116,7367,0.1,99.7,0.0,1.4,0.0,698
26320,20969,4873,1.0,99.0,0.0,24.1,0.0,703
8274,6277,1112,0.1,99.7,0.0,0.5,0.2,704
23176,18483,4353,0.2,99.6,0.0,0.8,0.1,705
10964,8790,2271,1.2,98.8,0.0,0.6,0.0,707
17998,13954,3249,0.2,99.8,0.0,1.2,0.0,714
2972,2424,703,0.0,100.0,0.0,19.8,0.0,715
28089,22758,6483,0.8,99.0,0.1,8.3,0.0,716
16659,13054,3715,0.8,99.1,0.0,10.9,0.0,717
25715,19709,4304,0.4,99.4,0.0,2.0,0.0,718
29119,23067,5083,0.1,99.9,0.0,5.6,0.0,719
21276,16540,3293,0.3,99.6,0.1,1.8,0.0,720
17393,13992,3471,0.3,99.7,0.0,0.1,0.0,723
80555,64421,16417,1.1,98.7,0.1,3.7,0.0,725
54823,43697,9227,0.4,99.4,0.1,2.5,0.0,727
39698,31770,7034,0.2,99.7,0.1,3.3,0.0,728
51593,40493,8111,0.2,99.6,0.0,0.6,0.1,729
31634,24844,6641,0.6,99.3,0.0,10.4,0.0,730
12722,9924,2112,0.4,99.6,0.0,13.6,0.0,731
12404,10014,2702,1.0,98.7,0.1,2.0,0.0,735
47411,38416,9154,0.3,99.6,0.0,17.9,0.1,736
30376,24135,6390,0.9,98.6,0.2,2.8,0.2,738
36847,28765,5744,0.4,99.5,0.1,2.6,0.0,739
1625,1188,272,0.0,100.0,0.0,0.9,0.0,740
4880,3998,771,0.0,100.0,0.0,1.6,0.0,741
51429,40946,9453,0.5,99.4,0.0,1.9,0.0,745
21009,16374,4173,0.0,99.5,0.0,0.9,0.5,751
37727,30167,6495,0.0,99.9,0.0,3.8,0.1,754
22066,16927,3368,0.4,99.6,0.0,0.3,0.0,757
8607,6867,1803,5.8,93.9,0.0,1.2,0.0,765
23201,18017,3707,0.2,99.8,0.1,28.6,0.0,766
34166,27244,6340,0.0,99.9,0.0,1.1,0.0,767
39121,30791,6401,0.6,99.4,0.0,0.2,0.0,769
37165,29259,6192,0.0,99.8,0.1,1.1,0.0,771
20055,15585,3319,0.0,100.0,0.0,0.5,0.0,772
18547,14734,3721,1.1,98.5,0.0,1.9,0.1,773
1299,1034,276,7.5,92.1,0.0,4.6,0.0,775
39994,31174,5936,0.7,99.3,0.0,4.8,0.0,777
46675,36583,6867,1.5,97.7,0.3,2.0,0.1,778
11653,8726,1901,0.9,99.1,0.0,15.4,0.0,780
18229,14281,2925,0.3,99.6,0.0,0.5,0.0,782
33372,26051,5552,1.0,98.9,0.0,3.8,0.0,783
40685,31956,6832,1.0,98.8,0.2,1.2,0.0,784
348,348,153,0.0,100.0,0.0,0.0,0.0,786
48569,38800,9921,0.6,99.2,0.0,0.6,0.0,791
28755,22075,4147,0.0,100.0,0.0,1.5,0.0,794
44766,34640,7438,0.1,99.9,0.0,32.7,0.0,795
6536,5705,1364,4.1,94.8,0.9,4.7,0.1,901
