hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1276,3618,1592,14.6,601
2801,7243,4659,21.8,602
3439,10641,6042,24.3,603
426,1358,313,10.4,606
1796,5950,2769,18.8,610
87,212,151,22.1,611
3189,13755,9358,27.0,612
680,2521,1386,20.7,616
1467,5028,3248,24.9,617
652,1370,950,20.9,622
2464,7534,6095,27.3,623
1424,4423,3138,23.8,624
2254,6016,3604,21.4,627
26,126,132,24.9,631
90,160,103,32.7,636
1260,5342,2682,21.8,637
1653,3732,1549,15.1,638
1366,4854,3077,20.4,641
1771,7096,5326,31.2,646
361,1534,554,16.7,647
662,3427,1621,19.8,650
280,460,594,29.2,652
927,2333,672,14.2,653
1282,3897,2541,24.6,656
1883,6878,5716,28.3,659
714,4067,2340,25.6,660
2194,8898,5433,24.8,662
613,3856,1607,20.5,664
2000,4861,2360,17.0,667
1988,4817,3151,20.8,669
606,2065,945,18.4,670
2641,8636,5134,23.4,674
2458,8029,4487,22.8,676
907,3036,2033,23.0,677
1761,5544,3023,21.6,678
2846,8462,5338,24.7,680
1931,5006,4261,33.2,682
2208,7388,3448,21.6,683
2753,7740,4731,20.6,685
1917,6276,2896,17.5,687
744,2653,1405,19.4,688
473,1261,960,27.5,690
1943,6964,3630,22.6,692
3626,12140,6829,22.7,693
0,36,0,0.0,694
1710,8825,4893,25.8,698
1711,6052,2785,18.3,703
382,1813,773,20.2,704
1309,6596,2714,22.8,705
708,2398,980,15.5,707
1234,3554,1930,20.6,714
249,669,112,10.5,715
1480,5878,4806,34.3,716
761,3180,2107,31.1,717
1040,6172,2859,22.3,718
2278,5101,3260,18.1,719
1554,4507,1948,18.2,720
869,3612,1583,19.5,723
4213,16969,12278,29.8,725
1962,8982,10020,37.6,727
2253,9132,5597,27.3,728
2659,9954,6308,26.3,729
1930,6945,4577,28.8,730
678,2745,1336,20.3,731
647,3079,1457,20.8,735
2096,10836,6392,25.8,736
1271,7406,5054,29.3,738
1331,8301,4428,25.3,739
161,464,280,21.7,740
495,982,551,18.6,741
3369,10116,7114,25.2,745
1302,5804,2069,18.9,751
2529,6871,3479,18.3,754
597,5460,2838,26.7,757
726,2872,424,14.2,765
884,5502,2666,21.4,766
2440,6100,3385,17.4,767
1597,10044,4628,23.0,769
1419,6066,4514,25.0,771
1690,5408,1403,12.7,772
974,4300,2088,21.9,773
60,332,153,17.6,775
2160,7230,4594,21.8,777
2006,7184,6422,32.6,778
637,2324,2143,34.7,780
1254,3847,1569,15.5,782
2539,6994,4003,21.1,783
2280,10284,3973,21.2,784
0,41,0,0.0,786
2811,12381,5339,22.9,791
1908,5551,3369,22.4,794
2704,9553,6515,27.1,795
383,1793,1436,44.6,901
0,0,54,91.6,906
402,2067,4223,58.8,907
113,831,759,38.0,909
421,770,1839,54.6,911
407,1127,1290,41.3,912
396,1423,639,23.3,913
1970,6026,1755,13.3,915
1080,4216,2509,27.7,917
267,1578,3957,60.6,918
874,2720,3218,34.1,920
1647,6123,4692,29.9,921
1389,5387,2632,23.0,923
2047,8206,6789,30.6,924
374,798,1095,37.9,925
