housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5509,3283,2226,383,83900,601
12740,9528,3212,400,85300,602
19228,11118,8110,433,118400,603
1946,1470,476,275,80800,606
8795,6758,2037,427,87600,610
22809,14324,8485,401,96700,612
3449,2618,831,370,93100,616
7910,5673,2237,487,104500,617
2067,1428,639,344,118800,622
13406,8579,4827,471,106600,623
7411,5494,1917,431,76500,624
11394,8254,3140,455,94400,627
629,300,329,214,87500,631
7033,5336,1697,467,95800,637
5899,4171,1728,378,89600,638
8945,5409,3536,396,90200,641
11652,9001,2651,653,135100,646
1919,1421,498,713,85900,647
5136,3640,1496,535,92400,650
1319,1097,222,620,93400,652
3596,2495,1101,338,89800,653
6502,4668,1834,349,79800,656
14160,10516,3644,456,93000,659
6255,4580,1675,424,98700,660
13849,8976,4873,453,103800,662
4878,2798,2080,376,94100,664
7781,4718,3063,452,87200,667
9597,6135,3462,439,85800,669
2680,1935,745,280,85000,670
14858,10872,3986,526,105000,674
13425,8542,4883,421,93800,676
5029,3573,1456,450,121700,677
8811,5912,2899,463,101400,678
18364,10579,7785,422,87400,680
11868,6712,5156,412,112600,682
11067,7847,3220,407,82300,683
13383,8633,4750,401,98000,685
9645,6679,2966,503,105700,687
4237,3029,1208,443,90900,688
2407,1815,592,625,117400,690
11330,7745,3585,527,115700,692
19035,15178,3857,494,106200,693
30,30,0,-,-,694
10926,8253,2673,365,91000,698
8475,5620,2855,453,114100,703
2724,2320,404,487,77600,704
8527,6645,1882,470,112500,705
3815,2833,982,398,87600,707
5899,4640,1259,471,89400,714
1032,752,280,316,82200,715
11060,6896,4164,374,112600,716
6759,3234,3525,288,102600,717
7979,6195,1784,458,92700,718
8598,6452,2146,477,88200,719
6626,4405,2221,394,85500,720
6162,4043,2119,309,90300,723
30256,20071,10185,497,121200,725
19252,13896,5356,738,137700,727
13139,9909,3230,410,98500,728
16481,12314,4167,539,108100,729
11558,7203,4355,391,92400,730
4361,3063,1298,419,77300,731
4303,3078,1225,484,91600,735
17238,10963,6275,483,116700,736
11558,7765,3793,520,103500,738
11793,7829,3964,495,117200,739
740,315,425,425,67600,740
1324,1057,267,614,85800,741
15867,12004,3863,527,114600,745
7609,6004,1605,413,84400,751
13650,10273,3377,498,109800,754
7367,5714,1653,488,93500,757
2210,1531,679,639,103800,765
8071,5597,2474,399,92100,766
11541,8306,3235,454,87200,767
13040,10057,2983,493,90900,769
12199,9500,2699,560,114000,771
6438,4246,2192,368,91100,772
6582,4684,1898,461,111200,773
474,291,183,578,148800,775
12782,9185,3597,443,104300,777
14498,11921,2577,622,141900,778
3982,3353,629,773,96000,780
5207,2879,2328,453,94800,782
10375,7885,2490,514,91600,783
13708,9931,3777,376,86400,784
99,99,0,-,103000,786
16291,11652,4639,429,97400,791
8741,6432,2309,409,99100,794
14782,10464,4318,508,91300,795
2760,1051,1709,522,288700,901
115,101,14,-,357700,906
8043,4718,3325,803,231900,907
2243,1011,1232,510,129000,909
3591,1928,1663,726,260700,911
2578,1438,1140,537,124200,912
3310,496,2814,214,370500,913
10615,4555,6060,408,87800,915
8326,3904,4422,459,115600,917
8055,3901,4154,332,171800,918
6821,3928,2893,665,146500,920
13545,6419,7126,537,134300,921
10039,4316,5723,371,108400,923
19230,10456,8774,392,128600,924
3189,755,2434,444,128700,925
36114,25871,10243,582,170400,926
5963,3047,2916,528,193000,927
29,0,29,-,-,934
0,0,0,-,-,936
25628,19425,6203,599,127100,949
0,0,0,-,-,950
0,0,0,-,-,951
2796,1740,1056,518,98200,952
21729,18015,3714,664,133900,953
24607,17473,7134,563,121200,956
14300,10151,4149,539,130400,957
17685,11415,6270,602,137000,959
0,0,0,-,-,960
11278,7279,3999,579,149900,961
6829,3802,3027,466,106800,962
2514,1502,1012,421,84800,965
5841,4249,1592,797,224700,966
1797,1198,599,865,217300,968
14343,11048,3295,889,222400,969
8657,5782,2875,621,122000,971
21424,14454,6970,519,146200,976
8197,5358,2839,870,170600,979
5910,3994,1916,604,136800,982
13284,8956,4328,551,134700,983
12166,8538,3628,561,131100,985
20567,15351,5216,716,142100,987
7413,5408,2005,1148,215700,1001
9798,4802,4996,1380,355500,1002
42,4,38,-,-,1003
1944,1674,270,965,236400,1005
5563,4531,1032,975,276900,1007
490,466,24,-,243700,1008
114,84,30,-,205300,1009
1447,1274,173,703,272200,1010
564,453,111,1040,206800,1011
272,239,33,1257,249700,1012
9140,4492,4648,878,183000,1013
12798,8287,4511,956,187400,1020
1154,756,398,1517,120900,1022
448,350,98,855,259800,1026
7928,5044,2884,1000,262400,1027
5958,4924,1034,945,268400,1028
238,181,57,-,242200,1029
4416,3555,861,869,253400,1030
537,269,268,901,198500,1031
234,212,22,1196,249000,1032
2603,2267,336,843,255800,1033
855,792,63,1350,278700,1034
2294,1798,496,1252,340000,1035
2000,1827,173,1121,283100,1036
238,205,33,-,272100,1037
1220,885,335,1088,305000,1038
543,398,145,1151,293900,1039
15278,6214,9064,838,195800,1040
1067,883,184,959,212300,1050
565,428,137,976,283500,1053
766,679,87,1393,335300,1054
7925,5778,2147,1027,232300,1056
3526,2907,619,865,247700,1057
6556,2699,3857,1231,354500,1060
4171,3140,1031,940,320700,1062
0,0,0,-,-,1063
31,31,0,-,-,1066
688,654,34,1153,294800,1068
3508,2702,806,889,206400,1069
296,242,54,800,238200,1070
526,477,49,950,229400,1071
630,569,61,1417,274500,1072
2406,2187,219,903,336600,1073
95,21,74,-,-,1074
6616,4810,1806,1013,243500,1075
