housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5959,3157,2802,375,92000,601
12785,9577,3208,385,90000,602
18828,11315,7513,391,126000,603
1975,1474,501,278,93200,606
9210,7153,2057,424,99300,610
22931,14897,8034,394,99100,612
3499,2594,905,459,97500,616
8334,6564,1770,451,108200,617
2503,1450,1053,547,140700,622
14627,8562,6065,402,110300,623
7922,6034,1888,418,78500,624
11816,8327,3489,399,105300,627
648,250,398,252,80000,631
7413,5624,1789,428,98100,637
6000,3950,2050,381,106200,638
9440,6090,3350,386,93900,641
12079,9244,2835,658,148200,646
1818,1425,393,602,88800,647
4994,3736,1258,448,93500,650
1367,1196,171,456,92300,652
3717,2667,1050,386,90400,653
6651,4799,1852,343,82700,656
14339,10736,3603,428,112800,659
6233,4718,1515,405,109200,660
14321,9199,5122,485,109700,662
4749,3157,1592,373,90000,664
8457,4616,3841,433,94400,667
9771,5506,4265,393,87800,669
3109,2037,1072,292,75700,670
15958,11492,4466,471,108900,674
12550,8559,3991,410,96400,676
5236,4099,1137,423,126900,677
9360,5566,3794,442,108900,678
18926,11243,7683,392,95800,680
11733,6779,4954,380,113500,682
11752,8480,3272,371,101000,683
14046,8889,5157,379,102700,685
9827,7148,2679,493,99400,687
4256,3163,1093,431,97000,688
2171,1656,515,550,117800,690
11904,8416,3488,523,120600,692
17873,14878,2995,548,111800,693
39,39,0,-,-,694
10643,8271,2372,381,92500,698
8790,5909,2881,425,106200,703
2938,2314,624,353,87100,704
8526,6818,1708,451,119400,705
4035,2845,1190,361,93900,707
6168,4745,1423,459,92200,714
1268,815,453,315,90700,715
11483,6776,4707,402,112600,716
6943,2952,3991,320,105700,717
8513,6752,1761,408,94800,718
8820,6875,1945,477,100800,719
6735,4688,2047,358,98600,720
6458,4617,1841,351,94000,723
31237,20365,10872,472,130500,725
20567,15183,5384,673,147600,727
13654,10064,3590,465,99000,728
16532,12783,3749,518,115600,729
12463,8010,4453,372,93700,730
4814,3459,1355,386,93700,731
4658,3561,1097,462,95800,735
17705,11879,5826,458,120000,736
12099,8276,3823,468,106600,738
12279,9097,3182,505,121000,739
592,250,342,501,84600,740
1554,1185,369,638,88500,741
16545,12840,3705,559,117800,745
8247,6756,1491,365,86700,751
13676,9870,3806,465,116900,754
7757,5677,2080,408,93100,757
2585,2173,412,614,108100,765
8030,6055,1975,345,92900,766
12045,8676,3369,412,90700,767
13482,10356,3126,464,90900,769
12774,9124,3650,470,113600,771
6659,4570,2089,364,94700,772
6691,4645,2046,469,111900,773
499,321,178,621,107000,775
12878,9366,3512,415,116500,777
15473,13079,2394,610,156700,778
4162,3426,736,347,116300,780
5813,3674,2139,366,89500,782
10842,8504,2338,463,92700,783
14441,10660,3781,424,94800,784
117,117,0,-,96700,786
17175,12717,4458,431,100200,791
9404,7114,2290,392,102500,794
15379,11638,3741,431,97700,795
2782,1090,1692,499,247100,901
55,35,20,-,260700,906
8943,5217,3726,715,236400,907
2520,968,1552,454,144900,909
3868,2000,1868,672,278200,911
2438,1354,1084,550,143800,912
3420,514,2906,172,391100,913
11411,4922,6489,406,95400,915
8193,3790,4403,446,114700,917
8030,3635,4395,241,186600,918
7131,4023,3108,632,152500,920
13945,6244,7701,543,147900,921
10379,4367,6012,394,115800,923
20004,10712,9292,384,134600,924
3135,616,2519,452,122600,925
37771,26282,11489,610,180500,926
6049,3291,2758,532,217200,927
47,0,47,-,-,934
0,0,0,-,-,936
26248,19533,6715,558,138800,949
0,0,0,-,-,950
8,8,0,-,-,951
3073,1892,1181,556,115100,952
21935,18714,3221,609,147800,953
26169,18930,7239,552,134000,956
15220,10669,4551,511,136800,957
18795,12182,6613,555,148500,959
0,0,0,-,-,960
11402,7863,3539,479,153400,961
7182,4082,3100,266,112000,962
2821,1651,1170,425,105200,965
6367,4934,1433,694,248400,966
1854,1314,540,851,226300,968
15818,12204,3614,809,238800,969
10160,7056,3104,536,151600,971
21694,14717,6977,522,155100,976
7732,5006,2726,773,181600,979
5893,3871,2022,627,139600,982
14554,9516,5038,571,149500,983
12754,8772,3982,478,142100,985
21578,16013,5565,666,152000,987
7190,5074,2116,975,202800,1001
9561,4466,5095,1206,344000,1002
26,0,26,1150,-,1003
1840,1448,392,926,213700,1005
5611,4434,1177,921,258000,1007
530,501,29,831,235000,1008
106,94,12,-,218800,1009
1494,1213,281,773,267400,1010
552,460,92,881,188900,1011
243,208,35,1106,228400,1012
9302,4296,5006,840,173400,1013
12482,8098,4384,839,179300,1020
1204,979,225,1268,121100,1022
455,376,79,786,259100,1026
7883,4660,3223,912,247900,1027
6063,5095,968,851,259800,1028
325,261,64,633,289500,1029
4431,3498,933,780,241800,1030
533,290,243,696,183300,1031
273,241,32,1352,253300,1032
2476,2105,371,786,262100,1033
862,749,113,-,262400,1034
2291,1697,594,1072,325900,1035
1907,1758,149,913,271200,1036
252,246,6,-,313200,1037
1270,972,298,1035,282700,1038
547,441,106,1004,271900,1039
15005,6243,8762,742,188600,1040
925,793,132,988,220000,1050
557,426,131,-,278600,1053
809,717,92,1029,344200,1054
8000,5977,2023,884,228300,1056
3476,2897,579,844,226800,1057
6433,2730,3703,1042,319200,1060
4374,3194,1180,879,314300,1062
0,0,0,-,-,1063
12,0,12,-,-,1066
647,611,36,1175,271600,1068
3471,2632,839,669,189600,1069
259,230,29,633,239300,1070
511,486,25,882,225500,1071
650,574,76,1321,267200,1072
2490,2238,252,979,322000,1073
78,0,78,-,-,1074
6803,5006,1797,927,227300,1075
3634,2956,678,929,283300,1077
354,229,125,1323,177300,1079
901,576,325,840,159600,1080
709,569,140,861,195000,1081
4377,3183,1194,752,185800,1082
1136,690,446,878,200000,1083
71,68,3,-,315000,1084
15389,10569,4820,913,223700,1085
0,0,0,-,-,1086
245,176,69,980,245900,1088
11630,6978,4652,840,202400,1089
486,352,134,-,251800,1092
130,119,11,-,341800,1093
193,67,126,484,179900,1094
5257,4663,594,718,287800,1095
1047,885,162,883,269800,1096
25,3,22,-,-,1097
537,453,84,775,266400,1098
1406,144,1262,813,119000,1103
8866,4031,4835,797,132400,1104
4822,516,4306,720,141000,1105
5832,5256,576,1261,327700,1106
3873,994,2879,658,161400,1107
9776,3727,6049,918,152200,1108
9571,4456,5115,907,129300,1109
5531,4306,1225,910,157300,1118
4722,3570,1152,934,149700,1119
1071,1043,28,-,168200,1128
2872,2277,595,1018,164000,1129
3289,1284,2005,891,133500,1151
0,0,0,-,-,1199
19765,12212,7553,803,172400,1201
3773,2540,1233,642,149700,1220
370,328,42,790,254800,1222
999,927,72,1115,259900,1223
108,54,54,720,192300,1224
1445,1123,322,822,198800,1225
2871,2193,678,872,187500,1226
52,44,8,-,246700,1229
3263,2293,970,928,344300,1230
1165,976,189,727,193200,1235
474,395,79,-,330500,1236
958,796,162,1217,242100,1237
2434,1774,660,761,250800,1238
2326,1399,927,781,369400,1240
156,87,69,-,251700,1242
183,172,11,-,221700,1243
56,44,12,-,427300,1244
412,329,83,977,427600,1245
6874,4059,2815,686,154100,1247
319,307,12,625,239500,1253
469,431,38,1170,447500,1254
338,312,26,706,288600,1255
326,291,35,792,188400,1256
953,767,186,1013,314500,1257
189,179,10,-,417900,1258
279,248,31,1107,386200,1259
151,81,70,-,384400,1260
564,322,242,958,366200,1262
65,52,13,1250,355600,1264
633,556,77,1621,380800,1266
2376,1760,616,895,299300,1267
342,340,2,-,279300,1270
7838,4357,3481,837,185300,1301
634,525,109,900,276200,1330
5331,3849,1482,760,148500,1331
1130,956,174,1172,236700,1337
57,51,6,-,287500,1338
624,495,129,787,228400,1339
733,590,143,1006,185300,1340
684,629,55,1196,300400,1341
555,297,258,1135,334300,1342
24,24,0,-,287500,1343
638,523,115,725,199800,1344
194,175,19,967,213800,1346
64,46,18,-,103800,1347
425,352,73,763,192300,1349
43,33,10,900,104700,1350
1008,779,229,852,268100,1351
582,488,94,829,240600,1354
397,351,46,1047,254900,1355
1256,966,290,782,234500,1360
3326,2299,1027,733,159500,1364
481,404,77,734,279900,1366
250,220,30,1300,190000,1367
512,428,84,1164,213000,1368
1789,1242,547,822,242000,1370
1867,1524,343,1027,277500,1373
1547,671,876,1222,278200,1375
2283,1085,1198,787,184400,1376
351,325,26,1088,206800,1378
353,305,48,917,205700,1379
14714,7716,6998,912,180200,1420
2195,2028,167,961,239900,1430
1051,928,123,1243,247000,1431
3324,2182,1142,887,292800,1432
206,119,87,938,243300,1434
1299,1010,289,549,171800,1436
245,227,18,-,211400,1438
8215,4212,4003,767,173200,1440
4042,3485,557,1157,427800,1450
1666,1537,129,1375,565100,1451
1626,1464,162,1263,239300,1452
16730,9236,7494,877,227000,1453
3554,2968,586,1257,392300,1460
4262,3428,834,1577,273600,1462
4301,3375,926,1177,315500,1463
2408,1685,723,971,310600,1464
144,144,0,-,513400,1467
1707,1566,141,-,209000,1468
2652,2108,544,847,258100,1469
2864,2478,386,1113,270400,1473
745,621,124,1125,277900,1474
3855,2993,862,879,186400,1475
6452,5311,1141,986,240700,1501
1129,963,166,1067,376100,1503
3343,2342,1001,853,261400,1504
1723,1478,245,1065,347900,1505
1419,1135,284,930,217200,1506
4834,3904,930,902,280100,1507
5602,3011,2591,1045,242800,1510
826,711,115,867,236100,1515
3164,2580,584,1068,274000,1516
1252,881,371,685,334700,1518
2376,1881,495,997,378000,1519
5238,4726,512,1161,290400,1520
952,815,137,1214,203200,1521
1231,1037,194,1000,283900,1522
2277,1884,393,1123,304300,1523
2656,1892,764,856,220800,1524
56,38,18,-,208700,1525
5267,3857,1410,982,261200,1527
1073,831,242,985,291800,1529
386,344,42,1025,272400,1531
5117,4245,872,1328,379900,1532
2228,1692,536,749,327100,1534
1824,1277,547,803,233100,1535
2764,2146,618,1065,322300,1536
929,752,177,866,194700,1537
4338,3099,1239,801,236900,1540
1226,1090,136,1114,368500,1541
868,658,210,1063,239300,1542
2873,2489,384,907,279600,1543
12860,9523,3337,1227,384400,1545
6835,2954,3881,872,185400,1550
1667,896,771,1085,354600,1560
84,35,49,-,-,1561
4735,3119,1616,782,248000,1562
2762,2421,341,1181,340600,1564
2350,2065,285,1276,266500,1566
2659,2183,476,978,399800,1568
4754,3771,983,1191,271600,1569
6520,3537,2983,830,209500,1570
3945,2989,956,859,250300,1571
6757,4146,2611,1362,432000,1581
2031,1718,313,853,268700,1583
1843,1395,448,1291,219800,1585
3715,2154,1561,911,250800,1588
3201,2897,304,789,356500,1590
9444,5495,3949,1129,218600,1602
7254,3324,3930,959,179300,1603
14189,6575,7614,1050,209800,1604
10391,3100,7291,891,195100,1605
7865,5357,2508,996,210600,1606
3584,1613,1971,1015,175600,1607
1587,92,1495,746,-,1608
7133,2685,4448,931,291700,1609
7912,1198,6714,976,169000,1610
925,574,351,971,227600,1611
1512,1372,140,1044,281800,1612
12543,9978,2565,1340,377300,1701
15207,5046,10161,1195,312600,1702
199,158,41,-,261000,1718
2157,1581,576,958,500200,1719
8409,6488,1921,1303,540400,1720
6726,5362,1364,1300,372400,1721
5133,3666,1467,1703,595600,1730
520,6,514,2522,-,1731
1703,1602,101,972,476600,1740
1762,1694,68,2085,757900,1741
6773,5186,1587,1825,729200,1742
149,141,8,-,391000,1745
5119,4342,777,964,399900,1746
2280,1799,481,1140,311800,1747
5620,4767,853,1567,536100,1748
7605,5699,1906,1159,310100,1749
15442,8500,6942,1245,316500,1752
4375,3140,1235,1110,327600,1754
2012,1776,236,1422,403500,1756
11116,7532,3584,1022,285900,1757
13943,10160,3783,1304,474500,1760
1449,1345,104,1097,716800,1770
3181,2832,349,1328,582900,1772
1955,1583,372,1626,870500,1773
2519,2272,247,1589,452600,1775
6133,5609,524,788,650200,1776
5129,4525,604,1133,638300,1778
15266,9218,6048,1405,374300,1801
9271,6458,2813,1693,439400,1803
12179,9727,2452,1325,580000,1810
10911,8829,2082,1310,358300,1821
9812,8364,1448,1272,373200,1824
10957,8470,2487,1236,291300,1826
1165,1133,32,1375,436600,1827
10010,5444,4566,1095,271100,1830
8616,5245,3371,1054,253900,1832
3153,2633,520,1295,409200,1833
2274,1861,413,1259,372600,1834
5155,3483,1672,1126,267300,1835
2259,141,2118,839,108600,1840
14715,4027,10688,1028,236700,1841
8778,3160,5618,1077,227600,1843
17401,12329,5072,1103,293600,1844
10900,7981,2919,1392,448300,1845
5447,2462,2985,1131,206700,1850
10114,4097,6017,1070,243900,1851
13675,6224,7451,1037,244100,1852
9530,3533,5997,952,224900,1854
