total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17126,13916,3478,0.5,99.5,0.0,5.2,0.0,601
37895,31446,7768,4.7,94.1,0.0,32.7,0.1,602
49136,40318,11025,1.5,97.9,0.0,7.6,0.1,603
5751,4747,1309,0.7,99.3,0.0,4.5,0.0,606
26153,21662,5423,3.5,95.8,0.4,31.4,0.0,610
1283,1059,268,4.9,95.1,0.0,6.4,0.0,611
64090,51924,14734,0.5,99.2,0.1,19.8,0.0,612
10186,8857,2127,0.3,99.7,0.0,17.0,0.0,616
22803,18531,4531,0.5,99.3,0.0,23.7,0.0,617
7751,6873,2424,1.4,98.6,0.0,13.1,0.0,622
39652,32477,8669,0.3,99.3,0.1,11.0,0.2,623
21912,17206,3806,0.4,99.1,0.3,5.1,0.0,624
32885,27107,6864,0.7,99.3,0.0,3.5,0.0,627
1098,905,387,0.0,100.0,0.0,0.0,0.0,631
1174,853,98,0.0,100.0,0.0,6.0,0.0,636
23016,18715,5485,0.8,99.0,0.0,6.7,0.0,637
17689,14248,4098,0.8,99.2,0.0,21.3,0.0,638
24915,20498,5744,0.6,98.8,0.1,3.3,0.0,641
36142,28954,6442,3.0,97.0,0.0,29.7,0.0,646
5198,4079,1498,0.0,99.1,0.0,3.7,0.0,647
14301,11621,2830,0.8,99.2,0.0,20.4,0.0,650
3193,2749,751,2.9,97.1,0.0,24.6,0.0,652
9099,7495,1992,1.1,98.4,0.0,6.2,0.0,653
18633,15156,4086,0.2,99.7,0.0,4.0,0.1,656
37525,31173,7700,0.2,99.6,0.1,5.8,0.0,659
15630,13214,4376,0.7,99.1,0.0,4.1,0.0,660
40503,33513,8514,0.7,98.2,0.2,9.0,0.1,662
15132,11972,2751,1.2,98.8,0.0,3.1,0.0,664
23665,19792,5834,1.2,98.0,0.0,7.7,0.0,667
27763,22780,5771,0.6,99.0,0.0,2.9,0.0,669
8744,7009,1880,0.3,99.2,0.0,6.5,0.0,670
39569,32170,8766,1.4,97.9,0.2,25.3,0.0,674
36849,29916,6951,0.3,99.4,0.1,6.1,0.1,676
15225,12816,3859,6.5,92.1,0.1,42.6,0.0,677
25763,21082,5260,1.2,98.0,0.2,8.2,0.0,678
43070,36174,11731,0.2,99.6,0.1,4.2,0.0,680
31816,26182,6698,1.0,98.7,0.1,6.2,0.0,682
29664,24632,7652,1.0,98.8,0.0,6.7,0.0,683
40169,32921,9519,2.9,96.2,0.0,7.9,0.0,685
29069,23375,4940,0.3,99.6,0.1,25.1,0.0,687
11552,9766,2366,0.4,99.6,0.0,5.3,0.0,688
6217,5004,1298,0.3,99.7,0.0,13.9,0.0,690
33646,27117,6382,0.4,99.1,0.4,23.1,0.0,692
56146,45752,11620,1.9,97.8,0.0,23.8,0.0,693
86,86,72,0.0,100.0,0.0,51.2,0.0,694
