total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
16773,13447,3214,0.4,99.6,0.0,3.3,0.0,601
37083,30591,7130,6.3,92.7,0.0,17.3,0.0,602
45652,37047,9978,1.5,97.6,0.2,4.4,0.1,603
6231,5156,1310,0.9,99.1,0.0,4.0,0.0,606
26502,21789,5446,4.3,95.1,0.0,16.8,0.0,610
58771,47242,12940,0.4,99.2,0.1,8.0,0.0,612
9688,8530,2090,0.6,99.4,0.0,8.3,0.0,616
23771,19099,4619,0.5,99.3,0.0,9.8,0.0,617
6505,5978,2238,0.3,99.7,0.0,8.5,0.0,622
41472,33502,8844,0.3,99.4,0.1,6.9,0.1,623
21031,16361,3510,0.4,99.5,0.0,3.0,0.0,624
31066,25426,6250,0.7,99.3,0.0,1.7,0.0,627
1481,1235,413,0.0,100.0,0.0,0.0,0.0,631
21957,17772,5015,0.6,99.3,0.0,3.9,0.0,637
16018,12821,3447,0.9,99.1,0.0,9.7,0.0,638
26383,21553,5716,0.5,99.0,0.1,2.3,0.0,641
36538,28892,6400,2.8,97.1,0.0,14.8,0.1,646
5708,4623,1574,0.0,99.3,0.0,2.9,0.0,647
13869,11127,2699,1.0,99.0,0.0,7.3,0.0,650
3624,2994,824,1.5,98.5,0.0,9.7,0.0,652
10117,8122,2249,1.3,98.4,0.0,3.3,0.0,653
17984,14376,3782,0.3,99.6,0.0,2.3,0.1,656
39561,32441,8029,0.2,99.6,0.1,2.7,0.0,659
15731,13158,4357,0.1,99.6,0.0,2.6,0.0,660
39017,31898,7892,0.9,98.4,0.2,4.0,0.0,662
14405,11299,2441,0.8,99.2,0.0,4.1,0.0,664
22721,18823,5617,1.1,98.2,0.0,3.5,0.0,667
24022,19553,4866,0.4,99.2,0.0,1.6,0.0,669
8051,6439,1664,0.3,99.5,0.0,4.9,0.0,670
38218,30905,8219,1.6,97.8,0.2,8.7,0.0,674
35621,28559,6300,0.3,99.3,0.1,3.3,0.1,676
13949,11629,3452,8.2,90.3,0.2,23.5,0.0,677
24997,20276,4931,1.0,98.3,0.2,2.7,0.0,678
44904,37349,11435,0.3,99.6,0.1,2.4,0.0,680
30212,24652,6444,1.0,98.8,0.0,4.2,0.0,682
28710,23648,7185,0.9,99.0,0.0,3.1,0.0,683
36546,29791,8544,2.8,96.4,0.0,4.9,0.0,685
30652,24442,4946,0.3,99.6,0.1,12.0,0.0,687
11355,9469,2237,0.4,99.6,0.0,1.4,0.0,688
5900,4790,1193,0.3,99.7,0.0,8.6,0.0,690
34857,27694,6239,0.8,98.5,0.4,11.6,0.0,692
52220,42197,10619,2.6,97.1,0.0,8.7,0.0,693
