housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5972,3203,2769,359,104500,601
12968,9877,3091,395,90200,602
18674,11490,7184,384,128400,603
1915,1388,527,280,108500,606
9404,7179,2225,424,113200,610
22971,15356,7615,410,102000,612
3636,2618,1018,475,95800,616
8352,6516,1836,448,106300,617
2557,1387,1170,547,137400,622
14558,8650,5908,388,112800,623
8216,6296,1920,407,82700,624
11934,8621,3313,397,100900,627
657,247,410,278,74900,631
7088,5364,1724,421,97600,637
6018,4082,1936,366,109800,638
9540,6196,3344,391,96200,641
12360,9633,2727,644,140100,646
1791,1390,401,550,87000,647
5017,3722,1295,436,90200,650
1390,1183,207,407,105500,652
3664,2656,1008,356,91200,653
6612,4932,1680,342,84900,656
14337,10551,3786,422,129300,659
6418,4891,1527,435,106900,660
14620,9064,5556,472,109400,662
4846,3348,1498,399,91400,664
8494,4712,3782,421,97900,667
9735,5540,4195,392,91900,669
3163,2048,1115,286,80800,670
16090,11465,4625,457,114600,674
12356,8682,3674,420,99600,676
5451,4163,1288,428,126900,677
9584,5690,3894,451,114700,678
19352,11557,7795,390,94200,680
11636,6698,4938,358,113100,682
11921,8430,3491,368,106600,683
13794,8706,5088,365,108600,685
9788,6974,2814,472,101200,687
4203,3164,1039,482,95900,688
2147,1614,533,561,118800,690
11803,8575,3228,498,122700,692
17837,14843,2994,554,116100,693
49,49,0,-,124000,694
10422,8122,2300,383,92700,698
8968,6083,2885,430,99900,703
3024,2392,632,359,83100,704
8614,6931,1683,409,128900,705
4086,3006,1080,345,99200,707
6265,4710,1555,453,91500,714
1263,873,390,300,91000,715
11763,7266,4497,379,114000,716
6995,2864,4131,337,108400,717
8718,6873,1845,418,94300,718
8837,6798,2039,434,103300,719
6821,4939,1882,352,107600,720
6436,4741,1695,336,95400,723
31555,20254,11301,465,131500,725
20561,15371,5190,667,148100,727
13692,9936,3756,461,100700,728
16611,12851,3760,501,119400,729
12582,8023,4559,383,95500,730
4765,3533,1232,368,96000,731
4663,3666,997,477,97000,735
17629,12102,5527,459,117400,736
12194,8619,3575,471,108100,738
12621,9552,3069,496,119700,739
565,268,297,(X),80000,740
1639,1331,308,597,90100,741
17053,13174,3879,531,117300,745
8349,6810,1539,367,86800,751
13595,9640,3955,466,119300,754
7727,5789,1938,409,91800,757
2711,2279,432,599,112700,765
8094,6155,1939,326,95700,766
12205,8721,3484,419,91400,767
13493,10416,3077,440,93300,769
12805,9084,3721,456,114700,771
6829,4675,2154,425,97900,772
6788,4646,2142,489,111000,773
515,358,157,542,122800,775
13106,9685,3421,424,117800,777
15306,12599,2707,586,163600,778
4408,3525,883,467,120000,780
5991,3871,2120,354,93600,782
10863,8322,2541,416,101300,783
14753,10681,4072,430,95700,784
130,130,0,-,160400,786
16890,12680,4210,458,106600,791
9424,6787,2637,374,99500,794
15836,12352,3484,426,102800,795
2612,1060,1552,477,259600,901
51,44,7,-,291700,906
8519,4980,3539,695,238900,907
2574,964,1610,446,155800,909
3820,2025,1795,643,273000,911
2437,1313,1124,526,153200,912
3267,509,2758,171,395400,913
11578,5056,6522,390,103200,915
8161,3942,4219,455,117700,917
7930,3478,4452,267,193100,918
7278,4165,3113,625,155000,920
14156,6705,7451,528,152200,921
10550,4343,6207,410,117000,923
19890,10745,9145,382,137700,924
2976,634,2342,442,134900,925
38019,26833,11186,626,182100,926
5925,3357,2568,537,225900,927
47,0,47,-,-,934
0,0,0,-,-,936
26693,19923,6770,541,138200,949
0,0,0,-,-,950
15,15,0,-,-,951
3113,1957,1156,566,125900,952
22190,18757,3433,586,151500,953
26424,18909,7515,578,135900,956
15329,10772,4557,541,138000,957
18772,12337,6435,543,151700,959
0,0,0,-,-,960
11460,7957,3503,488,154500,961
7334,4158,3176,289,111200,962
2974,1759,1215,414,102200,965
6380,5028,1352,668,245000,966
1885,1415,470,864,226500,968
15671,12215,3456,897,242100,969
10334,7207,3127,530,154600,971
21587,14733,6854,522,158700,976
7751,5224,2527,776,186000,979
5850,3819,2031,616,143500,982
14719,9700,5019,581,153600,983
12860,8938,3922,519,144000,985
21444,16039,5405,659,154400,987
7103,4953,2150,911,203700,1001
9541,4440,5101,1127,342600,1002
29,0,29,1698,-,1003
1812,1468,344,913,209800,1005
5716,4429,1287,877,255800,1007
505,478,27,836,235700,1008
184,128,56,862,227600,1009
1484,1232,252,736,255600,1010
552,464,88,800,176000,1011
245,212,33,890,233800,1012
9196,4061,5135,841,173200,1013
12571,8011,4560,806,176800,1020
1226,986,240,1379,128200,1022
457,369,88,780,265300,1026
7960,4753,3207,886,241800,1027
6039,5127,912,738,262900,1028
314,275,39,578,309000,1029
4385,3553,832,864,243600,1030
575,322,253,696,193800,1031
278,252,26,1375,243200,1032
2344,2003,341,742,260400,1033
805,696,109,975,273600,1034
2288,1675,613,1033,329600,1035
1917,1765,152,763,274000,1036
264,247,17,-,310100,1037
1256,975,281,1009,283000,1038
568,458,110,1078,270100,1039
15324,6190,9134,700,186500,1040
959,819,140,775,217400,1050
571,443,128,(X),269700,1053
824,712,112,1056,343900,1054
8093,6210,1883,888,227900,1056
3534,2934,600,821,230100,1057
6467,2759,3708,1033,301100,1060
4446,3233,1213,877,287700,1062
0,0,0,-,-,1063
10,0,10,-,-,1066
668,601,67,1050,256000,1068
3500,2581,919,682,196600,1069
243,217,26,600,236400,1070
516,483,33,1025,229200,1071
635,554,81,1281,260200,1072
2484,2194,290,983,297700,1073
83,24,59,-,-,1074
6933,5020,1913,912,231100,1075
3566,2968,598,927,283400,1077
262,168,94,1314,160200,1079
917,613,304,879,159600,1080
689,543,146,829,199800,1081
4268,3094,1174,795,186400,1082
1180,672,508,832,199800,1083
72,72,0,-,312500,1084
15190,10418,4772,866,224300,1085
0,0,0,-,-,1086
290,193,97,782,249400,1088
11495,7008,4487,858,201600,1089
560,342,218,(X),253600,1092
133,117,16,1125,327200,1093
185,69,116,484,178500,1094
5415,4842,573,832,281100,1095
993,842,151,1077,256300,1096
10,0,10,-,-,1097
514,447,67,775,260100,1098
1412,144,1268,793,103100,1103
8784,4136,4648,799,131200,1104
4844,500,4344,710,130700,1105
5765,5178,587,1419,333100,1106
3923,990,2933,652,154000,1107
9716,3776,5940,890,148200,1108
9379,4469,4910,871,127200,1109
5543,4287,1256,901,158300,1118
4730,3637,1093,965,145200,1119
997,977,20,-,170200,1128
2923,2342,581,980,163100,1129
3303,1287,2016,867,141400,1151
0,0,0,-,-,1199
19894,12309,7585,787,174000,1201
3838,2579,1259,650,146000,1220
345,304,41,791,254500,1222
1018,941,77,1295,250200,1223
77,36,41,720,192200,1224
1374,1132,242,692,199600,1225
2843,2215,628,644,181900,1226
61,51,10,-,306500,1229
3281,2302,979,930,323300,1230
1214,1061,153,663,194300,1235
524,422,102,1658,304300,1236
976,856,120,1017,224600,1237
2492,1832,660,743,256000,1238
2306,1444,862,764,336700,1240
144,79,65,-,247900,1242
177,166,11,675,220000,1243
63,51,12,-,337500,1244
417,346,71,942,410300,1245
7069,4031,3038,667,154800,1247
302,291,11,758,237800,1253
440,399,41,1216,443300,1254
353,314,39,883,278000,1255
337,302,35,775,190300,1256
950,741,209,898,317800,1257
179,171,8,-,396900,1258
260,226,34,1049,446400,1259
144,77,67,-,367600,1260
574,327,247,966,335200,1262
66,54,12,1250,333300,1264
661,591,70,1511,390300,1266
2381,1801,580,1008,310200,1267
316,312,4,-,272700,1270
7850,4502,3348,830,184900,1301
622,502,120,735,276700,1330
5341,3934,1407,718,150300,1331
1122,937,185,1089,229700,1337
79,69,10,-,282800,1338
595,482,113,808,234300,1339
716,548,168,1012,183500,1340
688,630,58,1164,295300,1341
484,245,239,1102,313500,1342
27,27,0,-,343800,1343
626,480,146,832,206700,1344
210,185,25,894,227400,1346
66,44,22,-,103100,1347
446,414,32,717,200700,1349
50,39,11,825,102500,1350
939,761,178,808,257600,1351
569,486,83,708,237900,1354
418,365,53,1055,251900,1355
1234,964,270,807,241000,1360
3302,2261,1041,706,154300,1364
496,420,76,738,286200,1366
247,213,34,1100,193100,1367
515,437,78,1069,205000,1368
1768,1199,569,836,238600,1370
1914,1504,410,1038,273000,1373
1528,678,850,1171,287700,1375
2252,1148,1104,772,184300,1376
337,304,33,1114,206900,1378
376,319,57,875,195500,1379
14842,8053,6789,857,177700,1420
2216,2056,160,944,241700,1430
1048,924,124,1286,239100,1431
3308,2094,1214,924,288200,1432
160,142,18,-,303700,1434
1299,989,310,(X),187900,1436
233,209,24,-,226900,1438
8156,4135,4021,729,171700,1440
3992,3425,567,1184,430000,1450
1652,1513,139,1417,540900,1451
1592,1457,135,945,239900,1452
16784,9249,7535,886,227500,1453
3446,2853,593,905,392900,1460
4287,3279,1008,1301,268400,1462
4247,3286,961,1162,310800,1463
2331,1597,734,942,308700,1464
113,113,0,-,490800,1467
1612,1418,194,996,215300,1468
2547,2068,479,896,258800,1469
2779,2437,342,1108,250900,1473
729,614,115,1168,267100,1474
3948,2897,1051,804,192300,1475
6267,5277,990,949,241300,1501
1078,918,160,1096,377500,1503
3333,2343,990,929,264500,1504
1618,1435,183,1092,345900,1505
1390,1101,289,808,225400,1506
4744,3803,941,900,286800,1507
5644,3054,2590,1001,241200,1510
827,656,171,978,239700,1515
3100,2580,520,1139,283100,1516
1213,809,404,669,308100,1518
2360,1858,502,969,384100,1519
5178,4706,472,1185,286000,1520
998,856,142,1075,205700,1521
1139,995,144,1056,277100,1522
2261,1847,414,1078,292100,1523
2623,1913,710,706,220100,1524
73,50,23,-,200000,1525
5162,3753,1409,961,259200,1527
1061,813,248,1096,276200,1529
392,356,36,993,260800,1531
5108,4156,952,1288,366600,1532
2137,1612,525,976,324800,1534
1820,1269,551,772,231600,1535
2743,2132,611,1130,294500,1536
828,683,145,961,204300,1537
4220,3096,1124,820,237300,1540
1252,1097,155,1108,353000,1541
773,581,192,979,248700,1542
2898,2485,413,853,274900,1543
12839,9436,3403,1205,365500,1545
6762,2981,3781,848,186800,1550
1705,909,796,1026,346700,1560
58,0,58,791,-,1561
4656,3134,1522,791,251100,1562
2748,2326,422,1169,331600,1564
2396,2107,289,1154,275500,1566
2633,2162,471,959,395200,1568
4824,3883,941,1175,274200,1569
6669,3542,3127,830,210200,1570
4037,3102,935,851,246600,1571
6992,4363,2629,1324,406300,1581
2143,1765,378,851,265100,1583
1880,1387,493,1204,214800,1585
3752,2316,1436,927,255700,1588
3093,2749,344,830,354500,1590
9179,5485,3694,1093,218400,1602
7203,3371,3832,921,180200,1603
14130,6514,7616,1022,209600,1604
10472,3275,7197,843,193500,1605
7688,5230,2458,980,207400,1606
3741,1635,2106,901,182900,1607
1438,47,1391,745,43800,1608
7049,2783,4266,913,286700,1609
7843,1257,6586,954,166800,1610
927,602,325,960,228800,1611
1508,1360,148,1183,279300,1612
12344,9821,2523,1288,360800,1701
14745,4975,9770,1164,298600,1702
173,134,39,-,277500,1718
2101,1585,516,952,488200,1719
8503,6456,2047,1215,514100,1720
6596,5262,1334,1222,361400,1721
5129,3637,1492,1637,578300,1730
572,4,568,2376,-,1731
1619,1507,112,1347,470300,1740
1762,1690,72,2109,733800,1741
6920,5332,1588,1735,702300,1742
133,124,9,-,356900,1745
