housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5517,3010,2507,363,86200,601
12738,9481,3257,405,86300,602
19233,11152,8081,427,122400,603
2014,1501,513,312,91600,606
8858,6794,2064,410,88600,610
22589,14695,7894,389,97800,612
3515,2657,858,388,96100,616
7929,5858,2071,475,106100,617
2133,1436,697,456,129700,622
13523,8087,5436,432,110500,623
7581,5700,1881,428,75800,624
11431,7994,3437,449,100200,627
643,263,380,268,84700,631
7479,5705,1774,474,96600,637
5938,4057,1881,385,92100,638
9218,5769,3449,407,91800,641
11928,9248,2680,655,138700,646
1905,1430,475,-,89600,647
5149,3941,1208,538,93000,650
1315,1142,173,439,98700,652
3564,2498,1066,406,91400,653
6478,4605,1873,340,80400,656
14093,10448,3645,439,93500,659
6253,4574,1679,400,101600,660
14144,8889,5255,469,106400,662
5118,3095,2023,400,93900,664
8014,4642,3372,451,89000,667
9620,5699,3921,422,88000,669
2833,1924,909,291,83600,670
15374,11206,4168,486,107600,674
13310,8557,4753,420,96500,676
5141,3589,1552,447,121100,677
9033,5702,3331,469,107100,678
18557,11143,7414,423,90200,680
11902,6738,5164,411,113400,682
11217,8045,3172,416,91500,683
14025,9067,4958,402,97500,685
9943,6981,2962,510,100300,687
4286,3036,1250,433,96200,688
2371,1749,622,608,114000,690
11620,7960,3660,511,116900,692
18405,14610,3795,529,107300,693
29,29,0,-,-,694
10727,8080,2647,368,92000,698
8464,5751,2713,469,114500,703
2863,2393,470,401,77000,704
8222,6500,1722,457,114200,705
3862,2790,1072,375,89100,707
5974,4580,1394,475,88800,714
1073,734,339,301,81100,715
11150,6835,4315,382,115400,716
6640,3025,3615,261,105500,717
8241,6392,1849,423,91400,718
8701,6740,1961,486,90300,719
6665,4384,2281,376,89900,720
6253,4308,1945,314,92300,723
30216,19862,10354,500,123500,725
19711,14491,5220,713,142600,727
13284,9828,3456,405,98200,728
16333,12334,3999,524,110100,729
11961,7321,4640,383,93900,730
4380,3000,1380,447,80100,731
4443,3210,1233,481,92200,735
17219,11185,6034,476,117700,736
11593,7662,3931,523,101000,738
11737,7909,3828,518,121300,739
638,293,345,467,66400,740
1494,1211,283,561,83900,741
15976,12114,3862,530,114900,745
7829,6179,1650,425,88000,751
13673,10200,3473,500,108600,754
7465,5642,1823,458,92400,757
2403,1742,661,668,99900,765
7809,5523,2286,396,90800,766
11730,8498,3232,452,88100,767
13270,10188,3082,486,89000,769
12373,9207,3166,539,118200,771
6637,4479,2158,389,94900,772
6519,4623,1896,447,110400,773
465,296,169,525,116700,775
12931,9159,3772,429,108600,777
14733,12290,2443,682,144000,778
4021,3446,575,747,101000,780
5495,3128,2367,402,92000,782
10580,8371,2209,514,89400,783
14143,10150,3993,376,89200,784
127,127,0,-,95700,786
16394,11930,4464,429,97400,791
8918,6552,2366,412,101200,794
15083,10881,4202,488,92700,795
2743,1132,1611,542,267100,901
115,93,22,-,358500,906
8640,5056,3584,746,226400,907
2346,996,1350,484,137700,909
3721,1933,1788,711,270600,911
2491,1402,1089,549,134800,912
3392,477,2915,200,353700,913
10980,4846,6134,403,88400,915
8238,3758,4480,465,114700,917
8086,3766,4320,299,173400,918
6924,4068,2856,659,154000,920
13674,6621,7053,507,139100,921
10087,4252,5835,370,109800,923
19444,10716,8728,365,131000,924
3355,793,2562,441,124600,925
36420,25343,11077,593,172500,926
5972,3083,2889,531,198800,927
34,0,34,-,-,934
0,0,0,-,-,936
25361,19245,6116,583,131200,949
0,0,0,-,-,950
0,0,0,-,-,951
2825,1715,1110,518,102900,952
21687,17962,3725,629,138100,953
24585,17646,6939,571,125900,956
14440,10032,4408,529,131300,957
17966,11441,6525,597,139900,959
0,0,0,-,-,960
11446,7626,3820,549,152700,961
6888,3831,3057,415,107400,962
2598,1579,1019,501,94900,965
5784,4287,1497,771,220800,966
1826,1292,534,895,229400,968
14325,11186,3139,848,227500,969
8854,6189,2665,580,126100,971
21395,14381,7014,546,147000,976
8069,5383,2686,876,171100,979
5953,4047,1906,582,139400,982
13764,8998,4766,557,138700,983
12344,8731,3613,553,136200,985
21440,15841,5599,715,146800,987
7481,5484,1997,1093,213000,1001
9877,4578,5299,1316,355600,1002
36,4,32,-,-,1003
1798,1506,292,926,231000,1005
5475,4489,986,979,272500,1007
510,485,25,1675,231700,1008
105,105,0,-,227800,1009
1431,1266,165,1043,272600,1010
569,453,116,975,202100,1011
252,222,30,1250,255400,1012
9285,4316,4969,899,175600,1013
12609,8003,4606,924,182600,1020
1108,790,318,1198,122800,1022
449,361,88,857,244300,1026
7976,4847,3129,985,257200,1027
5957,4899,1058,930,266600,1028
283,211,72,695,245000,1029
4394,3643,751,903,243000,1030
507,298,209,904,180800,1031
228,206,22,1094,266000,1032
2493,2106,387,809,253900,1033
841,772,69,1292,275400,1034
2355,1848,507,1174,329900,1035
1985,1770,215,1105,282900,1036
247,225,22,-,294200,1037
1330,965,365,1113,299400,1038
511,343,168,1077,286600,1039
15275,6226,9049,818,188900,1040
1031,837,194,975,210900,1050
612,476,136,1098,267000,1053
780,682,98,1174,337600,1054
7961,5881,2080,999,230700,1056
3448,2914,534,835,242000,1057
6486,2621,3865,1175,340500,1060
4065,2929,1136,934,316500,1062
0,0,0,-,-,1063
9,0,9,-,-,1066
670,634,36,1225,284500,1068
3557,2686,871,859,200900,1069
261,225,36,850,233000,1070
513,479,34,855,216400,1071
650,588,62,1515,278800,1072
2397,2187,210,1010,325400,1073
151,18,133,1177,-,1074
6682,4860,1822,960,235900,1075
3801,3161,640,972,289800,1077
319,187,132,1375,184600,1079
955,530,425,902,163700,1080
775,619,156,843,190800,1081
4565,3210,1355,948,193700,1082
1113,834,279,653,217400,1083
76,70,6,-,266700,1084
15557,10636,4921,961,228900,1085
0,0,0,-,-,1086
211,148,63,1085,279500,1088
12037,7033,5004,868,222000,1089
540,420,120,859,216100,1092
116,109,7,-,349000,1093
176,82,94,503,183300,1094
5353,4707,646,768,299900,1095
1085,871,214,1083,282200,1096
21,6,15,-,-,1097
562,500,62,758,275500,1098
1449,123,1326,841,119900,1103
9077,4161,4916,851,138200,1104
4965,485,4480,658,142000,1105
5826,5186,640,1380,336400,1106
3794,867,2927,696,159900,1107
9878,3515,6363,928,156700,1108
9267,4084,5183,921,132300,1109
5686,4525,1161,799,164700,1118
4966,3477,1489,770,153600,1119
1078,1016,62,1714,171700,1128
2830,2142,688,1094,171900,1129
3335,1421,1914,953,132800,1151
0,0,0,-,-,1199
19879,12312,7567,853,174300,1201
3842,2387,1455,745,155000,1220
337,298,39,1536,254400,1222
1043,976,67,1118,264000,1223
126,76,50,-,184400,1224
1423,1159,264,995,193500,1225
3090,2323,767,848,184800,1226
43,33,10,-,312500,1229
3565,2546,1019,918,348000,1230
1175,1016,159,751,195300,1235
462,380,82,1338,288900,1236
1002,845,157,1103,278700,1237
2292,1537,755,887,288200,1238
2175,1403,772,910,332500,1240
172,100,72,-,268800,1242
140,138,2,-,241700,1243
41,31,10,-,381600,1244
416,349,67,1139,453000,1245
6752,4220,2532,738,151800,1247
351,335,16,658,255600,1253
489,461,28,1300,457200,1254
355,348,7,725,292400,1255
297,279,18,729,178800,1256
929,828,101,-,329900,1257
232,207,25,-,423800,1258
277,258,19,1050,362300,1259
152,82,70,-,427300,1260
535,263,272,769,392100,1262
76,57,19,850,350000,1264
601,525,76,1793,376500,1266
2397,1791,606,955,312400,1267
334,334,0,-,287300,1270
7989,4476,3513,866,190100,1301
588,487,101,906,283800,1330
5281,3861,1420,898,159700,1331
1053,838,215,940,243500,1337
50,44,6,-,212500,1338
580,497,83,928,234300,1339
743,615,128,959,217900,1340
751,646,105,1199,318500,1341
457,297,160,1741,291000,1342
24,24,0,-,255600,1343
581,471,110,791,199800,1344
173,166,7,-,245200,1346
79,59,20,-,124400,1347
463,368,95,1017,195200,1349
47,31,16,913,107800,1350
959,688,271,895,250900,1351
576,489,87,950,241800,1354
406,358,48,1098,253800,1355
1234,993,241,827,237200,1360
3199,2292,907,812,163200,1364
495,417,78,885,278000,1366
222,193,29,1330,208000,1367
497,415,82,917,231600,1368
1839,1328,511,865,246600,1370
1974,1642,332,948,295700,1373
1610,673,937,1389,295100,1375
2319,1209,1110,844,195600,1376
339,326,13,1089,219400,1378
385,309,76,940,209800,1379
14817,7845,6972,995,190900,1420
2008,1777,231,1579,247200,1430
1110,1013,97,1175,263300,1431
3415,2093,1322,1030,322500,1432
212,140,72,-,302900,1434
1274,902,372,614,171900,1436
206,190,16,-,202000,1438
8222,4288,3934,811,181500,1440
4048,3510,538,1258,459900,1450
1583,1488,95,1288,580600,1451
1732,1560,172,1267,263100,1452
16941,9666,7275,935,237100,1453
3559,3034,525,1354,436100,1460
4203,3475,728,1531,293300,1462
4338,3425,913,1115,338900,1463
2441,1691,750,944,309200,1464
135,135,0,-,404500,1467
1751,1493,258,1134,197700,1468
2735,2231,504,888,267600,1469
2844,2607,237,1132,281800,1473
694,655,39,1216,288500,1474
3821,2765,1056,710,195200,1475
6703,5673,1030,950,253300,1501
1125,958,167,1101,401100,1503
3428,2556,872,892,270900,1504
1771,1494,277,903,374600,1505
1467,1235,232,1008,226100,1506
4886,3976,910,1022,291700,1507
5533,3000,2533,1144,245200,1510
822,681,141,1030,247700,1515
3146,2509,637,1107,304800,1516
1449,991,458,908,333700,1518
2450,1973,477,1147,365100,1519
5692,5124,568,1269,309700,1520
953,819,134,1265,241400,1521
1150,993,157,1163,296500,1522
2304,1899,405,937,355200,1523
2517,1845,672,897,247900,1524
163,41,122,1125,272100,1525
5234,3829,1405,1104,278700,1527
1226,909,317,1166,298500,1529
460,401,59,925,285100,1531
5429,4407,1022,1399,415000,1532
2307,1728,579,797,342700,1534
1821,1282,539,842,246900,1535
2803,2235,568,1117,345700,1536
954,677,277,1025,181300,1537
4316,3156,1160,865,249100,1540
1240,1156,84,1125,374100,1541
788,606,182,960,260100,1542
2956,2447,509,959,283800,1543
13140,9797,3343,1344,398000,1545
6943,2928,4015,901,193500,1550
1733,1098,635,1130,345900,1560
108,43,65,-,-,1561
4865,3405,1460,879,254200,1562
2755,2423,332,1314,340700,1564
2146,1914,232,1429,267400,1566
2608,2221,387,849,438600,1568
4805,3805,1000,1177,287300,1569
6884,3975,2909,891,222800,1570
3878,2691,1187,971,258500,1571
6794,4232,2562,1625,449600,1581
2074,1738,336,940,278800,1583
1874,1345,529,1252,241000,1585
3534,2022,1512,975,264300,1588
3441,3248,193,841,350700,1590
9695,5713,3982,1206,231000,1602
7110,3195,3915,1046,188700,1603
14575,6770,7805,1118,219100,1604
10656,3305,7351,960,213300,1605
8120,5221,2899,1105,225400,1606
3714,1425,2289,1049,178600,1607
1717,179,1538,938,168400,1608
7722,2909,4813,1060,313200,1609
7928,1143,6785,1068,172700,1610
792,506,286,1081,223600,1611
1570,1455,115,973,309500,1612
12997,10227,2770,1465,408800,1701
15227,5326,9901,1331,334100,1702
261,163,98,-,265600,1718
2263,1617,646,1097,527400,1719
8527,6280,2247,1357,578200,1720
6685,5456,1229,1340,386400,1721
5230,3871,1359,1843,627000,1730
555,6,549,2789,-,1731
1678,1561,117,875,525500,1740
1823,1718,105,1059,824100,1741
6772,5094,1678,2007,814000,1742
210,170,40,1423,378100,1745
5278,4742,536,1083,435600,1746
2263,1869,394,1196,328900,1747
5991,4976,1015,1740,581700,1748
7686,5705,1981,1248,335300,1749
15718,8980,6738,1435,333600,1752
4250,3262,988,1157,340500,1754
2023,1780,243,1487,442500,1756
11135,7608,3527,1192,297800,1757
14310,10162,4148,1509,537200,1760
1556,1452,104,1447,769800,1770
3278,2955,323,1004,612200,1772
2140,1613,527,1849,883600,1773
2575,2270,305,1453,487200,1775
6355,5875,480,1005,677900,1776
5002,4479,523,1270,690500,1778
15756,9775,5981,1516,421200,1801
9942,7244,2698,1919,491800,1803
12474,10173,2301,1515,608400,1810
11509,9047,2462,1475,386400,1821
9766,8286,1480,1530,405900,1824
11224,8874,2350,1287,316900,1826
1140,1101,39,1750,465400,1827
10049,5382,4667,1170,294900,1830
8849,4964,3885,1177,279300,1832
3253,2594,659,1571,458400,1833
2368,2007,361,1337,390700,1834
5257,3690,1567,1183,276900,1835
2262,144,2118,906,103000,1840
14795,4303,10492,1098,261800,1841
8578,2903,5675,1183,255300,1843
17692,12752,4940,1202,324300,1844
11121,7984,3137,1499,484500,1845
5457,2133,3324,1161,217500,1850
10165,4338,5827,1182,263600,1851
13747,6474,7273,1092,263700,1852
9492,3541,5951,968,239900,1854
2775,2445,330,1094,340300,1860
3388,2886,502,1265,371700,1862
3860,3145,715,1193,315200,1863
5412,4753,659,1451,497600,1864
9099,7562,1537,1257,534100,1867
11529,9859,1670,1709,370500,1876
4440,3721,719,1086,368500,1879
10556,7998,2558,1343,470900,1880
8350,7231,1119,1781,530400,1886
8028,6890,1138,1915,447300,1887
7879,6713,1166,1813,893700,1890
885,85,800,883,297400,1901
17247,5907,11340,1121,272500,1902
6164,4670,1494,1329,337700,1904
8374,3897,4477,1118,278600,1905
10436,8500,1936,937,374500,1906
5535,4335,1200,1754,455400,1907
