total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
16834,13741,3511,0.4,99.4,0.1,6.9,0.1,601
37642,31533,8099,4.4,94.6,0.0,45.3,0.0,602
49075,40717,11411,1.4,98.1,0.1,8.6,0.1,603
5590,4681,1387,0.7,99.3,0.0,5.4,0.0,606
25542,21323,5547,2.9,96.3,0.5,47.6,0.0,610
1315,1105,336,4.3,95.7,0.0,4.4,0.0,611
63312,51919,15016,0.3,99.4,0.1,32.5,0.0,612
9625,8276,2171,0.2,99.8,0.0,31.6,0.0,616
22573,18524,4635,0.5,99.1,0.0,38.0,0.0,617
7577,6663,2387,1.4,98.6,0.0,13.7,0.0,622
39406,32691,8910,0.4,99.1,0.1,13.4,0.2,623
21648,17084,3875,0.4,99.3,0.3,5.3,0.0,624
32733,27226,7114,0.6,99.2,0.0,6.2,0.0,627
1431,1172,447,0.0,100.0,0.0,0.2,0.0,631
1057,765,83,0.0,100.0,0.0,6.5,0.0,636
22882,18772,5632,0.9,99.0,0.0,11.1,0.0,637
17605,14470,4193,0.7,99.3,0.0,35.7,0.0,638
24299,19986,5783,1.3,98.2,0.0,6.0,0.0,641
35926,29089,6719,2.5,97.4,0.1,42.6,0.0,646
4702,3612,1385,0.1,98.9,0.0,3.8,0.1,647
13767,11381,2831,0.3,99.7,0.0,35.2,0.0,650
3924,3338,825,2.3,97.7,0.0,43.2,0.0,652
8980,7572,2084,0.3,99.1,0.0,6.7,0.0,653
18121,14867,4123,0.2,99.7,0.0,5.1,0.1,656
37066,31127,8037,0.3,99.5,0.1,8.9,0.0,659
15483,13220,4486,0.8,98.6,0.4,5.2,0.0,660
40480,33935,8713,0.9,98.1,0.2,11.8,0.1,662
14967,11958,2846,1.7,98.3,0.0,3.7,0.0,664
23370,19716,6041,1.3,97.9,0.0,10.8,0.0,667
27529,22857,6006,0.6,99.0,0.1,3.8,0.0,669
8746,7074,1951,0.0,99.6,0.0,6.5,0.0,670
39385,32393,9266,1.3,97.4,0.0,42.0,0.0,674
36683,30089,7235,0.4,99.4,0.2,7.4,0.0,676
15304,12987,3997,5.3,93.8,0.1,53.6,0.0,677
25039,20780,5545,1.0,98.2,0.2,12.5,0.0,678
43173,36325,11958,0.3,99.6,0.1,6.1,0.0,680
30414,25373,6696,1.1,98.6,0.1,7.8,0.0,682
29547,24615,7938,0.8,99.0,0.0,8.2,0.0,683
40346,33069,9697,2.9,96.1,0.0,8.9,0.1,685
28659,23309,5120,0.3,99.6,0.1,42.1,0.0,687
11478,9750,2371,0.5,99.5,0.0,16.8,0.0,688
5781,4594,1195,0.3,99.7,0.0,18.3,0.0,690
33302,27096,6538,0.4,99.1,0.4,35.1,0.0,692
55570,45689,11928,1.7,97.9,0.0,37.1,0.0,693
98,98,69,0.0,100.0,0.0,74.5,0.0,694
33506,27730,7925,0.5,98.9,0.1,8.2,0.0,698
24475,20152,5274,0.3,99.4,0.1,32.4,0.0,703
6831,5367,1054,0.0,98.6,1.4,41.6,0.0,704
24401,20216,5627,0.2,99.8,0.0,49.3,0.0,705
10487,8698,2540,0.4,99.6,0.0,6.4,0.0,707
15797,12738,3370,0.3,99.4,0.0,14.1,0.0,714
2040,1618,554,0.0,100.0,0.0,40.7,0.0,715
27166,22615,7367,0.7,99.1,0.2,28.6,0.0,716
15029,12509,4127,0.5,99.1,0.1,29.4,0.1,717
23289,18644,4455,0.6,99.0,0.4,6.1,0.0,718
29523,24154,6370,0.0,100.0,0.0,41.2,0.0,719
20816,16772,3736,0.5,99.3,0.2,34.7,0.0,720
15978,13366,3936,0.0,100.0,0.0,4.0,0.0,723
77244,64446,18139,1.6,98.0,0.2,14.9,0.0,725
53258,43918,10168,1.1,98.3,0.2,15.0,0.0,727
38590,31080,7528,0.3,99.3,0.2,21.2,0.1,728
47826,39037,9011,0.1,99.9,0.1,17.5,0.0,729
32267,26614,8343,0.5,99.3,0.1,41.4,0.0,730
10473,8908,2678,0.2,99.8,0.0,37.4,0.0,731
11164,9392,2834,1.1,98.3,0.1,13.3,0.5,735
45867,38288,10314,0.1,99.7,0.0,30.5,0.2,736
