displacement,zip,year
0.14685981316906518,1001,2019
-0.32560157309272575,1001,2020
0.19003402850071224,1001,2021
-0.523897414885481,1001,2022
-0.006707053184440601,1002,2019
-0.2476419664891428,1002,2020
0.127391916670935,1002,2021
0.011364531193467942,1002,2022
-0.6683194484030903,1003,2019
-1.2495941229947118,1003,2020
-0.6357852970233063,1003,2021
0.20211982095198994,1003,2022
-0.21213753746612404,1005,2019
-0.23125523929541794,1005,2020
0.5635478288506955,1005,2021
-0.562610893354258,1005,2022
-0.35462981269125016,1007,2019
-0.4009415711355688,1007,2020
-0.1219754804020731,1007,2021
-0.3668850974849359,1007,2022
-0.25650102979179323,1008,2019
-0.7818553743037906,1008,2020
0.34088706867603824,1008,2021
0.2985511888804496,1008,2022
0.08360066261691876,1009,2019
0.11878547015861586,1009,2020
0.14392965633669533,1009,2021
0.17487061273627802,1009,2022
-0.1737587595257741,1010,2019
-2.5531758375770344,1010,2020
0.0784870169561839,1010,2021
-0.24843606190858755,1010,2022
0.33107682740714733,1011,2019
-0.9429052128739869,1011,2020
0.7996333690201273,1011,2021
-0.007262764078343697,1011,2022
-0.5184641958393543,1012,2019
-0.5311748211509815,1012,2020
0.6992847157466379,1012,2021
0.05443410933972097,1012,2022
-0.474395338412661,1013,2019
-1.0887846134805268,1013,2020
-0.19628037736722584,1013,2021
-0.7054275961117742,1013,2022
0.34906382472117264,1020,2019
-0.3342297834232126,1020,2020
-0.5607192322182659,1020,2021
-0.21789407719508078,1020,2022
-0.4245254433217091,1022,2019
0.6957512432240807,1022,2020
1.4902021353483872,1022,2021
0.6286454834969011,1022,2022
0.5794043606638101,1026,2019
0.08086509771746626,1026,2020
-0.0772716146877302,1026,2021
-0.3094593370176402,1026,2022
0.24726704482858988,1027,2019
0.5143648712402935,1027,2020
-0.7561204011721201,1027,2021
-0.7185806860752125,1027,2022
-0.06769867075486385,1028,2019
0.3296248266333872,1028,2020
-0.18643553913563393,1028,2021
-0.09532220206330863,1028,2022
0.37008047686589524,1029,2019
-0.06167727608670588,1029,2020
0.06998481927811914,1029,2021
0.0764505054829209,1029,2022
-0.35605582676481434,1030,2019
0.4109841858349854,1030,2020
0.18904402980059898,1030,2021
0.3609964345821747,1030,2022
-0.2088326283451614,1031,2019
-1.3709686166903237,1031,2020
-0.15374899491940253,1031,2021
-1.30644062517893,1031,2022
-0.01346133271119679,1032,2019
-0.5583547940739053,1032,2020
2.2537924416948734,1032,2021
0.14724319700940486,1032,2022
0.10138241927025987,1033,2019
0.2816585085525583,1033,2020
0.5378893865376273,1033,2021
-0.4046766464267078,1033,2022
0.22266416722248755,1034,2019
-0.5164998975841573,1034,2020
-0.27394889669774825,1034,2021
0.7052604405013723,1034,2022
-0.5759450389202684,1035,2019
0.7301366667038804,1035,2020
0.22861899553436152,1035,2021
0.7584973148885404,1035,2022
0.11871944475788798,1036,2019
-0.521129434230292,1036,2020
-0.3993350074482856,1036,2021
0.41581452243628003,1036,2022
0.8095283160045154,1037,2019
-0.29139455280561943,1037,2020
0.7842594328727764,1037,2021
-0.4538680860732742,1037,2022
-0.14029306019014406,1038,2019
-0.652538617571898,1038,2020
-1.48651880582649,1038,2021
-0.03917557297777997,1038,2022
-1.2585295582577192,1039,2019
0.46676175798953456,1039,2020
0.5749534957355014,1039,2021
0.372894753210976,1039,2022
-0.1683369854735608,1040,2019
-0.9398938471581122,1040,2020
-0.5524966653833631,1040,2021
0.3109328451161966,1040,2022
0.9897554144198497,1050,2019
-0.8977178031934125,1050,2020
0.03582122932869581,1050,2021
0.7129067596582941,1050,2022
0.5856451137008062,1053,2019
0.919681402666982,1053,2020
-1.24648519572773,1053,2021
-0.6617264892087827,1053,2022
0.25402591046647904,1054,2019
-0.955338995595574,1054,2020
0.3301732718730736,1054,2021
-0.7068687758441599,1054,2022
-0.15959873002092623,1056,2019
-0.31046109075209943,1056,2020
-0.37429850959040234,1056,2021
0.007488939398933048,1056,2022
0.2503407935429723,1057,2019
0.0061759858104899,1057,2020
-0.19537818168594573,1057,2021
-0.1313470705977182,1057,2022
-0.1770284993311596,1060,2019
-0.30807895351856374,1060,2020
0.7667013540777367,1060,2021
0.08051685816572324,1060,2022
0.8563903714469545,1062,2019
0.3686312031099497,1062,2020
0.6720751171553372,1062,2021
0.16973900723186885,1062,2022
0.8529348645489359,1063,2019
0.5301151269590071,1063,2020
-1.1623760798606944,1063,2021
-0.8073700866810891,1063,2022
0.08360066261691876,1066,2019
0.11878547015861586,1066,2020
0.14392965633669533,1066,2021
0.17487061273627802,1066,2022
0.5873562207673427,1068,2019
0.24507223378317544,1068,2020
-0.6391510910382947,1068,2021
-0.1223821011324227,1068,2022
-0.6786694332657676,1069,2019
-0.8370239210708116,1069,2020
-0.6315335894600221,1069,2021
0.788413383818332,1069,2022
0.3569603109978831,1070,2019
-2.1579828533364447,1070,2020
1.373326772752016,1070,2021
0.46950934318070414,1070,2022
-1.714796480002109,1071,2019
-0.19322929097850067,1071,2020
-0.33490114245008307,1071,2021
0.8952066316625097,1071,2022
-0.30568942304781205,1072,2019
-1.5613514723877966,1072,2020
0.9781000073063412,1072,2021
0.6405816342679173,1072,2022
-0.24198901294384012,1073,2019
-0.8807578472785479,1073,2020
-0.9701131509027923,1073,2021
0.566764006144407,1073,2022
-0.987876709349035,1074,2019
0.2545705668056024,1074,2020
0.9746968657761147,1074,2021
0.3755981183972071,1074,2022
-0.052590002847951525,1075,2019
0.5012564304229675,1075,2020
-0.17122131712077476,1075,2021
0.02035643780006102,1075,2022
-0.9959619625818602,1077,2019
-0.0006613730890657558,1077,2020
-0.10771539863761274,1077,2021
-0.44800406955489547,1077,2022
1.6042385894240703,1079,2019
2.180985365775838,1079,2020
-2.7642595883462007,1079,2021
0.6233312877517819,1079,2022
0.6383857948730759,1080,2019
-0.9036549018938849,1080,2020
0.10936503975560989,1080,2021
-1.625786604836898,1080,2022
-0.2384047405085111,1081,2019
0.3323131453494934,1081,2020
-0.1263544224086868,1081,2021
0.060501891101833336,1081,2022
0.10670980325409918,1082,2019
-0.07319513960306379,1082,2020
0.38510608330711044,1082,2021
0.35690310155716004,1082,2022
0.2598628139826547,1083,2019
0.09238146902099996,1083,2020
-1.2069906207945895,1083,2021
-0.94183469594191,1083,2022
1.0865746143407855,1084,2019
-1.050820440788467,1084,2020
-0.14118693627927484,1084,2021
4.291355556040496,1084,2022
0.04066761751849092,1085,2019
-0.2886173359216264,1085,2020
-0.16507290670740052,1085,2021
-0.31922489142093574,1085,2022
-0.7694209189847815,1086,2019
0.8959623165875646,1086,2020
-0.04247196313116199,1088,2019
0.3521446315958272,1088,2020
-0.7467116140823133,1088,2021
0.3906792162915053,1088,2022
0.10654790701663541,1089,2019
-0.5393684901682863,1089,2020
-0.7375931057340837,1089,2021
0.34073902322884875,1089,2022
-0.7211003547191345,1092,2019
0.15992980165587983,1092,2020
0.08948251040814127,1092,2021
1.6539070152164317,1092,2022
0.08360066261691876,1093,2019
0.11878547015861586,1093,2020
0.14392965633669533,1093,2021
0.17487061273627802,1093,2022
-3.0870911847682048,1094,2019
0.08699254410740552,1094,2020
2.9480828336690617,1094,2021
0.17487061273627802,1094,2022
-1.2625505985387102,1095,2019
0.9512296358629577,1095,2020
0.2225569241149716,1095,2021
-0.30905214954200694,1095,2022
0.23577101453194227,1096,2019
-0.10954191219907322,1096,2020
-0.26284592390137834,1096,2021
-0.5838137480344081,1096,2022
0.44562415352836515,1097,2019
2.5767056138241164,1097,2020
1.3152945667590044,1097,2021
0.17487061273627802,1097,2022
0.14878654695945076,1098,2019
0.5079032345160035,1098,2020
-0.020870197892524044,1098,2021
-0.36926159620552995,1098,2022
0.9424098530156839,1103,2019
-0.5047393009893639,1103,2020
1.33071804425908,1103,2021
-0.888192142102427,1103,2022
1.2218704318880915,1104,2019
-2.171176704808412,1104,2020
-1.8937471084030242,1104,2021
-1.0279639673001724,1104,2022
-0.5112114146252823,1105,2019
-2.0645906901277415,1105,2020
-1.393883464809096,1105,2021
