housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5818,3170,2648,373,82500,601
12719,9494,3225,380,87300,602
19009,11242,7767,400,122300,603
1959,1459,500,284,92700,606
9120,7080,2040,415,90300,610
23037,14926,8111,395,97300,612
3606,2709,897,509,92900,616
8079,5972,2107,478,101900,617
2330,1471,859,538,135500,622
14165,8170,5995,422,111800,623
7690,5763,1927,431,77600,624
11571,8029,3542,419,108300,627
615,271,344,223,86300,631
7568,5677,1891,464,95800,637
6033,4035,1998,372,96500,638
9104,5785,3319,387,94200,641
12075,9308,2767,694,142900,646
1866,1474,392,525,84400,647
5051,3824,1227,524,93900,650
1335,1152,183,373,98200,652
3662,2609,1053,400,89800,653
6566,4568,1998,342,82200,656
14443,10722,3721,436,97500,659
6271,4646,1625,393,104700,660
14482,9282,5200,483,103800,662
4850,3051,1799,384,90400,664
8153,4660,3493,417,92000,667
9727,5554,4173,407,86400,669
3006,2088,918,314,73100,670
15726,11554,4172,471,105900,674
13035,8689,4346,424,97400,676
5092,3719,1373,444,121900,677
9179,5612,3567,445,108800,678
18602,11142,7460,410,92500,680
11718,6688,5030,409,112800,682
11368,8193,3175,391,95100,683
14338,9022,5316,395,99800,685
10129,7130,2999,489,98000,687
4244,3097,1147,418,95800,688
2313,1719,594,560,112900,690
11756,8136,3620,502,120400,692
18246,15226,3020,511,114200,693
46,46,0,-,-,694
10713,8159,2554,379,91500,698
8642,5786,2856,445,111200,703
2803,2277,526,345,82200,704
8529,6826,1703,443,109300,705
3958,3020,938,390,90800,707
6091,4819,1272,467,87500,714
1300,856,444,314,82100,715
11256,6801,4455,391,112300,716
6686,2934,3752,276,103900,717
8284,6556,1728,430,92100,718
8887,7002,1885,478,94700,719
6676,4608,2068,375,89700,720
6519,4606,1913,332,94900,723
30699,19998,10701,487,125600,725
20122,14760,5362,688,143700,727
13450,9934,3516,428,97100,728
16482,12822,3660,530,114800,729
12051,7658,4393,354,94000,730
4482,3155,1327,434,83600,731
4594,3441,1153,473,93500,735
17409,11427,5982,464,119100,736
11823,7889,3934,475,103600,738
11876,8408,3468,519,117900,739
613,224,389,568,72000,740
1573,1258,315,505,85800,741
16178,12403,3775,553,115200,745
8296,6636,1660,393,87600,751
13633,10376,3257,483,111000,754
7759,5679,2080,435,92800,757
2473,1932,541,646,104500,765
7907,5653,2254,385,93500,766
11997,8603,3394,428,87700,767
13706,10430,3276,457,88500,769
12385,9178,3207,517,115100,771
6768,4556,2212,372,94500,772
6636,4677,1959,484,109200,773
512,345,167,604,89900,775
12850,9150,3700,407,113100,777
15181,12498,2683,676,147900,778
4081,3296,785,-,112000,780
5635,3488,2147,388,89100,782
10847,8644,2203,513,88500,783
14568,10627,3941,380,90700,784
96,96,0,-,88400,786
16797,12158,4639,433,99400,791
9122,7042,2080,416,90600,794
15299,11350,3949,445,92500,795
2696,1048,1648,506,242200,901
68,48,20,-,342900,906
8780,5143,3637,735,233800,907
2452,1063,1389,443,136200,909
3805,2080,1725,682,292500,911
2528,1439,1089,571,130400,912
3470,484,2986,184,401400,913
11214,4984,6230,404,94200,915
8273,3915,4358,442,113100,917
8208,3695,4513,298,179800,918
6874,3987,2887,621,152800,920
13599,6386,7213,512,140900,921
10045,4182,5863,359,112800,923
19373,10833,8540,382,133100,924
3178,721,2457,448,122600,925
37216,26023,11193,597,176400,926
5831,3220,2611,512,197000,927
25,0,25,-,-,934
0,0,0,-,-,936
25855,19622,6233,573,135100,949
0,0,0,-,-,950
0,0,0,-,-,951
2988,1823,1165,532,105800,952
21798,18110,3688,627,143400,953
25459,18404,7055,572,131000,956
14764,10366,4398,521,133800,957
18297,11853,6444,575,144500,959
0,0,0,-,-,960
11349,7683,3666,495,151900,961
7005,3898,3107,338,112700,962
2748,1595,1153,435,101500,965
6208,4756,1452,807,235800,966
1825,1313,512,883,219700,968
15099,11783,3316,814,234100,969
9503,6611,2892,544,139900,971
21413,14440,6973,531,152400,976
7713,5014,2699,799,172000,979
6014,4039,1975,603,139700,982
14156,9220,4936,571,142300,983
12677,8893,3784,493,138500,985
21665,16221,5444,667,150600,987
7460,5356,2104,1034,209400,1001
9976,4687,5289,1278,344600,1002
31,5,26,-,-,1003
1785,1439,346,945,222000,1005
5558,4470,1088,970,263900,1007
548,508,40,825,231500,1008
157,157,0,-,221200,1009
1465,1290,175,743,270100,1010
572,472,100,900,202600,1011
233,206,27,1203,250000,1012
9273,4263,5010,860,175700,1013
12491,7981,4510,889,180400,1020
1223,918,305,1226,124100,1022
459,366,93,829,253000,1026
7871,4706,3165,937,249800,1027
5978,4938,1040,928,256500,1028
316,239,77,632,266200,1029
4290,3498,792,819,240500,1030
531,298,233,821,184200,1031
251,215,36,1344,257800,1032
2457,2108,349,992,263300,1033
878,779,99,1125,271700,1034
2316,1761,555,1050,310100,1035
1976,1798,178,964,275200,1036
238,222,16,-,312000,1037
1337,1011,326,1079,291400,1038
526,373,153,1105,263200,1039
15403,6259,9144,795,182700,1040
925,776,149,987,211500,1050
562,469,93,1561,277800,1053
818,723,95,1163,348500,1054
8086,5952,2134,922,224700,1056
3495,2932,563,819,232200,1057
6563,2750,3813,1124,322800,1060
4281,3010,1271,915,321800,1062
0,0,0,-,-,1063
9,0,9,-,-,1066
679,641,38,1201,278200,1068
3630,2785,845,727,197100,1069
272,239,33,1000,239000,1070
499,464,35,829,216500,1071
636,570,66,1519,276600,1072
2422,2225,197,989,319800,1073
134,0,134,1083,-,1074
6745,4902,1843,948,232700,1075
3750,3031,719,933,290200,1077
256,153,103,1322,180500,1079
911,566,345,845,160000,1080
734,583,151,843,194000,1081
