housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5397,3553,1844,377,78800,601
12858,9782,3076,414,88500,602
19295,11254,8041,409,121600,603
1968,1440,528,350,96500,606
8934,6452,2482,478,89900,610
514,310,204,381,119500,611
23319,14466,8853,424,96000,612
3342,2366,976,438,90500,616
7820,5707,2113,573,107600,617
2789,2052,737,492,105800,622
13933,10137,3796,495,104300,623
7194,5033,2161,458,80900,624
11367,8659,2708,524,92000,627
396,248,148,283,87800,631
296,202,94,-,63300,636
7005,5550,1455,457,94300,637
6032,4487,1545,351,86200,638
8724,5299,3425,427,91000,641
11863,9393,2470,574,131500,646
1927,1431,496,328,81500,647
5157,3611,1546,598,92600,650
1250,952,298,671,104300,652
3591,2447,1144,280,78600,653
6513,4712,1801,386,76700,656
13214,9540,3674,509,104200,659
6220,4440,1780,439,103400,660
13974,8353,5621,475,114600,662
5120,3104,2016,404,96600,664
7849,5367,2482,474,90200,667
9745,6441,3304,453,87600,669
2639,2016,623,265,85000,670
14437,10708,3729,515,104400,674
13032,8126,4906,445,93100,676
5763,3854,1909,523,130300,677
8985,6081,2904,464,96600,678
17636,9967,7669,426,88900,680
11916,6124,5792,403,113500,682
10721,7343,3378,437,86200,683
14152,9817,4335,424,94500,685
9654,6780,2874,505,104600,687
4066,2547,1519,478,88900,688
2187,1563,624,-,128800,690
11537,7873,3664,572,120800,692
20194,15510,4684,530,109000,693
28,28,0,-,-,694
11647,8745,2902,429,91000,698
9057,5853,3204,407,118900,703
2543,1975,568,530,80200,704
8683,6814,1869,469,112700,705
3845,2798,1047,479,88000,707
6147,4685,1462,446,86000,714
801,670,131,236,65100,715
11125,7395,3730,426,114700,716
6398,3117,3281,297,105100,717
8105,5862,2243,479,89700,718
8456,5508,2948,506,90700,719
6495,4476,2019,436,85700,720
5882,4213,1669,391,88200,723
29994,19457,10537,507,120900,725
19267,13624,5643,742,132600,727
13021,10394,2627,431,99400,728
16529,12249,4280,555,105400,729
12806,8279,4527,454,93300,730
3933,3011,922,438,81000,731
4129,3020,1109,510,93000,735
17400,10856,6544,521,121200,736
11564,8039,3525,573,103000,738
11792,7559,4233,497,120100,739
643,330,313,513,81800,740
1394,1146,248,551,85400,741
15803,11608,4195,554,115700,745
7538,5794,1744,468,82500,751
13248,9749,3499,541,101800,754
7203,5660,1543,533,94800,757
2374,1670,704,470,123700,765
7873,5798,2075,448,93100,766
12011,8356,3655,479,86200,767
12975,9877,3098,469,93300,769
11857,9203,2654,487,115300,771
6580,4093,2487,403,88000,772
6803,4743,2060,472,110000,773
489,312,177,438,164100,775
13352,9654,3698,519,103400,777
14448,10954,3494,638,143300,778
4443,3923,520,807,97300,780
5130,2464,2666,482,109400,782
10531,7692,2839,563,99600,783
13947,9654,4293,385,85200,784
81,81,0,-,-,786
16356,11814,4542,458,105900,791
8731,5677,3054,428,109400,794
14486,10817,3669,517,92600,795
3133,1351,1782,577,345800,901
91,91,0,-,382700,906
8334,5150,3184,849,250300,907
2239,969,1270,566,137500,909
3656,1811,1845,695,308700,911
2691,1526,1165,597,133200,912
3040,532,2508,240,369000,913
10602,4458,6144,421,88400,915
8100,3996,4104,511,112700,917
7633,3601,4032,604,167100,918
6911,3796,3115,725,136000,920
13552,6643,6909,559,125600,921
10278,4594,5684,435,108800,923
19048,10031,9017,451,126400,924
2964,727,2237,492,142600,925
35788,26242,9546,621,167300,926
5936,3241,2695,553,188300,927
27,0,27,-,-,934
25663,19452,6211,670,125100,949
0,0,0,-,-,950
149,64,85,-,94300,951
2842,1861,981,469,96200,952
21990,17748,4242,694,131600,953
23846,16725,7121,587,118800,956
14799,10691,4108,623,124100,957
17329,11228,6101,587,133300,959
0,0,0,-,-,960
11292,7563,3729,691,147700,961
7567,4235,3332,509,101600,962
1888,1139,749,476,84700,965
5976,4361,1615,951,243000,966
1775,1304,471,879,188800,968
14577,11021,3556,898,213400,969
9104,6132,2972,602,133200,971
22179,15742,6437,574,143800,976
8548,5584,2964,950,162800,979
5804,3767,2037,592,132900,982
12664,8462,4202,596,134600,983
12105,8506,3599,570,130400,985
20202,15017,5185,731,133600,987
6791,4936,1855,1208,236300,1001
9985,4763,5222,1342,388300,1002
15,0,15,-,-,1003
1761,1711,50,-,281000,1005
5917,4964,953,1110,288300,1007
506,474,32,820,251700,1008
333,295,38,-,207800,1009
1503,1336,167,825,299400,1010
498,393,105,974,213800,1011
227,180,47,1083,247900,1012
9375,4753,4622,931,197800,1013
13400,8221,5179,1036,203400,1020
1082,762,320,1504,135300,1022
454,369,85,938,240400,1026
8451,5456,2995,1047,285800,1027
6017,5094,923,962,290500,1028
228,199,29,-,282000,1029
4994,3987,1007,1091,262700,1030
608,361,247,998,190700,1031
198,180,18,1188,245700,1032
2530,2206,324,861,281200,1033
830,779,51,1575,288100,1034
