hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1249,3759,1678,17.2,601
2699,7256,5275,23.6,602
3079,11747,5980,25.5,603
445,1392,271,10.9,606
1578,5439,3402,23.7,610
123,311,248,25.7,611
2545,13446,10338,29.5,612
668,2695,1569,23.7,616
1355,5412,3101,24.4,617
526,1469,1018,23.1,622
2377,6965,6473,29.8,623
1402,4293,3128,24.8,624
1977,6353,3791,21.2,627
44,220,300,31.8,631
88,188,165,31.0,636
697,5801,4087,28.8,637
1553,3826,1883,16.8,638
1482,4761,3212,21.9,641
1277,6803,6640,36.1,646
458,1390,434,15.7,647
633,3325,1542,20.1,650
263,923,836,30.6,652
969,2393,685,15.3,653
1181,3638,2575,25.1,656
2148,6789,6159,30.8,659
758,3714,2874,30.2,660
2221,9392,6119,25.7,662
569,3677,1628,20.1,664
1759,5018,2959,21.0,667
1870,4850,3129,20.9,669
517,2320,809,15.8,670
2448,8992,5020,23.6,674
2195,8484,5020,25.0,676
791,3107,2335,24.5,677
1657,5086,2994,21.3,678
2566,9320,5563,25.4,680
1797,5330,3701,30.5,682
2318,7151,3987,24.2,683
2724,8038,5192,22.5,685
1792,6606,3330,20.7,687
833,2579,1442,21.1,688
483,1317,855,25.2,690
1774,6331,4181,25.7,692
3490,11880,7983,24.7,693
0,33,0,10.4,694
1800,8564,4971,27.2,698
1660,5978,2912,19.8,703
329,1859,658,17.6,704
1529,6730,3139,23.5,705
697,2371,621,12.8,707
993,3336,2395,26.6,714
232,566,125,12.2,715
1442,5556,4828,35.8,716
785,3293,2378,33.4,717
855,6482,2997,23.8,718
2063,5858,3400,19.7,719
1304,4664,2221,18.7,720
750,3612,1702,22.0,723
3837,16128,12405,30.5,725
1867,10057,10185,40.1,727
2371,8192,5548,28.4,728
2654,9632,6800,27.6,729
1640,6217,4842,30.2,730
583,2467,1370,22.1,731
777,3192,1433,21.4,735
2167,11261,6834,28.4,736
1285,6949,5199,30.0,738
1405,8634,5013,26.9,739
188,497,355,28.2,740
186,1090,465,20.1,741
2481,10499,7301,26.5,745
1256,5633,2237,19.5,751
2561,6990,3711,20.1,754
834,5050,3312,28.9,757
1064,2872,330,12.4,765
993,4991,2722,22.4,766
2276,5928,3336,18.4,767
1604,10274,4571,22.8,769
1303,6093,5275,28.9,771
1419,5089,1478,14.1,772
983,4474,2154,23.5,773
33,317,131,16.2,775
2363,7835,4778,22.8,777
1713,7866,7197,33.9,778
637,2381,2031,32.9,780
1293,3906,2010,18.2,782
2110,6973,4254,21.8,783
2028,9110,3845,22.7,784
0,37,0,0.0,786
2762,12080,6461,27.2,791
1869,6234,3854,22.7,794
2859,8910,6571,27.6,795
250,1157,1232,48.8,901
0,0,8,67.4,906
536,1773,4208,61.4,907
100,740,994,42.4,909
386,718,1930,59.3,911
349,953,1210,40.2,912
369,1367,679,25.6,913
1867,5823,1959,14.0,915
872,3961,2750,31.0,917
346,1835,4369,60.4,918
710,2373,3522,38.2,920
1722,5237,5251,33.4,921
1016,5423,3012,26.4,923
1885,8755,6983,30.3,924
303,571,820,38.7,925
2189,11272,21680,51.5,926
375,1081,4107,65.4,927
0,0,11,73.8,934
2620,12793,10837,29.7,949
0,0,0,-,950
72,119,26,15.1,951
478,1825,874,17.3,952
2774,12899,10243,28.6,953
3064,11464,11051,28.9,956
1773,7285,7141,30.1,957
1719,7658,9132,35.7,959
625,1472,133,4.8,960
925,4206,5956,39.8,961
1238,4970,1897,18.0,962
548,1855,430,10.6,965
251,1550,5317,67.8,966
80,197,1147,75.6,968
976,4241,10605,58.5,969
1405,4926,4586,32.3,971
2017,9874,12525,38.6,976
572,1910,3857,49.7,979
624,2919,2431,30.4,982
1079,6876,5667,31.5,983
1162,7978,5503,28.1,985
2118,9570,11575,38.8,987
608,3211,2660,35.6,1001
114,1104,2894,73.9,1002
0,4,5,49.1,1003
158,1141,579,35.5,1005
159,2576,2481,45.9,1007
29,468,182,28.5,1008
20,142,195,38.1,1009
73,824,831,43.5,1010
31,392,91,22.9,1011
14,100,42,27.7,1012
1117,5531,2122,23.2,1013
2196,7951,3300,22.9,1020
59,497,301,28.6,1022
24,140,210,54.0,1026
679,3131,3035,41.5,1027
293,2323,2737,46.5,1028
71,156,92,34.9,1029
161,3059,1710,33.9,1030
76,412,121,22.0,1031
8,72,120,48.8,1032
164,1329,1057,37.4,1033
33,502,375,36.8,1034
76,647,1515,63.2,1035
82,817,814,37.7,1036
20,128,113,35.1,1037
31,309,700,55.7,1038
11,192,339,57.7,1039
3410,8128,4130,24.3,1040
115,581,412,31.6,1050
46,412,471,53.7,1053
36,184,307,67.5,1054
780,5101,2693,25.3,1056
321,2242,1273,29.1,1057
162,1128,3230,68.5,1060
161,1182,1760,51.9,1062
0,0,0,52.4,1063
27,41,14,13.0,1066
61,315,295,38.9,1068
543,2355,1059,24.8,1069
9,131,100,47.1,1070
17,404,198,29.6,1071
22,185,354,65.4,1072
103,1091,1184,41.1,1073
91,275,18,3.6,1074
384,2664,3129,50.2,1075
230,2320,1498,35.9,1077
1,139,40,17.0,1079
49,858,229,16.6,1080
76,443,190,27.0,1081
357,2919,1370,26.3,1082
84,632,493,37.5,1083
0,31,33,61.4,1084
1278,7957,5919,32.8,1085
0,44,52,27.4,1088
1042,6117,4274,34.9,1089
0,396,237,39.6,1092
0,57,51,46.8,1093
0,17,5,10.9,1094
109,2262,2849,53.3,1095
24,420,526,54.9,1096
0,26,0,0.0,1097
24,243,204,45.6,1098
238,414,307,36.2,1103
1864,5269,945,12.8,1104
1040,2290,291,8.3,1105
219,1046,3642,65.2,1106
1107,2077,540,14.4,1107
1894,5721,1861,21.2,1108
2851,5823,1820,17.3,1109
458,3254,1621,30.1,1118
639,3761,1033,19.7,1119
34,628,433,39.0,1128
138,1345,983,31.4,1129
0,0,0,-,1144
943,2172,707,17.0,1151
1832,9893,6923,34.1,1201
323,2440,1090,25.2,1220
22,119,133,37.4,1222
37,586,420,39.3,1223
0,48,36,37.3,1224
110,638,453,28.8,1225
149,1463,1047,40.4,1226
8,93,51,34.3,1229
226,1610,1720,49.2,1230
157,660,273,23.4,1235
25,204,302,62.4,1236
54,499,353,43.3,1237
56,1387,848,45.5,1238
165,944,1162,51.6,1240
0,0,0,0.0,1242
0,62,47,38.6,1243
6,85,23,28.2,1244
9,81,100,55.7,1245
689,4233,1643,26.7,1247
39,175,201,42.1,1253
9,154,260,62.9,1254
43,197,80,30.5,1255
28,236,99,23.7,1256
8,526,251,40.5,1257
7,27,36,42.4,1258
13,128,110,45.0,1259
0,20,0,0.0,1260
45,292,232,54.8,1262
0,20,42,56.7,1264
20,88,263,73.5,1266
94,760,1044,66.1,1267
28,173,169,39.2,1270
803,3571,2755,38.0,1301
36,317,359,49.8,1330
797,3876,1441,20.6,1331
104,665,392,31.5,1337
0,50,0,16.9,1338
35,293,244,36.0,1339
55,460,219,34.8,1340
16,189,320,58.9,1341
31,298,201,47.4,1342
15,59,20,25.5,1343
35,482,184,25.1,1344
6,112,108,49.1,1346
8,12,28,53.7,1347
24,173,36,24.2,1349
5,40,13,24.2,1350
