civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
3499,2454,11757,64.3,28.3,3774,13156,1073,74.1,601
11824,2538,16190,52.2,24.3,11284,27591,2203,58.8,602
12389,3588,16645,51.9,20.0,16009,32776,2715,62.8,603
1503,204,13387,64.9,19.4,1664,4801,182,73.6,606
8574,1474,18741,45.7,18.3,9723,18327,899,54.9,610
15889,3681,17744,47.9,26.4,22740,40940,2932,56.2,612
2852,568,14918,50.4,26.5,4350,7022,711,41.8,616
5605,1319,17157,48.1,27.1,9083,15454,1234,53.5,617
1543,259,16727,54.9,29.2,2866,4943,321,67.2,622
10980,1576,16401,52.1,26.4,17313,27225,1846,54.9,623
5746,1665,16832,56.7,27.5,6385,16724,829,64.7,624
8925,2113,17579,48.5,30.7,9076,23186,1779,59.6,627
357,305,9632,59.3,31.2,283,1208,121,66.9,631
5434,1481,15736,49.0,26.3,7120,15934,1329,44.1,637
3280,844,14448,58.5,34.8,4939,13637,695,69.2,638
6204,2717,16292,52.6,33.4,7734,20057,1751,62.1,641
11919,3171,29160,33.5,33.2,19105,19065,1579,31.8,646
1192,437,13071,63.3,25.6,1234,4452,148,90.0,647
3733,737,16095,56.0,27.1,4476,10406,445,67.8,650
1034,146,20564,43.5,26.0,1745,2180,233,50.0,652
2136,1072,12236,66.1,20.4,2113,9129,812,75.8,653
4510,1421,14966,55.9,24.1,6254,13567,682,67.1,656
12094,1250,17770,45.3,28.0,16031,24297,2212,54.4,659
4823,1445,19674,39.3,20.8,6760,10617,1054,47.0,660
10263,2511,16771,53.5,24.2,12474,28025,2520,57.8,662
3236,1203,15401,60.5,22.4,3635,11448,609,70.8,664
4972,1073,13843,60.5,25.8,7398,17865,1215,71.8,667
5930,3265,12996,56.4,34.4,6416,19206,1529,60.1,669
2327,57,14456,57.1,28.6,2357,6383,250,65.1,670
10803,2396,18032,46.3,26.1,13905,25846,3191,51.9,674
8686,3076,13416,57.7,24.2,11042,26660,1586,64.0,676
4260,708,18333,48.4,23.0,4747,10254,591,59.0,677
7172,1088,15730,52.1,27.9,7021,19578,1251,58.3,678
12572,4090,14500,50.8,22.3,16568,32481,2352,64.8,680
7928,2922,15315,53.4,22.1,13368,19653,2330,62.1,682
8146,752,15043,52.1,24.8,10080,22378,1332,63.8,683
8435,3296,14128,55.8,28.0,9681,28232,2607,58.4,685
8532,2204,18739,49.3,34.5,8354,22702,2040,57.1,687
3137,454,15918,52.9,28.5,4918,7510,667,66.8,688
1473,452,18491,49.3,27.9,2399,3387,160,57.9,690
9046,2498,18076,50.4,34.1,11894,23389,1821,60.0,692
14675,2918,18971,43.8,31.7,19831,35095,3935,46.5,693
0,0,14375,47.7,-,0,88,0,-,694
8993,2847,14487,50.3,24.4,11405,25921,1927,54.1,698
7430,1987,16532,49.4,32.7,8640,18838,1727,57.5,703
2361,272,13960,57.3,23.7,2144,5822,156,74.7,704
6015,416,18207,49.7,26.0,6723,17192,677,58.8,705
2212,735,17489,52.9,28.3,2969,8431,559,61.9,707
3742,699,15820,56.4,20.1,4575,14256,658,60.9,714
744,253,12440,66.9,24.1,970,2767,92,81.8,715
7414,1371,18514,48.7,23.0,9965,20069,1605,61.5,716
3953,968,11269,59.4,20.0,5135,12730,690,72.5,717
6990,893,18998,49.2,32.3,8024,17895,1245,58.1,718
7793,2403,18401,46.9,35.4,10935,19192,1249,49.9,719
4419,2117,14533,55.9,33.9,5068,17280,446,62.0,720
