civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
4758,1301,18571,61.2,26.1,3398,13248,891,75.1,601
11572,756,21702,46.8,20.9,10692,26217,2051,57.2,602
13543,2729,19243,47.6,20.7,14551,32928,2621,58.4,603
1414,0,20226,54.9,24.5,1608,4219,42,54.3,606
9251,625,23732,44.0,23.7,9236,16183,1454,56.6,610
573,128,22566,40.1,46.6,381,1121,88,11.5,611
18922,3563,23831,40.8,25.9,21018,39939,3575,51.6,612
3005,708,21391,44.6,25.3,3103,6031,936,46.7,616
7542,1288,22010,44.9,28.8,7947,14485,1173,51.9,617
2441,413,26682,44.5,30.1,2748,5700,346,47.7,622
13771,2308,25614,37.2,24.7,14276,25353,1847,40.1,623
6850,681,21091,51.2,26.6,5891,15446,928,62.8,624
11672,397,26094,39.0,27.7,8855,23381,1601,47.6,627
351,98,18295,55.2,31.7,144,1173,21,57.5,631
312,0,-,78.5,20.4,81,995,28,79.4,636
6871,1064,20665,44.5,26.6,7018,15551,1173,55.6,637
4323,729,20878,57.8,33.1,3365,13991,829,72.2,638
5917,2003,17839,53.7,30.4,5493,18248,1148,68.0,641
12844,1668,33184,29.4,34.0,18105,17456,2219,35.1,646
1023,362,20357,62.1,23.9,1636,3206,238,55.9,647
3825,1264,19811,52.8,25.9,2598,10548,673,67.5,650
1730,203,31653,32.8,25.3,1476,2894,355,59.4,652
2244,838,15225,66.2,18.3,1712,6827,411,82.3,653
4848,1141,21511,49.0,25.1,5182,12901,648,57.0,656
13250,1083,27297,37.0,25.9,12519,23510,2571,45.7,659
5263,823,24829,40.3,24.6,6209,9953,694,51.8,660
12480,1101,20673,46.8,24.9,13001,26642,2244,46.8,662
3752,815,18065,55.2,19.5,3951,11044,491,68.9,664
6822,1737,18729,52.8,24.1,7084,16025,1301,63.3,667
8494,1318,19198,55.1,31.8,6873,19826,1732,64.4,669
2390,166,16278,53.9,25.1,2214,6496,178,67.7,670
11248,2375,20039,46.5,28.1,12214,24621,4197,58.4,674
11506,2708,21230,46.1,28.6,11811,24937,1453,52.4,676
5309,346,24746,44.6,22.8,5432,10372,848,57.3,677
7623,676,22994,45.2,28.8,6173,18436,1055,52.0,678
12001,3114,17857,52.6,22.9,13297,30210,1685,71.1,680
8592,2865,18067,53.9,19.7,10877,19780,1244,62.3,682
7413,560,18231,50.6,25.7,9922,20358,1649,63.9,683
11527,1892,17909,52.2,26.5,11528,28436,2120,62.4,685
9332,1409,23010,48.7,32.1,8535,18288,2273,51.9,687
3075,724,18014,53.9,28.3,3373,6663,849,57.1,688
2030,222,24386,49.5,15.8,1877,4246,212,48.4,690
10849,2579,25486,40.6,32.6,12175,20144,1407,50.4,692
17868,2809,24072,42.3,29.4,18431,33637,5520,53.7,693
12,0,15938,47.2,N,12,113,0,-,694
9933,1553,21921,44.8,20.0,11571,21584,1630,51.3,698
8777,540,22147,44.6,31.3,8680,17390,1029,60.7,703
2290,85,23330,43.9,29.7,1904,3769,847,54.9,704
7559,518,21806,44.6,24.2,7415,17102,829,54.2,705
2636,533,19173,53.1,27.3,1746,8170,774,68.5,707
4364,423,18931,54.4,26.8,3904,11483,777,66.4,714
378,20,15743,66.4,25.1,250,1560,288,79.1,715
7988,1056,19522,49.1,23.4,9685,18902,1050,63.3,716
3796,818,13282,51.9,21.6,3964,10938,703,68.2,717
7248,737,21481,47.9,31.7,5841,17709,1425,63.2,718
8799,1719,21089,50.9,40.6,8983,21145,1930,69.3,719
5762,960,19049,52.3,37.3,4632,15990,954,56.7,720
4437,502,23599,47.6,30.9,4540,10928,843,59.2,723
27921,3206,27505,39.6,29.5,30490,46367,4821,54.9,725
21755,1708,33403,31.7,31.2,27584,26851,3365,38.7,727
10081,1011,20351,51.7,24.0,10681,24411,1590,67.2,728
18518,3116,28765,33.1,34.7,18977,25948,4992,44.0,729
8559,2265,18077,52.3,24.4,9832,22392,1270,66.0,730
2644,343,16917,56.4,26.6,2814,7150,606,67.8,731
3642,419,23009,41.8,24.4,4118,7586,764,54.9,735
16025,975,28652,37.0,27.0,24672,26547,2155,44.7,736
10525,2305,25365,40.8,26.3,11045,18994,1736,58.6,738
11721,616,26801,36.8,28.6,17832,20208,2162,39.9,739
577,180,23173,52.1,23.2,376,1524,125,70.3,740
1099,67,25827,51.1,26.6,1345,2676,195,68.8,741
17866,3488,26980,36.8,37.5,17762,27452,3537,44.7,745
5866,520,20947,49.1,25.2,5198,13977,1191,62.5,751
12115,969,21193,45.0,29.7,12221,23586,1984,46.0,754
7560,500,23350,45.5,26.6,6973,12366,1123,53.5,757
2383,223,17531,59.5,14.1,1647,5908,930,74.3,765
6766,1057,24906,41.8,29.3,6574,15500,455,44.9,766
8808,913,21414,49.1,26.8,6777,22875,1505,61.3,767
10917,806,20514,52.3,25.3,9681,24187,1133,57.5,769
12002,1003,25662,37.9,30.1,12701,21565,2228,45.3,771
4983,1517,18408,51.4,31.2,3906,12526,1139,62.8,772
5746,1668,23769,43.8,29.5,5411,11840,1423,45.6,773
648,22,27614,20.8,12.3,573,620,171,13.7,775
14431,1467,28175,33.8,30.7,16577,21823,3207,41.3,777
16732,2502,39564,32.0,34.1,18880,20787,3257,35.5,778
4956,679,26483,40.6,23.3,6286,6647,1086,44.2,780
5494,983,17090,53.4,30.3,4877,13776,802,64.0,782
11350,985,24429,43.4,34.6,12424,22151,1785,53.8,783
9878,746,20347,48.6,25.0,9282,23684,1659,63.1,784
44,0,-,53.3,N,63,72,0,-,786
14078,879,25925,37.6,28.0,19640,28440,1930,50.9,791
8738,1481,22128,49.5,31.8,7987,21135,832,63.8,794
13419,3046,23391,43.3,27.3,15518,26949,2228,45.9,795
2426,369,25810,34.8,21.5,3589,3591,465,38.4,901
31,0,-,0.0,N,31,0,0,-,906
7292,556,42116,24.6,20.8,10332,6846,972,38.7,907
2216,276,26066,43.5,20.8,2098,3219,602,62.1,909
3679,450,44008,27.2,24.2,4770,2419,1005,31.5,911
3020,277,29418,32.5,21.9,2954,2867,887,63.6,912
1530,709,6229,73.3,24.1,1915,4586,490,86.2,913
7672,2285,14502,66.0,25.1,5396,16200,4703,79.0,915
5993,1480,19516,50.3,24.0,7216,10554,1906,69.1,917
6761,918,36872,29.0,21.7,9760,7546,661,34.1,918
7108,774,29914,36.3,21.7,7687,8492,2030,48.2,920
12350,2644,21797,47.2,23.1,14091,19070,2587,68.5,921
8465,2214,18482,50.2,25.9,8713,15344,2657,67.6,923
16588,3447,22433,46.2,26.8,18482,29513,4723,60.1,924
2375,294,14940,57.7,25.3,1719,2394,918,76.0,925
39009,4539,39543,25.6,27.5,55797,43316,5042,33.1,926
6021,566,39838,23.4,21.9,8814,6153,613,38.1,927
10,0,-,0.0,N,70,22,0,0.0,934
27930,2635,33380,32.3,32.5,31233,35984,3772,40.8,949
0,0,-,-,-,0,0,0,-,950
137,10,22222,53.4,N,209,234,2,72.5,951
3222,452,21960,40.0,26.5,2672,5703,768,48.6,952
27241,2447,33888,33.2,39.0,32701,31886,3987,41.0,953
25356,2135,28674,37.3,30.7,28165,38041,4544,48.0,956
15013,1095,29663,34.2,31.1,17016,22645,3277,42.7,957
18248,1709,31400,34.5,29.0,22296,24710,2784,50.1,959
1,0,-,45.3,-,1,73,1,-,960
10821,1532,37015,28.2,25.8,14546,14730,2030,35.2,961
5987,998,20134,49.6,25.4,6022,12500,1419,63.2,962
1341,239,16516,56.6,23.8,1085,3587,365,64.1,965
7124,791,56421,18.8,25.4,11698,7390,743,28.7,966
1566,0,60353,9.7,29.0,2612,1448,114,0.0,968
18223,1420,58205,20.2,25.7,27736,16487,1576,29.2,969
10817,959,32098,32.5,25.3,12028,13229,1547,38.7,971
25708,2246,38087,30.1,31.8,34004,30194,3057,37.7,976
6842,806,35521,23.1,25.9,8861,7541,1473,35.8,979
4770,904,26550,41.3,26.1,5979,7988,1078,54.4,982
12397,1866,33930,31.2,28.9,14945,16139,2941,44.3,983
11938,1742,35012,27.6,29.1,14190,17936,2200,37.9,985
23917,2588,40295,27.4,31.9,29923,24774,3097,35.7,987
8070,441,71924,7.2,22.4,11924,6279,503,8.4,1001
13128,839,69411,23.0,20.9,20755,7272,409,7.6,1002
3622,787,-,13.8,12.7,11017,1490,525,-,1003
2572,60,97390,12.5,37.0,3675,1899,27,29.5,1005
8336,139,99056,8.7,29.2,12550,5249,142,8.7,1007
699,4,90625,4.8,36.1,1002,579,38,11.2,1008
370,36,70763,14.9,24.2,582,185,0,28.6,1009
1827,51,101477,5.9,33.4,3071,1077,59,2.3,1010
636,14,87012,4.1,33.7,825,513,53,2.8,1011
239,12,75526,10.3,34.4,273,166,11,20.8,1012
11257,825,64039,16.7,21.6,13916,10707,796,16.8,1013
14671,945,70971,14.0,20.7,19533,15103,1267,17.9,1020
676,84,56307,17.1,20.1,1307,1010,62,10.9,1022
490,4,98438,3.6,37.5,752,422,8,0.0,1026
9011,505,73657,8.6,23.0,13988,7033,453,3.9,1027
7984,300,100997,2.9,22.0,13215,5754,241,0.8,1028
325,10,99188,2.5,33.0,455,295,29,0.0,1029
6734,258,92485,6.5,23.3,9478,4114,614,2.6,1030
871,20,58125,11.2,29.0,1208,682,30,19.8,1031
274,0,79583,10.7,25.4,424,204,6,20.0,1032
3610,126,110188,4.6,23.5,4973,1959,133,9.2,1033
1106,60,103603,9.6,37.3,1660,714,96,14.7,1034
2771,102,117580,3.1,21.3,4261,1754,72,0.0,1035
2514,179,110703,2.0,28.5,4249,1756,75,0.0,1036
128,0,84022,4.5,30.0,335,239,0,0.0,1037
1516,42,112083,5.7,20.7,2174,882,0,3.4,1038
1058,56,115114,4.0,25.3,1281,640,8,5.6,1039
15984,1186,51892,23.7,19.4,16872,22970,1521,26.8,1040
1466,45,96328,10.8,32.9,1985,959,31,8.3,1050
761,85,88646,9.5,22.4,1232,965,0,0.0,1053
854,66,113750,9.1,28.3,1138,877,71,6.0,1054
10619,467,78981,8.5,21.8,15315,8138,392,6.7,1056
4110,415,90436,12.1,35.6,5808,3504,143,10.0,1057
8563,452,75077,13.8,22.1,11212,5817,216,17.7,1060
4489,167,87800,11.1,22.2,6933,3550,185,8.0,1062
798,108,"250,000+",0.0,10.1,2016,171,32,-,1063
14,0,-,58.3,N,47,94,0,0.0,1066
792,25,96207,6.1,40.6,1240,650,43,0.0,1068
4448,193,79725,8.4,34.2,6238,4179,108,5.8,1069
305,2,72083,15.1,35.0,360,354,24,17.2,1070
679,16,107292,4.5,29.6,1036,305,51,12.1,1071
693,69,103188,5.1,30.3,1086,659,29,4.3,1072
3497,59,125534,3.3,21.3,5215,1810,152,3.3,1073
278,63,76859,41.7,N,317,450,0,100.0,1074
9127,321,93646,7.3,23.0,14488,5957,318,7.3,1075
5139,184,108833,6.1,27.0,7395,3282,148,6.1,1077
130,1,-,16.7,N,145,149,20,0.0,1079
1337,34,87188,5.7,27.0,1624,878,63,9.1,1080
892,35,87337,5.2,34.2,1333,642,53,5.3,1081
5007,387,71023,9.5,29.4,7250,4653,289,8.5,1082
1275,170,92558,10.5,39.2,2053,788,43,6.8,1083
58,0,91667,11.8,31.8,52,55,5,0.0,1084
19758,813,83821,10.8,26.4,29587,17223,820,11.8,1085
423,33,53472,7.6,19.0,612,274,0,0.0,1088
14802,873,70401,10.4,18.8,19326,12053,1162,10.9,1089
661,146,70938,3.3,40.1,827,516,32,0.0,1092
75,4,-,2.7,26.9,124,93,0,0.0,1093
24,0,109000,0.0,N,55,22,0,0.0,1094
7815,112,124682,4.3,26.5,12298,4341,251,0.7,1095
1518,48,105729,5.0,29.3,2108,851,51,2.9,1096
0,0,-,0.0,-,26,29,0,0.0,1097
536,13,93000,3.9,39.7,708,531,28,0.0,1098
1057,79,21458,44.4,15.1,1017,1368,58,38.5,1103
8918,1030,47530,21.8,18.1,9410,13800,459,18.2,1104
3345,581,22994,47.2,23.0,2062,9499,543,54.8,1105
7042,501,143961,4.1,23.8,13491,4847,215,5.2,1106
3945,612,31969,37.2,18.5,4236,8768,235,33.4,1107
12407,1031,51851,31.5,20.1,12263,16847,1342,28.1,1108
11990,1118,46821,24.3,21.9,14096,18809,1085,27.0,1109
7611,494,80906,16.0,19.9,9561,6723,370,19.2,1118
5887,316,59172,13.2,22.5,8149,7093,600,15.1,1119
1588,42,92125,8.3,23.3,2590,1039,83,7.9,1128
