civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
3949,2213,10816,60.7,29.3,4339,12775,1441,68.2,601
11455,3807,16079,54.0,25.4,12085,27880,2408,60.3,602
13024,3991,16804,50.0,19.9,17471,33454,2898,59.7,603
1500,179,12512,64.3,22.1,1609,4763,315,78.2,606
8047,1495,17475,49.6,20.7,10069,18943,733,58.6,610
16560,4176,17229,48.3,27.2,23106,41575,3722,54.3,612
2731,340,13705,53.7,27.1,4067,7291,761,51.9,616
5367,1113,15361,55.2,27.8,8515,15941,1364,59.7,617
1385,183,15689,58.9,29.0,2619,5270,143,70.2,622
11036,1475,16593,49.3,24.6,17751,25873,2653,52.3,623
5919,2072,15573,58.9,26.7,7236,17311,899,62.6,624
8899,2429,17532,48.6,29.3,10508,23013,1784,57.6,627
287,316,7854,68.2,26.9,183,1420,112,75.0,631
5339,1738,14767,47.3,24.7,8272,15806,1213,46.8,637
3557,786,12722,59.5,31.9,5313,13866,890,63.7,638
6417,2620,16022,51.8,32.1,7301,21096,2253,62.1,641
11998,2942,26861,36.0,33.7,18610,19272,1992,36.6,646
1389,241,13764,53.9,20.8,1698,3952,377,74.7,647
3686,754,14611,54.8,26.6,4553,10127,682,58.1,650
1035,140,17500,47.5,30.0,1831,2113,232,49.0,652
2445,1189,13593,64.4,19.4,2534,9666,753,67.9,653
4588,1340,15037,56.1,26.5,6725,13749,908,65.9,656
12623,1932,18687,44.7,26.1,15934,25292,2432,53.5,659
4887,1428,20598,37.4,21.6,7292,10378,894,41.9,660
10042,2519,16016,55.4,25.3,13119,27640,2960,59.5,662
3412,1582,15922,58.1,21.7,4548,11657,246,62.3,664
5018,1056,13222,58.8,26.4,7783,17667,1406,69.1,667
5993,3176,12009,58.2,31.6,6051,19901,2421,62.1,669
2532,119,14031,57.3,28.7,2768,6530,241,64.9,670
11244,2602,18135,46.3,27.4,15436,25207,3651,51.2,674
9275,2772,14374,54.4,26.0,11364,27130,1862,58.8,676
4420,944,16792,48.7,25.0,4918,10533,543,63.4,677
6619,1294,15347,56.5,28.3,7183,19421,1152,63.4,678
13445,3925,14567,50.9,22.0,18673,34438,2868,64.9,680
8026,2322,15363,52.4,21.6,13730,19123,2575,62.9,682
8468,631,14913,50.3,26.4,10994,22377,1407,59.4,683
8860,3703,14343,56.5,27.5,10277,29343,2823,58.0,685
7740,2534,16536,55.2,37.9,8259,23485,1711,60.9,687
3124,410,14213,54.4,31.1,4270,7969,866,65.1,688
1592,436,20274,41.0,32.7,2523,3008,282,49.8,690
9189,2588,17987,50.4,35.0,12299,23464,2069,58.4,692
14184,2499,17156,48.3,32.2,21200,35848,4051,51.5,693
0,0,11198,72.7,-,12,65,0,-,694
8938,3299,14766,51.5,24.6,12581,26860,1944,53.7,698
6633,2106,14680,54.4,34.4,7796,20171,1397,63.0,703
2107,343,13756,51.6,25.2,2056,5622,505,57.1,704
5892,380,17238,47.9,26.1,8793,16697,706,53.6,705
2459,952,19541,55.9,28.8,3101,8687,484,62.5,707
4000,1187,15349,52.6,21.3,5372,13755,770,56.1,714
744,213,12027,70.2,20.7,906,2629,168,86.6,715
8244,2109,18331,49.3,23.4,11355,19878,1991,60.5,716
4353,1355,11664,59.6,19.8,5781,12336,917,75.7,717
7246,896,18614,53.1,33.5,8544,18268,1075,62.9,718
7576,2072,17686,49.1,35.2,10769,19397,1576,51.7,719
4569,2077,14144,59.5,34.7,5190,17839,529,66.4,720
3884,1473,13284,59.1,27.3,4725,13530,875,67.9,723
28245,6418,19961,42.9,32.4,34970,50042,6234,53.0,725
21352,2945,29995,31.0,33.3,29962,26319,3535,36.0,727
11114,2639,16949,52.5,22.7,14183,25492,2131,62.5,728
16714,4911,20574,42.7,37.1,21482,28273,5915,49.2,729
8551,2597,15097,53.4,21.0,11582,23900,1618,65.3,730
4025,666,15141,55.1,26.6,4517,9667,788,69.0,731
3832,517,20925,42.4,27.2,4781,8508,774,55.2,735
16755,2698,20760,42.3,30.1,19051,30316,3608,46.3,736
10370,3398,19708,44.7,25.0,13383,19744,2284,54.5,738
13812,2008,23266,38.4,31.5,15401,22177,2226,43.7,739
377,211,13750,61.6,21.6,277,1190,74,81.8,740
1482,455,21690,43.9,28.1,1846,3852,329,56.3,741
17370,5358,22577,38.5,38.6,22532,29253,3618,41.9,745
5763,754,15091,58.6,23.6,6363,16108,1378,62.3,751
11289,2098,16571,48.3,34.2,13448,25516,2169,52.4,754
6895,961,15674,50.1,25.6,7976,14198,1608,54.3,757
2812,387,17934,39.2,14.0,3070,5904,741,50.6,765
