total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
31801,25659,6162,0.5,99.3,0.1,13.6,0.0,921
23851,19205,4726,0.8,99.2,0.0,2.3,0.0,923
48141,37198,10121,1.2,98.5,0.2,4.1,0.0,924
6640,6077,1137,2.2,95.7,0.6,2.6,1.1,925
93330,76822,20917,1.2,98.3,0.1,6.0,0.4,926
13626,11394,3132,3.0,95.7,0.3,4.7,1.0,927
109,64,0,47.7,33.0,19.3,0.0,0.0,934
773,773,378,3.9,96.1,0.0,0.0,0.0,936
72943,58656,13679,1.2,98.6,0.1,4.5,0.0,949
0,0,0,-,-,-,-,-,950
0,0,0,-,-,-,-,-,951
7598,6205,1556,0.0,100.0,0.0,11.5,0.0,952
71174,56029,9566,0.9,98.5,0.1,3.5,0.4,953
63264,51661,13851,0.6,99.0,0.1,13.1,0.0,956
38198,30963,8245,0.4,99.0,0.1,19.0,0.2,957
46441,37328,9230,1.3,98.6,0.1,15.5,0.0,959
2205,2156,98,0.5,98.1,0.7,16.3,0.0,960
29743,24940,6363,0.2,99.3,0.2,19.9,0.2,961
19082,14824,3368,1.1,98.8,0.0,3.9,0.0,962
6709,5624,1660,0.1,99.6,0.3,2.5,0.0,965
15254,12741,3774,1.0,98.9,0.0,5.2,0.1,966
3448,3039,1157,0.9,98.7,0.0,2.3,0.0,968
41941,34212,8329,2.0,97.6,0.2,5.5,0.0,969
25925,21747,5380,0.2,99.6,0.0,3.5,0.0,971
58640,47125,11414,0.9,99.0,0.0,5.0,0.0,976
16130,14333,3883,3.5,94.1,0.4,6.5,1.3,979
14346,11658,3450,0.4,99.1,0.3,7.6,0.2,982
33947,27451,7418,0.5,99.0,0.3,6.0,0.0,983
31682,25654,7606,0.1,99.7,0.1,6.3,0.1,985
54241,43266,9755,0.5,99.4,0.0,10.2,0.0,987
