civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
4170,1396,15292,66.2,26.1,3267,13558,832,75.3,601
11279,939,18716,45.3,21.2,11103,26571,1897,49.9,602
13072,2712,16789,48.8,21.3,15774,32515,2913,57.4,603
1520,113,18835,54.6,20.6,1751,4264,186,49.6,606
8609,855,21239,44.7,22.5,9266,17211,1310,53.7,610
437,115,17143,47.1,49.9,215,974,133,34.6,611
17704,4002,19934,45.7,24.6,22029,41583,3573,56.5,612
3287,838,19130,46.7,25.5,3659,6187,878,49.5,616
6691,1261,19048,44.4,26.3,8211,14073,1359,54.0,617
2216,541,17728,51.7,29.6,2808,5260,419,53.5,622
12087,2032,18690,46.7,23.8,14755,26293,2070,51.8,623
6152,1010,18136,53.0,27.6,5870,15923,949,65.4,624
10072,764,19745,44.4,30.9,8600,23351,1907,55.4,627
223,74,15234,59.1,43.7,89,936,82,69.3,631
350,0,-,65.2,23.0,383,791,0,63.4,636
6122,1304,19042,44.2,23.6,8346,13911,1655,42.1,637
3606,1213,18968,55.2,34.9,3553,14172,629,63.0,638
5593,2479,16233,54.7,34.7,5715,18346,1583,58.6,641
12258,2349,29568,31.0,33.5,17163,18613,2165,33.2,646
931,552,14430,67.3,23.2,1517,3897,212,76.0,647
4014,1229,20362,50.0,26.6,3511,10495,689,66.5,650
1007,165,23813,37.6,23.1,1079,2167,170,58.7,652
1980,953,11788,66.5,16.5,1739,7291,364,81.2,653
4639,1347,19054,51.8,23.5,5780,13074,674,64.0,656
12331,934,20694,43.3,26.8,12060,23527,3041,51.6,659
4932,1211,20770,43.1,23.3,6358,10160,604,55.3,660
10931,1105,17375,51.0,24.8,12879,26819,2203,51.5,662
3540,806,16389,57.5,23.4,3180,11512,826,69.2,664
6150,1668,15426,59.6,23.3,6938,17216,1282,71.4,667
7783,1053,17589,56.1,32.7,6711,19957,1891,65.6,669
2276,170,15516,49.2,25.7,2860,6231,264,69.6,670
10874,2658,19103,47.5,25.0,12940,24835,3685,55.4,674
10279,3357,17423,49.9,28.7,10811,25385,2068,59.3,676
5238,463,24325,40.9,24.2,5807,9792,747,50.4,677
7991,476,18269,45.3,25.2,6667,18795,1429,53.1,678
11107,3259,15340,51.9,22.5,14159,30086,1703,68.9,680
7964,3060,15678,55.7,20.7,11854,20246,1562,69.1,682
6713,576,16764,49.3,26.3,10732,20355,1448,62.3,683
10964,1662,16785,50.6,26.8,11265,28895,2139,61.4,685
8749,1665,21598,46.8,32.7,8050,19790,1659,53.4,687
3113,724,16181,55.2,28.7,3423,7059,1131,70.2,688
1624,348,18142,55.8,20.8,1973,4338,224,59.4,690
10318,2719,22144,44.2,32.7,11500,21264,1899,54.3,692
16909,3638,21647,43.4,29.4,18348,34168,5274,51.8,693
14,0,-,0.0,N,14,72,0,-,694
9106,1991,16403,47.1,19.4,11670,22132,2024,52.4,698
8836,694,22023,43.8,28.8,9298,16246,1670,55.7,703
2318,122,18917,53.8,28.3,2089,4621,811,64.7,704
7509,615,21282,43.7,23.7,7033,17202,937,56.1,705
2336,872,21365,46.3,30.6,2149,8062,848,63.6,707
3567,451,14933,60.8,25.6,3764,12459,582,70.9,714
335,0,13787,66.0,15.6,229,1738,106,55.2,715
7013,1046,19164,48.0,22.5,8358,19891,1446,61.8,716
3587,770,12228,54.7,18.9,3988,10833,740,73.7,717
6206,1104,18333,50.0,31.8,6191,17043,1904,64.8,718
7759,1599,19197,45.3,40.1,10712,20455,1773,67.5,719
4775,1475,15485,55.5,34.0,4822,15878,945,64.1,720
4129,745,18107,49.5,33.6,4217,11512,1108,56.5,723
27535,4302,24262,40.5,31.5,30810,48070,5007,52.0,725
21030,1740,31204,32.6,33.8,25746,26580,3234,38.4,727
11227,1173,20542,49.5,24.6,11701,25431,2078,65.1,728
16707,4078,24289,37.4,34.0,19006,26325,5275,46.0,729
8788,1697,16734,52.3,24.6,10562,22711,1728,65.4,730
2669,233,15097,57.7,27.0,3093,7553,810,66.5,731
3703,405,20864,42.4,26.6,4400,7954,625,52.5,735
14878,1142,24099,39.3,26.1,24529,25775,2897,48.7,736
9454,3220,22162,41.5,27.1,10412,19627,2514,55.7,738
11086,927,23021,40.2,30.1,16964,20534,2497,46.1,739
602,235,10984,60.4,21.7,304,1646,140,78.0,740
1275,204,24143,43.4,21.7,1164,2775,384,70.0,741
16848,4502,23882,37.4,37.7,18988,26626,4083,44.9,745
5864,286,18458,49.0,25.9,5444,13641,1403,62.1,751
11142,1098,19320,45.7,34.2,12465,23097,2604,48.2,754
7556,697,20786,46.4,24.7,6311,12961,1601,54.7,757
1997,358,14942,53.2,13.1,1809,5844,1136,72.4,765
6392,1464,20774,44.4,31.2,6427,16135,707,52.8,766
8603,1506,17390,52.0,29.0,8129,22554,1790,61.6,767
10800,847,18994,49.9,25.8,10840,23940,1511,55.3,769
10730,1435,23873,37.8,30.2,13428,20655,2434,41.0,771
4925,2242,16425,53.4,34.5,4296,13151,1506,63.6,772
5511,1798,22216,44.0,31.6,5587,11634,1513,54.2,773
621,16,25104,23.0,11.9,582,650,174,13.9,775
12843,2532,22317,39.9,29.9,14450,23215,3667,44.4,777
16647,2873,35690,30.2,35.2,19722,20534,3315,34.5,778
4042,628,23684,43.1,25.6,6407,5892,1072,37.4,780
5602,971,14978,52.8,30.8,5782,13856,872,63.6,782
9571,2319,19192,47.8,36.8,11147,23104,2458,54.5,783
8894,731,17821,50.8,26.3,9241,24745,1929,64.6,784
46,0,-,54.3,N,69,82,0,-,786
13189,1389,22316,39.0,26.8,17280,31870,1984,49.9,791
8048,1454,19997,52.2,32.2,8784,20620,997,66.1,794
13202,3578,21252,45.3,25.2,16485,26849,2491,51.3,795
2554,501,27426,34.7,20.9,3817,3656,573,43.3,901
139,0,-,4.1,22.2,171,0,0,0.0,906
7689,657,38807,25.3,21.6,10546,7097,1288,35.1,907
2028,342,19512,43.3,24.3,1905,2812,622,65.0,909
3414,498,34413,28.1,24.1,4385,2429,1097,21.2,911
2726,456,28011,32.4,21.1,2935,3079,866,51.5,912
1372,964,5746,77.9,25.5,1783,5573,464,91.0,913
7985,3111,12921,64.8,26.7,6180,17092,4326,76.0,915
5995,1671,16277,49.2,25.4,6854,10578,2468,67.1,917
6586,935,31993,32.0,21.9,8389,7130,1102,45.4,918
7301,772,26217,34.6,22.6,8515,8812,2312,46.0,920
11175,2571,20147,45.3,22.4,14312,18940,2605,64.2,921
8448,2789,16950,51.6,26.9,9282,15481,2958,65.6,923
16058,3992,19876,46.9,28.0,19230,29043,4137,61.8,924
2468,639,12880,57.2,28.9,1897,3351,1257,77.7,925
37906,4638,35680,26.2,28.2,56936,42271,6415,34.4,926
5722,464,36638,23.2,24.0,9177,6009,610,38.5,927
17,31,-,0.0,N,83,0,31,0.0,934
27210,3714,29319,33.2,32.3,33770,35829,4371,39.7,949
0,0,-,-,-,0,0,0,-,950
116,17,20662,58.8,20.0,173,256,2,73.5,951
2326,689,17018,49.5,25.2,1994,5012,961,69.0,952
25548,2916,28459,32.4,40.0,34484,31084,4551,37.2,953
23273,2631,25506,36.4,32.9,27783,36494,5323,46.3,956
14165,1572,26384,34.6,34.1,17494,23388,3536,46.1,957
18608,1989,30418,32.5,30.6,23027,25249,3520,47.4,959
1,4,-,100.0,-,1,25,1,-,960
11506,1893,34346,28.4,26.7,16240,15206,2471,32.1,961
5845,1193,17315,51.9,30.5,5946,13318,1629,62.7,962
1384,273,15407,58.6,24.8,1226,4009,394,70.0,965
5950,779,50154,20.2,26.5,10808,6181,708,30.6,966
1468,26,47372,13.8,23.7,2607,1466,267,8.3,968
17189,1556,50730,17.6,26.5,28356,16157,1959,28.9,969
10762,1202,26849,34.5,24.6,12381,14218,1945,42.2,971
24800,1782,33822,29.5,32.1,33937,28816,3808,37.8,976
8122,937,33503,20.9,27.5,9647,7824,2095,32.9,979
4990,1017,25569,39.4,26.1,6391,7717,1201,53.2,982
12522,2124,28472,32.6,28.5,15925,16509,2992,50.8,983
11614,2291,29693,28.3,29.7,15501,17184,2486,30.6,985
21539,3173,33719,28.9,32.4,30583,24154,3629,36.1,987
8370,476,72444,7.6,20.8,12267,5914,538,8.4,1001
14536,1094,65013,23.0,20.7,22736,7829,619,10.6,1002
4194,975,-,8.1,13.8,12239,1530,505,-,1003
2788,121,103477,11.8,37.0,4023,1630,84,23.2,1005
8695,220,101076,7.1,29.9,13240,3991,274,5.3,1007
601,8,79573,3.9,36.6,908,421,51,13.8,1008
367,71,64809,21.4,28.1,578,187,32,23.6,1009
1747,106,84830,7.0,38.1,2775,1325,139,6.2,1010
656,12,75640,9.2,35.2,841,574,100,10.1,1011
295,0,68894,3.8,29.7,382,200,26,0.0,1012
10841,818,52721,16.9,20.5,13315,11595,788,18.9,1013
