hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1374,3316,1644,15.7,601
2733,7103,4210,20.5,602
3244,9627,5367,23.3,603
626,1385,319,10.5,606
1728,5966,2610,17.0,610
3301,12445,7885,25.3,612
681,2208,1258,21.0,616
1500,5368,3005,22.3,617
729,1195,815,20.4,622
2868,7819,6056,26.8,623
1517,4335,2696,22.1,624
2130,5603,3568,21.6,627
76,250,160,18.0,631
1469,4953,2594,20.3,637
1219,3488,1400,15.4,638
1534,5278,3085,19.8,641
1965,7088,5323,31.1,646
359,1557,663,17.5,647
804,3381,1185,15.7,650
242,514,615,29.0,652
991,2443,730,14.8,653
1106,4013,2458,24.7,656
1825,6651,5670,26.9,659
780,3703,2205,23.9,660
2381,7965,4928,24.5,662
664,3738,1419,20.2,664
2244,4558,2194,17.3,667
1944,4359,2586,19.0,669
525,2003,865,17.3,670
2501,8096,4847,23.4,674
2703,7766,3865,21.3,676
993,2754,1829,22.4,677
1760,5357,2694,20.1,678
2816,8975,5016,23.5,680
1981,4609,4339,34.5,682
1921,6736,3461,22.7,683
2404,7078,3979,19.5,685
1891,6394,3017,17.1,687
759,2683,1232,17.8,688
339,1324,949,29.4,690
2144,6908,3766,23.6,692
4037,10598,5784,21.5,693
0,0,0,0.0,694
1910,8747,4785,24.5,698
1905,5800,2745,17.5,703
379,1639,727,18.5,704
1242,5612,2498,23.2,705
587,2273,1085,17.1,707
1364,4337,1921,18.8,714
274,785,162,9.0,715
1413,5445,4391,33.7,716
920,3256,2269,31.9,717
1505,6068,2925,22.0,718
2187,4868,2850,17.3,719
1744,4514,1852,16.7,720
878,3488,1487,18.3,723
4345,16704,11876,28.9,725
1894,8287,9511,37.3,727
2377,8507,5656,27.5,728
2840,10946,6005,23.7,729
1662,6508,4036,27.5,730
657,2866,1607,22.9,731
677,2722,1328,19.3,735
2122,10661,6301,25.7,736
1501,6642,4393,28.4,738
1245,7811,4205,25.0,739
155,522,167,14.0,740
504,793,497,18.5,741
3174,11321,7134,24.6,745
1522,6058,1999,16.9,751
2263,6687,3762,19.2,754
797,5877,2704,24.9,757
569,2697,434,13.1,765
877,5729,2467,19.8,766
2613,6140,3567,17.6,767
1872,10886,4565,21.0,769
1747,6371,4476,23.7,771
1583,5599,1408,12.4,772
997,4394,2086,21.7,773
71,340,140,16.9,775
2104,7488,4226,20.3,777
1987,8275,7312,33.5,778
653,2198,1731,31.6,780
936,3140,1408,14.1,782
2342,6149,3555,20.7,783
2491,10259,4502,22.6,784
39,199,0,8.9,786
2626,11475,6016,24.8,791
1797,5575,2805,20.0,794
2710,9824,6108,25.6,795
378,1567,1310,43.7,901
0,0,42,90.1,906
370,1672,3846,57.0,907
177,985,745,34.8,909
306,753,1692,53.4,911
373,1042,1032,38.5,912
345,1508,562,21.2,913
1873,5648,1621,12.9,915
1176,3957,2261,26.3,917
281,1407,3874,59.7,918
812,2507,3129,35.5,920
1279,5743,4415,30.3,921
1406,4908,2539,23.5,923
1948,7808,6414,30.5,924
416,737,994,36.7,925
2540,11597,18666,48.2,926
192,1117,3412,64.7,927
0,0,31,64.6,934
46,106,120,23.8,936
3350,13900,10644,28.6,949
0,0,0,-,950
0,0,0,-,951
656,1396,601,12.4,952
3026,12601,10474,27.6,953
3550,10640,8628,24.5,956
1794,7210,5684,27.1,957
1541,7040,8411,35.9,959
413,473,40,3.7,960
1544,5007,4459,32.8,961
1342,4355,1513,15.8,962
