total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17599,13562,2897,0.3,99.6,0.0,0.8,0.0,601
39209,31389,6362,4.1,93.7,0.1,26.3,0.0,602
50135,39611,9600,1.0,97.5,0.3,8.6,0.3,603
6304,4978,1067,0.2,99.8,0.0,2.7,0.0,606
27590,21933,5110,2.1,97.3,0.1,9.9,0.0,610
62566,49263,12412,0.4,99.6,0.0,2.0,0.0,612
10687,9087,2356,0.4,99.6,0.0,1.3,0.0,616
24508,19018,4274,0.1,99.8,0.0,1.2,0.0,617
7405,6175,2053,0.8,99.2,0.0,0.0,0.0,622
42321,33505,8423,0.1,99.9,0.0,0.3,0.0,623
23238,17707,3576,0.1,99.8,0.0,1.8,0.0,624
32936,26113,5823,0.8,99.2,0.1,0.8,0.0,627
1555,1361,394,0.5,99.5,0.0,0.0,0.0,631
23610,18580,4845,0.2,99.8,0.0,1.8,0.0,637
17202,13359,3054,0.5,99.5,0.0,1.8,0.0,638
28332,22466,5299,0.4,99.5,0.1,2.2,0.0,641
38008,29059,5916,1.3,98.7,0.0,5.6,0.1,646
5610,4727,1433,0.0,100.0,0.0,1.7,0.0,647
14664,11348,2573,1.0,99.0,0.0,0.9,0.0,650
3681,2716,638,0.0,100.0,0.0,0.2,0.0,652
11717,8872,2245,0.8,99.2,0.0,3.1,0.0,653
19546,15150,3584,0.4,99.5,0.0,2.1,0.1,656
40978,32528,7365,0.2,99.8,0.0,0.8,0.0,659
16474,13407,4157,0.3,99.6,0.1,1.6,0.0,660
41341,32758,7588,1.0,98.5,0.2,1.4,0.0,662
15396,11749,2244,0.1,99.9,0.0,2.9,0.0,664
24089,19385,5349,0.1,99.9,0.0,1.6,0.0,667
26510,20995,4845,0.3,99.5,0.0,1.1,0.0,669
8797,6902,1621,1.1,98.9,0.0,0.3,0.0,670
40826,31980,7751,1.0,98.5,0.4,0.8,0.0,674
37862,29335,5855,0.4,99.2,0.0,3.7,0.1,676
14569,11793,3239,6.7,90.1,0.0,27.5,0.2,677
26642,20951,4534,0.5,99.0,0.3,0.6,0.0,678
48035,39805,10952,0.4,99.5,0.1,1.8,0.0,680
32820,26080,6407,0.7,99.0,0.0,3.1,0.1,682
31627,25223,6997,0.4,99.5,0.1,0.6,0.0,683
38849,30846,8194,0.9,99.0,0.0,1.5,0.0,685
31785,24396,4412,0.1,99.8,0.0,0.5,0.0,687
12360,10215,2151,0.8,99.1,0.0,0.6,0.1,688
5587,4475,1188,1.1,95.8,0.0,13.7,0.0,690
36218,27843,5730,1.0,98.5,0.1,3.6,0.0,692
56327,44269,10147,3.0,96.9,0.1,1.3,0.0,693
88,88,72,0.0,100.0,0.0,0.0,0.0,694
37493,29760,7268,0.2,99.8,0.0,1.4,0.0,698
27137,21406,4767,0.7,99.3,0.0,15.0,0.0,703
7842,5870,1032,0.1,98.8,0.0,2.0,0.2,704
23831,18850,4250,0.4,99.5,0.0,0.8,0.1,705
11240,8927,2227,1.1,98.9,0.0,1.2,0.0,707
18363,14112,3179,0.2,99.8,0.0,1.3,0.0,714
3645,2822,869,0.0,99.0,1.0,19.9,0.0,715
29191,23186,6334,0.6,99.2,0.1,9.0,0.0,716
17285,13350,3465,0.7,98.8,0.1,11.7,0.4,717
26073,19804,4239,0.2,99.5,0.0,0.4,0.0,718
29684,23287,4929,0.1,99.7,0.0,5.7,0.0,719
21753,16704,3179,0.3,99.7,0.0,1.4,0.0,720
17826,14194,3378,0.2,99.7,0.0,0.1,0.0,723
82822,65380,15712,0.9,98.9,0.0,3.3,0.0,725
56023,44216,9369,0.8,99.1,0.1,2.7,0.0,727
40326,31862,6841,0.3,99.6,0.1,4.6,0.0,728
52244,40563,7867,0.1,99.7,0.0,0.6,0.2,729
32735,25597,6774,0.8,99.2,0.0,10.0,0.0,730
13862,10749,2229,0.3,99.7,0.0,12.3,0.0,731
12749,10163,2652,0.8,99.0,0.0,1.3,0.1,735
48476,38861,8938,0.5,99.4,0.0,10.4,0.1,736
31558,24745,6422,0.8,98.7,0.2,2.5,0.2,738
37380,28908,5568,0.3,99.7,0.0,1.5,0.0,739
1517,1162,257,0.0,100.0,0.0,0.0,0.0,740
5168,4238,992,0.0,100.0,0.0,2.0,0.0,741
52624,41435,9235,0.5,99.5,0.0,2.3,0.0,745
22174,17027,4082,0.0,99.5,0.0,1.8,0.4,751
38636,30594,6375,0.0,99.9,0.0,4.6,0.1,754
22475,16997,3321,0.4,99.6,0.0,0.7,0.0,757
8721,6915,1777,4.1,95.6,0.0,1.2,0.0,765
23931,18385,3616,0.2,99.7,0.1,29.6,0.0,766
35042,27615,6136,0.1,99.9,0.0,0.8,0.0,767
39605,30792,6230,0.5,99.5,0.0,0.6,0.0,769
37705,29349,5971,0.1,99.6,0.2,0.8,0.0,771
20784,15937,3171,0.0,100.0,0.0,1.1,0.0,772
18952,14871,3646,1.4,98.2,0.1,1.9,0.1,773
1480,1191,295,7.8,91.5,0.0,2.2,0.0,775
40611,31374,5858,0.6,99.4,0.0,0.9,0.0,777
46852,36293,6616,1.1,98.5,0.2,2.4,0.0,778
11679,8980,1728,1.1,98.9,0.0,17.7,0.0,780
18196,14190,2874,0.2,99.7,0.0,1.7,0.0,782
34240,26432,5426,0.9,99.0,0.0,4.0,0.0,783
41417,32195,6675,0.8,99.1,0.2,1.1,0.0,784
249,249,152,0.0,100.0,0.0,0.0,0.0,786
49551,39171,9425,1.2,98.4,0.0,1.3,0.0,791
29296,22228,4015,0.0,100.0,0.0,3.4,0.0,794
45573,34951,7207,0.1,99.8,0.0,35.3,0.0,795
6540,5644,1249,4.1,94.6,1.0,4.4,0.1,901
91,91,6,0.0,100.0,0.0,0.0,0.0,906
16819,14646,4454,4.0,94.9,0.6,5.2,0.1,907
5430,4365,1029,0.5,99.2,0.1,11.3,0.1,909
7617,6546,1967,7.1,92.0,0.5,3.3,0.4,911
5920,5118,1304,1.1,98.3,0.3,12.5,0.0,912
8495,5318,818,0.8,99.2,0.0,7.3,0.0,913
27534,21851,4394,0.1,99.1,0.3,10.8,0.1,915
18316,15466,4275,0.6,99.0,0.0,2.5,0.2,917
16595,13371,3732,0.8,99.2,0.0,3.0,0.0,918
16698,13858,3833,0.8,98.9,0.3,4.9,0.0,920
35161,27950,6493,0.7,99.0,0.2,6.6,0.0,921
24754,19241,4531,0.8,99.0,0.2,2.0,0.0,923
51699,38992,9792,1.2,98.3,0.2,3.9,0.0,924
6796,6263,1047,2.4,96.0,0.3,4.5,1.0,925
99106,79970,20105,0.7,98.8,0.1,4.9,0.3,926
13503,11614,3369,2.6,96.4,0.2,2.5,0.8,927
25,25,14,44.0,0.0,56.0,0.0,0.0,934
749,749,399,2.0,98.0,0.0,1.2,0.0,936
76058,60017,13231,0.6,99.2,0.1,20.4,0.0,949
0,0,0,-,-,-,-,-,950
0,0,0,-,-,-,-,-,951
8467,6638,1614,0.4,99.6,0.0,27.0,0.0,952
72608,55733,8880,0.4,99.1,0.1,8.8,0.4,953
68452,54466,14023,0.6,99.3,0.0,12.5,0.1,956
40738,32020,8454,0.4,99.2,0.0,23.5,0.0,957
47849,38410,8675,0.8,99.1,0.1,21.3,0.0,959
2454,2423,46,0.3,98.4,0.6,26.5,0.0,960
31017,25683,5973,0.8,98.8,0.2,29.0,0.2,961
19864,15117,3120,0.5,99.3,0.0,6.9,0.3,962
7659,6107,1361,0.2,99.7,0.1,10.5,0.0,965
16169,13376,3608,1.1,98.9,0.1,5.9,0.0,966
3368,2990,1149,1.3,97.6,0.0,1.6,0.9,968
43216,34732,7935,2.2,97.6,0.0,5.7,0.0,969
27449,22804,5294,0.3,99.5,0.0,6.8,0.0,971
60134,47030,10585,0.7,99.2,0.0,3.2,0.0,976
15203,13456,3295,4.8,92.7,0.3,3.8,1.6,979
14514,11910,3403,0.2,99.6,0.1,9.1,0.0,982
36687,29324,7728,0.5,99.1,0.3,9.2,0.0,983
