hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
0,42,10,10.6,1244
0,124,210,55.1,1245
935,3840,1502,23.4,1247
35,204,130,37.9,1253
22,175,188,49.6,1254
51,207,104,32.8,1255
47,215,62,19.5,1256
23,561,266,33.9,1257
0,85,126,58.6,1258
42,107,128,52.3,1259
52,42,80,41.9,1260
6,244,139,44.3,1262
0,55,20,42.8,1264
26,211,286,55.1,1266
206,634,962,61.5,1267
15,179,137,40.8,1270
813,3676,2696,34.7,1301
29,267,239,47.1,1330
674,3645,1286,19.9,1331
65,753,322,28.4,1337
5,36,0,36.1,1338
51,340,216,36.3,1339
62,441,237,33.3,1340
20,226,413,62.3,1341
5,208,228,47.8,1342
6,28,0,7.7,1343
65,438,106,17.7,1344
9,112,53,29.8,1346
8,38,25,24.5,1347
48,348,99,21.6,1349
0,35,5,10.4,1350
28,464,329,35.0,1351
27,310,456,49.5,1354
17,190,152,44.4,1355
175,646,457,38.3,1360
379,2247,715,19.2,1364
41,261,125,36.4,1366
24,135,84,33.2,1367
44,463,110,19.7,1368
122,675,840,44.5,1370
191,569,843,47.3,1373
29,666,588,48.0,1375
243,1500,551,24.2,1376
29,183,135,32.1,1378
23,155,182,47.1,1379
2457,9143,3697,21.0,1420
76,1033,1155,39.7,1430
119,777,514,33.2,1431
232,1338,1465,49.5,1432
38,473,306,30.9,1434
175,823,319,20.0,1436
62,158,8,6.8,1438
1158,5250,1748,18.3,1440
119,1092,3094,64.2,1450
43,280,1254,77.6,1451
71,923,676,31.6,1452
2094,8550,5656,29.2,1453
108,1316,2060,56.0,1460
339,2184,1705,37.1,1462
327,2179,2151,41.1,1463
446,2237,1040,24.4,1464
0,23,52,51.1,1467
269,703,643,25.4,1468
175,1418,1164,34.0,1469
167,1492,1485,40.4,1473
105,432,293,35.8,1474
427,2617,997,22.7,1475
452,3384,3111,40.5,1501
77,633,756,50.5,1503
228,2068,1554,35.4,1504
42,466,1143,57.5,1505
122,949,517,28.7,1506
312,2747,2203,37.2,1507
819,2848,2035,29.4,1510
110,396,348,36.6,1515
92,1508,1700,39.5,1516
97,902,704,43.6,1518
150,950,1567,52.6,1519
200,1837,3367,58.8,1520
83,513,297,27.9,1521
37,316,656,52.0,1522
571,1351,1425,38.5,1523
328,1356,864,29.4,1524
14,189,68,23.7,1525
546,3074,1814,32.5,1527
123,686,449,27.9,1529
83,271,146,29.7,1531
194,1437,3529,64.1,1532
205,1243,1070,42.6,1534
223,1226,518,28.6,1535
156,1229,1269,47.2,1536
213,421,418,37.6,1537
293,2722,1455,28.0,1540
61,327,852,61.5,1541
88,509,274,26.4,1542
61,1530,1580,46.3,1543
486,4460,7596,58.6,1545
1302,4044,1315,17.2,1550
168,646,828,52.2,1560
0,0,133,63.6,1561
634,3292,1133,19.4,1562
93,1210,1783,52.8,1564
117,799,1068,46.1,1566
74,818,2033,60.1,1568
362,3217,2215,34.8,1569
994,4200,2175,25.0,1570
231,2312,1487,32.0,1571
273,2041,4607,66.7,1581
542,1744,1242,33.6,1583
198,1336,751,28.9,1585
307,2145,1526,32.5,1588
191,2025,1477,41.1,1590
721,3770,4026,44.4,1602
1516,4484,1864,21.1,1603
2216,7997,5252,29.9,1604
2140,5931,2796,24.3,1605
622,4041,3031,37.2,1606
732,1878,890,22.8,1607
516,627,470,25.5,1608
1408,2825,2811,40.7,1609
2278,4113,1439,16.1,1610
78,492,385,27.5,1611
86,507,943,56.3,1612
569,4295,7967,59.3,1701
1792,7867,5962,36.9,1702
0,15,221,79.9,1718
86,365,1095,66.2,1719
203,1271,4845,74.7,1720
345,2488,3699,58.5,1721
218,843,3147,71.8,1730
2,102,275,56.5,1731
33,407,1150,68.9,1740
36,164,1211,82.2,1741
415,1689,3856,74.2,1742
0,77,102,61.6,1745
88,1185,3583,66.2,1746
169,948,1302,43.3,1747
209,1380,4531,71.9,1748
578,3680,3873,44.4,1749
977,7973,6304,39.0,1752
111,1528,2105,51.1,1754
33,1158,1336,46.2,1756
1241,5234,4776,36.3,1757
440,3174,8091,68.7,1760
8,164,1015,83.6,1770
132,801,2499,66.8,1772
38,144,1018,80.2,1773
28,513,1779,73.6,1775
71,1171,4652,80.5,1776
111,590,3379,80.9,1778
925,7334,8098,45.4,1801
355,4062,6481,56.9,1803
337,2115,8425,74.5,1810
1047,7303,5801,37.2,1821
305,3278,6363,59.5,1824
1209,7019,4360,31.1,1826
46,382,784,54.8,1827
1129,5690,3324,26.5,1830
938,5037,3269,30.3,1832
110,1211,2089,53.4,1833
125,956,1377,48.7,1834
375,2610,2199,35.4,1835
505,1103,314,11.9,1840
4458,9863,1799,8.1,1841
1807,4707,1556,15.8,1843
1809,10495,6065,28.1,1844
477,3116,6961,59.7,1845
626,4589,959,14.8,1850
1549,6391,2953,25.1,1851
1663,8114,4191,28.8,1852
1753,5810,2089,21.4,1854
207,1138,1407,43.7,1860
526,2546,1591,32.0,1862
192,1488,1606,48.2,1863
293,2537,3252,51.0,1864
261,2589,5954,64.5,1867
663,6547,5495,38.6,1876
196,1984,2746,48.5,1879
594,4170,5849,51.0,1880
154,2082,5511,67.4,1886
459,4431,4267,43.5,1887
79,1631,4718,77.3,1890
47,348,223,21.7,1901
3339,10242,3575,16.3,1902
688,3709,1937,26.4,1904
1174,5505,2152,16.8,1905
899,7746,4058,28.8,1906
182,1974,3165,56.6,1907
64,525,889,57.2,1908
591,3279,3234,41.1,1913
800,6473,8604,50.6,1915
104,557,2032,68.1,1921
104,529,841,50.8,1922
890,4569,5195,43.5,1923
30,415,872,58.3,1929
912,6077,5528,39.9,1930
59,91,19,10.6,1937
164,1990,3031,54.1,1938
176,1681,2803,55.4,1940
64,532,1369,70.8,1944
160,1446,5803,71.3,1945
426,2049,1909,39.3,1949
263,1953,4647,62.4,1950
48,373,961,55.5,1951
327,2033,1727,35.7,1952
1750,12077,8705,34.0,1960
129,1044,2005,56.9,1966
124,1102,1207,44.5,1969
1319,7628,7825,43.2,1970
69,620,1948,69.3,1982
66,602,1310,64.4,1983
11,353,1132,67.6,1984
55,482,1206,62.3,1985
407,3330,2560,35.8,2019
419,2975,5102,55.1,2021
43,655,2048,70.8,2025
575,3807,5258,53.3,2026
37,228,1199,84.8,2030
16,558,994,61.6,2032
459,2239,3758,52.8,2035
384,4237,6984,55.7,2038
180,1922,5998,71.1,2043
243,2032,2246,45.8,2045
0,0,0,10.7,2047
476,2972,4995,54.8,2048
454,3459,5646,48.2,2050
51,705,2913,73.7,2052
274,1413,3237,59.0,2053
116,1326,2025,52.4,2054
506,1569,2578,52.8,2056
111,1072,2845,65.4,2061
735,4851,6568,47.4,2062
226,1797,4690,60.5,2066
201,809,3744,73.0,2067
118,500,122,14.4,2071
1006,5476,4865,37.6,2072
412,2320,4698,53.6,2081
236,1091,4123,71.5,2090
169,1687,2797,51.4,2093
93,155,1468,87.3,2108
123,300,1295,72.9,2109
50,61,714,82.3,2110
211,872,1093,55.6,2111
99,397,2963,79.9,2113
297,545,4463,83.9,2114
647,1299,3497,63.1,2115
365,1228,6003,76.5,2116
1096,2909,5634,58.1,2118
2328,4859,3312,27.2,2119
729,1397,1660,40.3,2120
1568,7314,2201,16.8,2121
1798,5037,3512,30.6,2122
2993,11341,6750,28.3,2124
1617,6184,5510,36.7,2125
1760,7024,2208,18.7,2126
1057,4434,13280,65.4,2127
2478,9725,6413,28.9,2128
483,2062,4987,67.4,2129
1108,3868,9336,66.1,2130
1377,5497,5752,44.5,2131
591,4086,5812,56.3,2132
462,1631,4985,68.1,2134
915,3791,13600,68.2,2135
1898,6400,4372,28.5,2136
288,965,6809,87.5,2138
847,1979,7951,77.0,2139
373,1861,4044,74.0,2140
322,1322,3158,70.2,2141
0,96,890,91.1,2142
675,2405,7381,72.9,2143
635,1954,6867,73.4,2144
1411,3942,5690,47.9,2145
1976,11503,10062,39.0,2148
2434,11290,4072,20.0,2149
2425,8384,3016,18.5,2150
2233,16170,5594,22.9,2151
385,4439,3557,38.3,2152
1745,8430,11046,53.8,2155
0,11,1033,97.1,2163
1969,11084,11552,44.5,2169
1221,2835,3919,42.0,2170
768,2647,4105,50.4,2171
504,2997,6147,61.6,2176
493,4481,4974,46.3,2180
933,6702,7084,43.4,2184
575,2514,5676,61.0,2186
512,3149,3183,41.9,2188
541,3093,2293,32.4,2189
498,3309,3538,42.2,2190
261,1852,1755,39.5,2191
0,73,496,88.5,2199
0,16,0,0.0,2203
0,55,1421,89.7,2210
340,684,3557,79.5,2215
4349,12773,5643,18.7,2301
1564,8212,2739,18.5,2302
177,1403,699,26.9,2322
677,4802,4009,35.8,2324
418,3238,958,21.8,2330
85,1084,4279,72.5,2332
253,3078,1819,30.5,2333
170,2179,984,30.6,2338
217,2156,2938,48.7,2339
349,2271,1774,32.5,2341
297,2038,1466,29.8,2343
565,6573,3234,26.2,2346
246,2203,1986,39.0,2347
372,3251,3185,39.1,2351
145,1656,2912,55.1,2356
6,0,7,80.9,2357
294,3787,3368,38.8,2359
1344,12584,10824,38.5,2360
265,2586,2814,43.5,2364
9,104,0,4.8,2366
72,807,454,33.3,2367
1924,7315,4460,27.7,2368
464,3966,3149,33.7,2370
257,1741,1752,41.2,2375
140,1589,1188,35.4,2379
449,3388,2121,29.0,2382
125,497,2636,85.4,2420
