hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1528,2985,1845,18.7,601
2830,6076,3840,20.2,602
3803,9590,5809,22.6,603
662,1553,349,9.7,606
1783,6329,2368,15.6,610
3771,12654,7530,23.4,612
819,2392,1021,16.5,616
1265,5583,2223,16.7,617
708,1319,803,20.7,622
3417,7457,5966,25.7,623
1724,4771,2517,19.2,624
2393,6126,3730,21.2,627
199,279,192,15.8,631
1364,5637,2701,19.5,637
1192,3641,1477,13.9,638
2032,5816,3043,18.4,641
2442,6417,5580,30.2,646
567,1572,539,16.4,647
841,3799,1048,11.4,650
227,759,466,23.1,652
1172,3025,811,14.1,653
1383,3938,2285,20.3,656
2925,5948,5112,24.4,659
1022,3494,2128,23.1,660
2908,8599,4305,20.6,662
707,3928,1212,16.1,664
2540,4473,1907,15.5,667
2228,4378,2480,16.7,669
706,1868,726,14.2,670
2674,7310,5008,22.0,674
2211,8035,3648,18.5,676
1450,2683,1568,19.8,677
2003,5292,2306,15.7,678
3696,10874,4538,19.0,680
2193,5282,3847,28.4,682
2115,6684,3734,23.1,683
2364,6847,3942,17.3,685
2159,5669,2832,17.2,687
1105,3247,1177,15.4,688
282,925,1026,36.5,690
3715,5816,3421,20.2,692
8697,5500,6133,20.4,693
0,0,0,0.0,694
2497,8004,4482,21.7,698
2138,5943,2085,13.9,703
665,1445,696,19.8,704
1553,5579,2546,20.9,705
823,1953,1033,16.0,707
1133,4587,1760,16.9,714
357,745,187,9.0,715
1614,5392,4587,32.5,716
837,3441,2024,26.7,717
2002,4901,2805,19.6,718
2136,5145,2720,16.2,719
1645,4650,1916,15.6,720
1076,3888,1436,15.6,723
4665,16608,11599,27.0,725
2392,8947,8714,33.4,727
2423,7884,5334,25.0,728
3225,11150,5313,19.5,729
2272,7340,3758,23.0,730
868,3464,1807,20.5,731
863,2985,1095,17.3,735
2648,10542,5741,23.7,736
2069,6940,3878,22.6,738
1838,8053,4214,23.4,739
159,432,63,9.0,740
314,1147,306,11.2,741
3223,11835,5612,20.5,745
1768,5353,1781,16.1,751
2192,7540,3919,19.4,754
1091,5055,2295,22.8,757
678,2171,800,19.2,765
1481,5495,2368,18.5,766
2318,6330,3139,16.7,767
2782,8901,4263,21.0,769
2255,8551,3352,17.7,771
1577,5711,1259,11.3,772
1298,4444,1947,19.2,773
108,374,92,12.2,775
1995,8102,4333,21.4,777
2536,7494,7360,34.4,778
627,1888,1687,31.8,780
1507,3788,1276,13.1,782
2515,6304,2864,16.1,783
2715,9910,4444,19.9,784
38,180,0,0.0,786
2827,10464,6120,24.6,791
2124,6053,2546,17.3,794
3370,9567,5009,21.8,795
551,969,1122,37.3,901
0,0,17,88.5,906
997,1965,3846,49.7,907
311,917,699,29.6,909
259,882,1598,49.8,911
304,943,899,32.8,912
422,1636,465,18.9,913
2475,6207,1602,10.7,915
1514,3603,2048,21.9,917
676,1801,3039,49.2,918
916,2581,3000,32.7,920
2114,6008,4709,26.7,921
2160,4467,2564,20.3,923
3141,8733,6096,25.9,924
557,737,750,28.0,925
3650,13406,18378,44.2,926
307,1587,3561,57.9,927
0,0,0,100.0,934
46,387,58,6.7,936
4461,14779,10029,25.2,949
0,0,0,-,950
0,8,0,0.0,951
718,1871,684,13.4,952
3462,11562,11873,32.4,953
4360,12672,9015,22.9,956
2064,7374,5517,25.3,957
2197,6940,8399,35.0,959
499,664,28,1.8,960
1579,4638,5269,33.7,961
1560,4109,1602,15.9,962
664,1958,458,10.1,965
237,1059,4158,62.4,966
86,281,1103,68.6,968
862,4050,10598,59.5,969
2235,4474,3314,22.8,971
2203,10062,10518,35.6,976
567,2075,3486,46.1,979
856,3052,1953,24.0,982
1652,7187,5272,28.0,983
1593,6855,3906,22.7,985
2684,9358,9475,33.1,987
869,3907,2016,27.7,1001
295,1678,3161,65.8,1002
30,7,3,12.4,1003
109,1412,505,28.0,1005
550,2251,2185,42.6,1007
51,295,164,29.1,1008
0,70,34,16.7,1009
128,682,601,37.5,1010
65,426,145,18.8,1011
10,123,81,38.7,1012
1726,5641,1706,18.0,1013
1754,8464,2569,17.3,1020
102,566,313,30.3,1022
19,273,171,38.6,1026
506,4385,3026,34.1,1027
362,2786,2757,43.0,1028
29,182,122,29.5,1029
387,2542,1599,30.5,1030
60,341,150,24.4,1031
16,98,96,47.3,1032
136,1294,923,35.2,1033
67,649,334,27.7,1034
134,963,1077,49.8,1035
191,1144,727,35.2,1036
15,170,91,37.6,1037
8,775,514,38.0,1038
31,103,231,56.5,1039
2954,7284,4241,25.6,1040
75,620,206,20.8,1050
77,338,286,44.6,1053
39,194,355,66.0,1054
1341,5322,2289,21.8,1056
357,2143,1052,26.8,1057
249,1587,2507,60.6,1060
253,1507,1950,55.9,1062
0,0,0,0.0,1063
0,0,0,100.0,1066
66,356,280,37.2,1068
434,1849,1182,29.0,1069
19,91,103,48.1,1070
31,386,207,32.0,1071
15,148,296,65.8,1072
147,1358,836,37.1,1073
43,79,33,21.3,1074
582,2672,2454,39.8,1075
297,1982,1124,34.9,1077
26,242,136,23.7,1079
120,712,211,16.0,1080
51,499,166,18.5,1081
513,2980,1136,21.9,1082
138,1045,372,17.5,1083
4,43,25,62.8,1084
1259,7840,5648,32.4,1085
0,0,8,50.0,1086
22,139,80,32.2,1088
1387,5838,3455,28.9,1089
57,322,275,32.6,1092
13,53,81,61.5,1093
5,99,35,19.7,1094
370,2512,2659,44.2,1095
101,497,404,39.5,1096
3,22,0,0.0,1097
49,254,189,37.8,1098
342,204,125,23.8,1103
2011,5270,1166,12.6,1104
1191,2228,402,10.5,1105
322,1382,3307,64.3,1106
1307,1395,501,11.3,1107
2389,5065,1553,18.1,1108
2061,5655,1421,13.7,1109
625,2921,1921,30.6,1118
829,2276,1162,21.8,1119
47,572,357,28.8,1128
420,1458,784,26.5,1129
782,1918,563,14.6,1151
0,0,0,-,1199
2114,10209,5459,27.2,1201
441,2436,903,22.7,1220
68,242,156,31.6,1222
83,628,305,34.2,1223
0,54,10,13.2,1224
120,925,295,19.1,1225
172,1397,1237,35.4,1226
0,26,18,28.8,1229
288,1675,1195,42.7,1230
142,780,367,28.9,1235
4,127,208,63.7,1236
69,629,429,37.1,1237
252,1285,868,35.4,1238
89,729,887,52.7,1240
0,85,94,42.2,1242
0,141,35,23.1,1243
0,13,34,65.8,1244
9,167,207,50.3,1245
1172,4061,1600,23.5,1247
35,180,89,30.8,1253
29,131,238,51.5,1254
55,179,120,38.6,1255
63,247,60,17.3,1256
108,570,277,34.1,1257
0,80,122,54.8,1258
48,104,116,49.8,1259
87,71,52,19.9,1260
16,316,180,39.0,1262
0,45,18,46.8,1264
26,233,240,46.5,1266
267,579,1054,61.3,1267
19,148,160,42.5,1270
711,3794,2134,30.4,1301
17,246,321,49.5,1330
879,3583,1200,18.2,1331
72,696,339,29.5,1337
5,26,11,27.7,1338
55,322,180,33.7,1339
77,453,180,26.2,1340
11,176,334,58.7,1341
19,173,375,66.5,1342
4,26,2,8.7,1343
58,496,117,15.4,1344
10,122,56,32.8,1346
6,40,0,20.8,1347
43,336,105,19.3,1349
1,34,11,18.1,1350
39,463,386,39.2,1351
26,341,345,46.9,1354
22,189,158,44.1,1355
109,610,372,36.5,1360
524,2301,504,15.7,1364
20,250,153,36.6,1366
47,141,73,28.8,1367
63,401,88,16.8,1368
157,669,813,43.8,1370
89,587,758,42.1,1373
124,386,540,58.5,1375
397,1104,536,22.9,1376
47,156,130,34.0,1378
37,152,151,45.3,1379
2778,8880,3340,20.2,1420
120,1080,1103,38.6,1430
88,859,343,25.4,1431
146,1549,1098,37.9,1432
72,484,308,27.9,1434
188,1041,256,18.6,1436
61,213,1,8.8,1438
1276,5244,1569,17.7,1440
56,1143,2907,64.0,1450
32,280,1191,76.8,1451
151,1032,510,27.0,1452
2336,9140,5416,28.0,1453
98,1269,2205,56.1,1460
363,2164,1826,36.6,1462
420,2089,1918,37.0,1463
522,2194,1008,24.9,1464
0,41,137,66.7,1467
192,1010,464,20.1,1468
148,1619,1060,31.5,1469
241,1126,1477,43.3,1473
73,386,357,42.6,1474
591,2683,858,18.1,1475
554,3424,2878,37.8,1501
79,588,655,46.5,1503
300,2119,1245,29.1,1504
99,600,1069,53.5,1505
161,813,601,33.0,1506
289,3101,1925,32.2,1507
690,2974,2161,33.9,1510
86,569,340,30.4,1515
81,1785,1393,33.5,1516
19,482,565,50.5,1518
87,870,1552,52.0,1519
343,1979,2965,52.8,1520
74,531,319,30.2,1521
28,484,596,53.3,1522
417,1430,1171,32.1,1523
321,1478,765,26.2,1524
18,11,15,45.3,1525
577,3015,1998,34.8,1527
136,665,415,27.4,1529
45,229,168,35.1,1531
256,1769,3161,54.5,1532
205,1420,894,37.7,1534
175,1319,510,26.7,1535
119,1104,1305,50.5,1536
142,576,411,34.0,1537
395,2617,1549,28.7,1540
30,441,697,58.4,1541
83,550,231,24.7,1542
42,1635,1580,43.7,1543
601,4218,7068,56.3,1545
1216,3971,1274,17.7,1550
157,671,786,48.3,1560
0,16,124,55.6,1561
708,3202,1133,22.0,1562
207,1158,1630,49.9,1564
134,797,1342,48.1,1566
143,1114,1533,48.9,1568
213,3061,1970,33.5,1569
1217,4176,1807,22.2,1570
483,2271,1301,27.6,1571
274,2098,4333,63.1,1581
524,1833,1115,30.2,1583
230,1430,636,29.6,1585
435,1787,1400,31.3,1588
122,1766,1613,45.1,1590
968,3424,4260,46.7,1602
1500,4919,1792,20.3,1603
1691,8317,4506,27.3,1604
1854,5590,2814,25.3,1605
562,3769,3313,37.9,1606
666,1962,1107,25.0,1607
283,641,288,21.2,1608
1206,2360,2577,40.9,1609
1976,5186,1329,14.5,1610
63,571,397,29.4,1611
78,364,787,52.5,1612
408,4309,8097,59.8,1701
2140,7034,5831,37.5,1702
0,14,99,83.0,1718
33,314,1168,73.3,1719
125,1041,4835,77.1,1720
313,2278,3730,57.4,1721
186,983,2728,67.8,1730
1,59,212,52.5,1731
20,528,1228,68.5,1740
34,188,1346,84.4,1741
552,1600,4150,70.2,1742
0,91,55,37.2,1745
143,1453,3476,59.8,1746
164,1016,1255,40.2,1747
72,1293,3999,66.8,1748
524,3674,3615,39.8,1749
1268,7767,6306,38.1,1752
184,1860,1988,51.4,1754
70,781,1107,47.3,1756
756,5337,4835,36.1,1757
507,3277,8278,67.6,1760
14,244,992,80.6,1770
103,703,2461,71.2,1772
9,135,1063,83.3,1773
1,658,1639,67.7,1775
56,986,4590,78.6,1776
110,604,3338,82.2,1778
1012,8723,7187,40.9,1801
479,4153,5026,48.7,1803
305,2101,7770,73.3,1810
964,7248,5161,33.7,1821
420,3902,5406,52.4,1824
1239,7512,3929,28.4,1826
51,440,679,55.5,1827
1293,5444,3143,26.0,1830
1300,4826,2850,26.9,1832
123,1276,1566,46.5,1833
104,1078,1069,38.6,1834
284,2355,1868,33.3,1835
415,931,297,12.1,1840
3817,10170,1860,8.9,1841
1688,5004,1600,15.2,1843
1803,9823,6347,29.9,1844
410,3438,6567,59.6,1845
1009,4166,910,15.3,1850
1911,6259,2612,22.3,1851
1890,7277,3765,26.6,1852
1847,5909,1909,20.3,1854
129,1071,1242,46.3,1860
519,2514,1549,30.4,1862
264,1712,1730,46.3,1863
253,2590,3669,50.9,1864
349,2884,5637,60.5,1867
872,6786,5095,33.3,1876
266,2191,2557,43.5,1879
700,4549,5883,49.7,1880
168,1802,5266,67.6,1886
413,4963,3468,38.2,1887
192,1632,4619,74.3,1890
82,295,83,18.2,1901
2528,8994,3526,17.6,1902
597,3973,2369,29.3,1904
1362,5811,1989,16.0,1905
1059,7501,3492,25.9,1906
301,1725,2973,54.6,1907
24,592,730,51.6,1908
561,2916,3111,41.7,1913
871,6449,8176,47.5,1915
109,797,2046,62.5,1921
18,152,827,60.3,1922
751,4827,5123,41.0,1923
27,588,785,53.7,1929
1401,6186,5286,37.7,1930
12,50,15,10.8,1937
254,2072,2732,50.3,1938
174,1957,2531,49.7,1940
111,660,1267,59.6,1944
270,1429,5320,68.6,1945
374,1899,1399,36.1,1949
333,1946,4771,61.4,1950
106,390,1031,59.3,1951
362,1947,1282,28.3,1952
1933,12723,7533,29.9,1960
79,1419,1504,48.1,1966
156,1168,1137,41.9,1969
1453,7532,7268,38.9,1970
63,562,1918,67.8,1982
90,890,1243,56.3,1983
7,391,986,67.2,1984
30,485,1045,57.4,1985
380,4028,2159,28.8,2019
303,2746,5077,54.7,2021
118,720,2378,70.5,2025
684,4483,4995,47.5,2026
39,174,1383,84.5,2030
88,628,794,50.9,2032
455,2575,3752,46.1,2035
607,3914,7036,54.4,2038
300,2230,5948,67.9,2043
178,2201,2260,44.0,2045
0,0,0,0.0,2047
285,2906,4941,53.7,2048
676,3616,5346,44.3,2050
112,713,2934,73.4,2052
303,1505,2981,55.6,2053
122,1364,1894,49.9,2054
480,1533,2478,51.2,2056
147,1319,2651,59.9,2061
661,5350,6226,45.6,2062
235,1973,4602,56.8,2066
