civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
4700,1358,17526,62.2,29.0,3558,13046,861,71.7,601
11246,936,20260,47.4,20.7,10488,26817,1833,56.8,602
13482,2594,17703,48.7,20.6,14846,33073,2870,60.4,603
1366,83,19603,54.0,22.8,1648,4317,97,49.9,606
8751,791,22796,45.6,23.3,9217,16285,1614,56.1,610
446,119,22525,44.6,45.5,233,1016,104,36.4,611
18386,4034,22305,43.3,25.3,20656,41203,3938,54.9,612
3133,592,23652,43.7,26.2,2853,6176,851,49.2,616
6924,1295,20328,46.2,26.4,7354,14686,1315,56.2,617
2328,411,22818,46.5,30.5,2593,5357,391,52.9,622
13074,2220,23132,41.3,24.6,14532,25706,2090,44.0,623
6156,807,20101,51.6,27.3,5734,15915,864,60.5,624
10870,617,23263,41.7,28.6,9152,22930,1745,48.8,627
353,76,15658,59.6,38.3,120,1242,58,63.4,631
302,0,-,75.7,22.6,215,842,0,84.3,636
6460,773,20568,45.5,24.2,8137,14726,1020,52.8,637
4262,933,19796,55.1,34.1,3626,14005,787,66.2,638
5732,2307,17673,53.6,32.1,5679,17834,1480,59.8,641
12343,2051,31330,30.9,34.8,17423,18013,2263,35.9,646
855,398,17143,67.5,22.3,1433,3464,220,71.6,647
3824,1454,20363,49.7,25.9,3205,10268,620,59.6,650
1458,170,26148,38.2,23.7,1190,2537,301,65.7,652
2129,962,13777,65.7,17.5,1715,7238,309,79.8,653
4738,1150,21456,52.0,24.7,5440,12849,728,64.2,656
12892,853,23899,40.0,25.8,12630,23113,2607,47.6,659
4995,991,22556,41.4,24.9,6404,9853,518,51.9,660
11791,897,20283,48.5,25.0,12872,26348,2457,48.3,662
3610,880,17966,55.3,23.1,3625,11015,816,66.6,664
6739,1668,16889,56.1,23.4,7115,16643,1163,69.3,667
8218,1054,18838,56.0,31.1,6434,19823,2031,65.3,669
2266,200,16644,52.4,27.8,2755,6371,201,69.1,670
11063,2390,20088,45.9,25.9,12532,24346,4260,55.6,674
11007,2988,20160,47.0,29.2,11239,25168,1581,51.4,676
5252,342,26404,41.3,23.0,5699,10002,687,52.5,677
7973,492,19558,46.0,27.2,6090,18652,1169,52.9,678
11297,3332,16535,53.2,22.6,13941,30332,1666,72.2,680
8127,2716,17385,54.1,20.0,11081,20067,1298,64.7,682
7333,543,18132,48.7,27.4,10440,20366,1587,62.9,683
11015,1968,17481,52.4,25.9,11092,29030,2118,63.4,685
9007,1698,22282,47.5,33.0,8578,18646,1954,52.3,687
3193,688,17273,54.5,28.7,3080,7133,991,64.3,688
1718,177,23343,47.8,18.4,2092,3665,225,49.3,690
10837,2875,25289,41.4,32.8,12400,20321,1588,49.3,692
17431,3485,23791,43.4,29.8,18191,34094,5159,54.5,693
14,0,-,27.6,N,14,84,0,-,694
9584,1540,19818,44.2,20.1,11877,21798,1712,51.0,698
8484,524,23045,43.8,30.4,9262,16527,1134,63.4,703
2224,96,19845,52.0,28.9,2037,4211,800,61.4,704
7803,540,22679,42.4,24.1,7346,17109,850,57.9,705
2387,743,21765,50.1,28.5,1999,8246,710,65.1,707
3877,487,18496,57.7,28.2,3775,11994,687,65.7,714
402,0,16250,67.0,20.0,213,1636,283,77.4,715
7325,1012,20184,48.8,22.7,9148,18714,1143,66.5,716
3957,804,14164,52.5,20.3,4150,11002,829,71.8,717
6744,756,20414,48.0,32.2,5818,17359,1626,65.5,718
8128,1747,20533,48.9,40.4,10138,20868,1790,69.8,719
5238,1256,16751,55.6,36.4,4663,15955,935,63.1,720
4302,646,20967,48.3,32.0,4537,11125,832,60.2,723
27386,3730,25786,40.8,30.3,30310,47349,4744,55.3,725
21643,1385,33678,30.8,33.0,28344,25777,3036,37.4,727
10927,1032,21239,49.8,24.8,11201,24949,1816,64.5,728
17647,3417,26978,35.3,34.2,18455,26702,4967,47.1,729
8743,1842,17517,52.7,24.8,10283,22123,1512,64.5,730
2613,243,16944,56.2,26.7,3110,6993,715,61.7,731
3670,464,23125,41.6,26.2,3935,7840,612,57.4,735
15510,1055,27158,38.4,26.7,25161,25626,2490,45.2,736
9942,2933,24643,41.5,27.1,10863,19344,2090,58.5,738
10987,741,24887,40.0,29.7,17928,20085,2073,43.4,739
684,155,18784,58.4,23.4,363,1598,141,72.0,740
1100,128,23821,49.9,23.8,1213,2557,303,68.4,741
17599,3727,26189,36.0,38.3,18907,26408,3646,43.0,745
5806,406,20241,49.8,24.8,5368,13792,1276,62.7,751
11422,1062,19528,45.7,30.7,11975,23180,2449,48.3,754
7216,682,22764,46.4,25.3,6577,12627,1363,54.2,757
2075,314,17062,54.1,14.1,1853,5848,906,71.2,765
6700,1084,22511,42.7,29.1,6587,15829,586,48.7,766
8908,1086,20126,49.2,27.4,7843,22163,1625,59.8,767
10840,869,20236,50.3,25.3,9957,24261,1257,56.9,769
10793,1250,23343,39.2,32.1,12410,21841,2148,44.1,771
4788,1896,17209,52.2,33.5,4046,12874,1181,62.6,772
