HI_0-5k,HI_5-10k,HI_10-15k,HI_15-20k,HI_20-25k,HI_25-35k,HI_35-50k,HI_50-75k,HI_75-100k,HI_100-150k,HI_150k_plus,zip
1920,1393,1698,1659,1413,1496,1574,1433,613,114,117,728
2159,1373,2115,2022,1410,1862,2428,1647,716,527,349,729
2353,1705,1552,1132,767,1526,1252,714,363,233,151,730
811,654,610,359,242,481,513,366,103,72,54,731
491,561,499,711,329,642,611,232,79,134,37,735
2119,1979,1800,1873,1732,2162,2101,1862,855,550,288,736
1715,1294,1283,1403,1056,1534,1682,904,527,168,106,738
1639,1303,1405,1467,1049,1490,1633,1043,395,338,108,739
213,176,38,96,26,103,72,16,0,0,0,740
112,188,273,48,78,196,241,162,10,28,0,741
1740,1837,1504,1714,1443,2239,2231,1915,645,332,182,745
1249,1174,973,803,602,1191,845,592,206,83,33,751
1780,1583,1984,1604,1221,1739,1469,1475,382,271,72,754
899,760,1330,695,642,879,1104,663,225,130,41,757
295,399,640,199,137,368,215,78,11,34,0,765
1029,1035,1200,939,577,1178,975,701,170,188,108,766
1931,1537,1871,1345,705,1733,1141,973,294,104,53,767
2069,1800,1879,1141,969,1850,1362,1316,440,195,109,769
1591,1327,1454,1299,806,1815,1442,1118,413,467,172,771
1511,913,897,692,446,918,680,368,108,100,0,772
684,953,544,892,658,1114,887,471,284,121,52,773
22,45,88,43,54,88,76,42,14,16,14,775
2076,1738,1256,1401,1146,1454,1833,1483,674,217,35,777
1294,1361,1213,1010,921,1424,2357,2107,1130,1044,784,778
575,665,340,264,545,585,513,237,89,89,128,780
1124,662,806,488,403,626,427,268,66,36,0,782
2212,1388,1243,1259,596,1147,1459,891,342,42,45,783
2140,2112,2040,1425,1312,1517,1559,1108,392,226,71,784
0,0,0,0,0,0,53,28,0,0,0,786
1961,1676,2061,2003,1622,2717,1800,1303,610,289,438,791
1263,1100,1163,1071,638,1437,1223,617,120,186,45,794
2132,1793,1914,1398,1259,2143,2083,1384,402,331,94,795
491,259,234,323,177,214,292,335,148,244,330,901
0,9,0,0,16,0,0,0,16,16,45,906
726,541,606,515,375,1171,900,1216,734,769,951,907
450,195,312,169,193,196,246,291,192,57,52,909
258,356,595,197,144,441,434,469,216,317,330,911
233,304,274,262,224,382,441,268,73,135,138,912
1392,436,368,271,105,118,46,164,64,98,124,913
2792,1722,1325,1387,753,1171,911,411,108,85,107,915
1827,1040,1130,962,565,815,784,595,313,250,110,917
1340,689,606,501,450,624,917,1166,693,561,338,918
728,661,544,687,664,1040,925,980,392,222,104,920
2838,1417,1338,1472,965,1502,1699,1562,472,202,189,921
2643,1125,1160,900,913,1166,1166,633,280,181,92,923
4486,2162,1787,1593,1398,2168,2366,1835,830,620,295,924
1000,647,300,377,213,308,245,174,30,79,39,925
3473,2692,3082,2369,1943,4350,4501,5262,3054,3013,2549,926
523,389,466,423,437,624,967,819,378,471,546,927
0,0,0,0,18,0,0,0,0,11,0,934
0,0,0,0,0,0,0,0,0,0,0,936
2775,2318,2440,2367,2108,3538,3836,3576,1808,1056,222,949
0,0,0,0,0,0,0,0,0,0,0,950
0,0,0,0,0,0,0,0,0,0,0,951
552,380,351,469,274,253,327,128,83,15,0,952
2516,1940,1597,2089,1974,3228,2814,2702,1309,1374,494,953
3070,2281,2593,2493,2214,3190,3388,3192,1147,573,166,956
2165,1060,1391,1159,1041,2025,2290,2129,769,386,163,957
2087,1283,1390,1489,1526,2306,2325,2909,1475,735,394,959
0,0,0,0,0,0,0,0,0,0,0,960
1391,810,820,1096,684,1270,1519,1906,687,570,326,961
1386,1084,778,626,428,760,934,466,130,88,120,962
525,433,470,348,133,294,300,110,25,56,0,965
379,386,428,456,283,449,730,820,536,675,782,966
79,205,98,101,49,221,161,274,236,170,226,968
922,604,1087,941,573,1549,1949,2290,1390,1451,1850,969
808,927,1047,804,830,1137,1051,1076,551,276,321,971
2000,1667,2089,1846,1644,2416,3383,3237,1588,983,712,976
496,424,541,1067,644,1322,1009,1304,723,669,463,979
739,570,491,599,473,802,1057,698,221,78,81,982
1385,1012,1517,1085,1342,1870,2056,1774,687,274,141,983
1107,1159,1125,1054,1087,1818,1899,1895,580,350,93,985
1699,1388,1774,1592,1517,2629,2922,3442,1760,1196,377,987
259,141,230,164,412,449,721,1389,754,1415,937,1001
561,345,667,866,267,783,952,1100,1080,1359,2202,1002
19,0,0,0,0,0,0,0,4,0,0,1003
36,26,37,32,0,49,238,470,168,459,368,1005
44,102,178,73,60,416,431,837,899,1460,1167,1007
2,0,3,10,11,49,37,92,67,100,82,1008
28,28,0,0,0,0,0,95,63,30,9,1009
42,9,85,98,55,85,203,167,115,289,346,1010
14,6,34,11,14,39,43,117,92,107,34,1011
10,4,0,7,34,16,16,56,52,40,34,1012
385,402,621,807,637,1038,927,1686,1225,1071,447,1013
362,380,647,654,651,1178,1935,2584,1738,2010,970,1020
0,14,71,28,95,153,298,203,85,127,20,1022
0,25,12,33,11,27,44,98,56,91,45,1026
150,72,382,309,264,740,1120,1729,994,1615,805,1027
69,25,204,145,256,311,504,975,718,1147,1408,1028
0,3,11,3,0,25,26,22,63,32,54,1029
121,80,116,91,190,263,493,915,712,649,1167,1030
14,17,10,39,66,47,119,35,29,144,40,1031
0,0,12,0,14,26,34,4,35,70,17,1032
17,35,73,74,102,146,275,245,282,790,545,1033
39,0,15,27,30,22,64,139,123,221,170,1034
0,30,102,87,0,267,159,248,360,407,596,1035
48,0,40,48,17,130,104,376,379,366,517,1036
7,0,0,0,0,0,25,38,36,49,38,1037
0,8,35,28,30,139,93,155,145,253,196,1038
2,0,14,7,23,39,34,117,84,186,93,1039
638,1174,1584,992,814,1568,2062,2365,1406,1482,1379,1040
24,21,11,42,40,47,171,163,159,230,117,1050
53,8,7,14,30,133,47,84,93,38,81,1053
5,9,15,16,30,54,53,106,92,95,252,1054
290,157,210,295,408,508,782,1562,1281,1531,1286,1056
23,111,85,109,85,204,569,556,416,778,667,1057
159,188,246,358,366,579,582,1072,863,755,1514,1060
52,153,85,76,193,580,359,485,636,766,697,1062
0,0,0,0,0,0,0,0,0,0,0,1063
0,0,0,30,0,0,0,0,0,0,0,1066
15,1,13,9,9,28,60,118,118,110,139,1068
70,99,89,204,143,203,482,752,357,531,648,1069
9,2,5,10,25,26,42,48,33,35,49,1070
10,3,8,13,6,35,78,75,185,124,28,1071
4,10,18,3,19,50,59,123,110,127,117,1072
0,9,75,76,65,156,179,330,228,622,596,1073
0,0,0,0,0,21,0,0,73,0,0,1074
144,94,193,286,348,413,837,1233,889,1259,1297,1075
57,93,62,112,92,308,476,575,417,871,806,1077
0,0,0,39,40,81,0,33,0,29,10,1079
21,26,8,22,30,42,93,141,196,193,71,1080
8,5,6,22,47,67,80,158,110,150,112,1081
125,183,209,170,349,272,661,903,517,794,263,1082
45,57,56,0,62,66,161,44,237,191,131,1083
3,0,0,4,4,4,9,12,17,11,7,1084
285,122,652,492,467,1156,1661,2897,2276,2980,2426,1085
0,0,0,0,0,0,0,0,0,0,0,1086
33,11,15,0,7,16,88,59,44,1,33,1088
326,441,445,447,711,1256,2022,2208,1166,1815,1565,1089
22,0,22,0,36,0,25,203,49,58,84,1092
0,0,0,0,3,0,2,26,34,26,38,1093
0,0,14,24,38,23,24,16,22,5,18,1094
68,127,156,128,207,312,357,454,462,1200,1825,1095
0,33,36,20,53,56,92,169,124,257,168,1096
0,0,0,7,0,0,0,25,0,0,0,1097
10,4,17,11,22,48,37,99,108,142,75,1098
81,200,355,119,9,118,193,157,54,61,38,1103
178,610,978,589,578,1128,1214,1507,687,1051,502,1104
431,713,677,457,642,696,486,411,272,260,90,1105
58,62,93,77,242,208,310,571,707,1255,2311,1106
229,513,603,357,125,374,419,499,325,366,233,1107
374,653,748,709,438,1406,1350,1463,1429,833,628,1108
313,750,1041,833,488,1185,1278,1194,991,748,399,1109
215,163,212,222,141,339,570,1128,678,1167,778,1118
113,171,302,273,211,751,749,938,519,657,283,1119
81,0,38,36,22,95,82,207,164,245,115,1128
159,25,118,31,136,155,449,413,419,362,274,1129
113,179,182,160,202,486,724,644,344,481,74,1151
0,0,0,0,0,0,0,0,0,0,0,1199
400,603,1070,1317,915,2365,2061,3504,2911,2454,2145,1201
26,232,231,289,327,369,610,735,332,507,341,1220
0,9,8,8,0,28,48,74,100,19,7,1222
9,136,30,38,58,77,86,212,149,224,136,1223
0,0,0,11,0,0,27,0,12,0,23,1224
34,28,72,11,62,173,112,305,159,442,136,1225
69,0,80,106,158,170,403,618,452,508,563,1226
0,0,7,0,0,0,8,0,6,0,7,1229
216,25,61,200,125,303,479,514,418,665,494,1230
12,39,25,28,26,64,146,255,164,204,74,1235
17,0,0,44,21,54,46,153,45,66,116,1236
37,60,7,6,37,71,174,135,245,200,106,1237
17,20,31,203,128,126,203,409,263,617,312,1238
49,21,66,73,62,152,370,285,270,298,459,1240
0,0,0,0,0,0,57,17,0,41,13,1242
0,2,0,11,13,22,10,25,2,28,20,1243
8,0,0,0,0,0,18,24,0,0,3,1244
0,17,0,16,9,25,29,25,60,43,158,1245
232,162,449,419,291,718,860,1258,800,829,503,1247
0,4,16,6,13,28,48,49,93,69,82,1253
11,17,2,10,12,22,43,54,50,94,112,1254
1,5,19,4,8,12,51,50,51,49,66,1255
20,0,6,0,20,65,53,48,28,50,26,1256
39,28,29,42,32,70,82,196,62,193,171,1257
2,5,4,2,4,27,34,30,21,22,60,1258
3,4,13,3,5,13,58,40,29,70,49,1259
9,0,8,0,0,9,10,0,7,23,21,1260
24,0,0,38,27,127,33,78,26,11,86,1262
8,0,8,0,6,3,3,18,11,12,13,1264
19,18,20,3,19,34,47,87,103,75,125,1266
49,53,87,22,135,141,145,382,276,526,595,1267
0,6,12,11,9,15,47,53,62,62,91,1270
230,240,473,823,501,783,1328,1525,878,933,534,1301
29,0,66,19,3,40,87,154,128,106,120,1330
88,116,307,295,305,410,623,1005,702,869,549,1331
14,6,31,41,43,140,121,152,192,140,150,1337
0,0,0,0,0,0,0,32,15,3,0,1338
11,12,14,17,30,50,124,103,77,75,88,1339
9,15,15,0,68,61,100,178,101,119,74,1340
5,10,3,14,3,30,82,161,115,162,191,1341
0,23,21,37,0,10,13,62,35,118,89,1342
0,0,3,2,0,0,0,13,13,2,0,1343
3,6,36,45,23,61,70,57,98,112,39,1344
3,2,6,13,4,10,17,33,68,68,24,1346
0,22,0,0,0,9,0,22,0,23,0,1347
16,0,13,15,34,6,52,94,158,40,33,1349
2,0,5,3,4,11,5,1,0,13,4,1350
0,0,31,19,40,45,143,123,185,378,93,1351
0,16,34,6,13,51,95,117,71,122,66,1354
3,5,15,30,3,23,48,107,50,62,66,1355
9,75,30,10,33,75,216,182,130,289,229,1360
22,80,223,252,57,343,444,488,449,435,243,1364
3,8,3,17,35,41,37,108,43,100,77,1366
1,4,5,14,4,27,18,39,45,28,20,1367
19,0,21,13,24,18,49,79,77,160,79,1368
115,38,67,84,64,122,235,349,229,281,170,1370
4,3,66,63,108,83,145,479,478,382,375,1373
72,75,11,62,33,284,217,311,200,193,148,1375
38,89,182,252,111,328,226,485,169,310,95,1376
7,8,9,9,8,28,43,67,39,55,42,1378
23,23,23,15,17,14,41,65,64,54,40,1379
439,527,761,706,615,2007,1910,3232,1773,2089,1496,1420
0,0,24,0,33,134,163,214,400,427,708,1430
0,6,24,22,3,83,94,166,235,374,254,1431
121,46,46,8,82,191,217,541,508,686,978,1432
19,0,0,0,0,0,0,63,63,97,44,1434
0,0,16,31,72,117,265,115,103,306,182,1436
0,0,0,0,0,22,0,47,24,92,26,1438
282,311,407,393,540,890,1327,1447,1232,973,733,1440
100,17,33,125,96,169,248,373,277,553,1953,1450
0,0,0,26,16,29,68,176,53,197,921,1451
0,0,88,31,18,67,171,276,224,434,452,1452
466,307,754,803,631,1335,2453,2994,2099,2648,2529,1453
35,0,45,34,99,43,338,429,344,720,1414,1460
77,66,131,133,141,187,166,567,725,964,1185,1462
187,49,128,63,106,208,263,452,625,1222,1268,1463
18,36,27,218,109,138,242,346,289,600,555,1464
0,0,22,0,0,27,0,0,21,7,70,1467
17,0,33,11,57,92,187,308,275,248,363,1468
69,47,76,55,53,68,259,446,428,702,710,1469
0,0,71,28,109,198,226,522,450,714,749,1473
11,0,9,0,30,70,57,75,90,132,184,1474
13,51,258,117,94,353,384,618,390,1227,437,1475
110,40,235,247,170,493,691,931,951,1364,1386,1501
16,79,16,11,34,82,77,178,130,273,395,1503
39,45,78,139,223,302,280,498,484,800,879,1504
21,8,14,24,0,120,168,258,230,371,604,1505
0,9,31,103,85,136,127,224,146,211,296,1506
73,100,23,52,53,259,339,744,542,1506,1170,1507
32,70,190,229,78,452,733,1128,943,1139,870,1510
10,15,24,4,31,65,79,191,173,143,108,1515
19,55,59,36,99,76,168,603,264,811,984,1516
40,41,20,0,85,256,23,266,38,322,285,1518
11,26,116,6,84,66,181,435,194,465,1021,1519
63,23,136,58,119,373,438,428,862,1262,2131,1520
66,4,6,18,46,35,101,233,171,198,163,1521
14,0,30,32,80,22,92,170,101,379,263,1522
37,67,27,30,32,137,175,520,294,657,657,1523
39,34,67,81,70,81,288,351,414,516,422,1524
0,0,30,0,0,0,30,38,25,0,0,1525
70,70,183,237,74,297,366,812,675,1191,1172,1527
17,13,58,61,43,53,196,135,230,281,218,1529
11,3,8,8,7,27,22,97,74,110,82,1531
39,92,109,64,149,157,225,510,570,960,2569,1532
50,0,78,61,65,152,178,249,331,557,626,1534
11,15,32,92,83,117,101,524,296,380,223,1535
90,133,103,35,136,91,174,313,282,795,607,1536
0,0,0,36,48,80,96,188,277,118,111,1537
14,32,274,131,109,281,336,599,440,898,960,1540
9,18,36,39,9,13,72,132,74,308,557,1541
0,11,22,15,12,92,177,79,97,305,158,1542
0,18,51,18,0,154,261,328,346,746,957,1543
182,90,177,206,309,759,1027,1530,1838,2935,4700,1545
239,368,365,333,392,809,771,1081,701,1145,556,1550
17,25,10,85,16,121,186,331,204,286,535,1560
0,0,0,0,0,0,0,0,0,31,0,1561
120,54,464,144,234,278,433,1035,639,1090,623,1562
13,0,29,14,103,234,191,467,268,706,1118,1564
22,1,88,19,29,118,216,306,346,558,647,1566
18,12,38,13,41,143,203,394,205,530,1156,1568
102,101,73,71,136,208,341,702,651,1465,1510,1569
201,168,269,337,351,854,839,1172,818,1278,700,1570
146,52,122,270,165,446,255,726,380,891,650,1571
140,42,103,132,177,294,561,835,763,1141,2762,1581
42,24,144,47,86,100,272,343,394,445,717,1583
12,41,82,179,98,182,220,188,223,482,216,1585
126,15,53,77,293,321,343,551,543,672,951,1588
47,31,74,92,31,169,188,420,414,601,1271,1590
463,182,419,351,488,723,1227,1264,1381,1685,1637,1602
467,294,537,315,396,797,812,1158,728,859,556,1603
621,544,862,418,774,1311,2101,2952,1781,2746,1316,1604
603,805,753,796,542,1084,1546,1575,1194,1196,608,1605
202,175,426,312,315,610,847,1372,1085,1654,1330,1606
159,135,452,174,142,359,368,682,465,594,221,1607
159,227,94,111,110,347,338,186,147,65,97,1608
462,344,764,654,411,555,966,959,655,908,1138,1609
592,585,836,726,412,902,999,1223,613,568,259,1610
0,16,0,9,26,20,61,132,110,217,160,1611
0,0,26,33,48,31,106,119,242,411,605,1612
227,223,357,212,131,557,1037,1644,1436,2722,4957,1701
446,409,445,850,442,1166,1675,2687,2150,2114,2542,1702
6,0,0,0,0,0,0,0,97,12,94,1718
57,12,62,75,29,99,232,205,178,367,943,1719
46,82,343,194,87,326,542,902,631,1357,4017,1720
156,75,169,231,131,82,292,987,880,1367,2754,1721
77,32,31,48,121,115,243,625,668,902,2424,1730
0,0,0,0,0,63,32,94,58,127,157,1731
0,9,19,10,17,29,79,142,210,271,991,1740
43,0,9,31,64,121,66,80,59,195,1107,1741
61,31,76,42,180,187,268,757,357,944,3561,1742
0,0,0,7,0,10,9,23,22,116,59,1745
63,22,92,99,77,131,364,461,469,1140,2534,1746
11,18,55,133,54,94,123,151,224,571,639,1747
45,90,123,84,0,123,246,525,499,1007,3726,1748
96,50,136,289,176,478,762,1165,890,1556,2215,1749
201,175,528,539,606,943,1845,2703,1792,3579,3133,1752
92,83,69,97,169,236,377,326,441,941,1454,1754
0,62,25,13,13,56,82,355,308,250,895,1756
110,222,325,390,354,743,1086,1481,1908,2244,2201,1757
135,110,377,377,616,616,861,1622,1514,2755,5847,1760
35,0,22,25,25,48,33,75,62,235,918,1770
84,28,118,3,81,86,137,205,287,453,1807,1772
14,101,15,35,117,90,59,167,122,274,1061,1773
14,0,17,85,43,119,67,215,240,608,1161,1775
44,26,39,101,75,142,206,428,449,605,4186,1776
36,46,106,81,56,63,119,347,327,725,2855,1778
245,297,400,290,473,813,1278,2349,2297,3477,3982,1801
125,235,190,246,86,625,775,1091,1050,2156,4046,1803
212,103,237,174,175,469,622,1346,1000,1973,6615,1810
108,87,248,300,220,387,900,1335,1481,3176,3637,1821
90,114,279,185,107,523,517,784,1297,1960,3739,1824
104,150,300,330,178,1070,1018,1714,1398,3055,2379,1826
11,17,0,2,16,24,51,86,153,203,592,1827
265,332,579,354,427,696,1209,1725,1243,1914,1423,1830
196,232,486,401,478,768,1091,1445,1302,1504,1396,1832
45,0,92,55,48,157,216,400,448,640,1221,1833
52,33,71,62,88,40,152,250,285,670,757,1834
95,39,70,97,54,321,834,713,919,1195,809,1835
159,269,335,147,253,298,312,233,130,130,64,1840
591,871,1534,706,745,1441,2667,2885,1837,1260,847,1841
272,338,867,267,280,917,1272,1353,1279,1037,956,1843
357,361,691,564,645,1050,1639,2609,2459,3589,3646,1844
126,252,302,232,312,618,479,1323,1141,2082,4359,1845
336,192,169,281,309,443,722,867,783,870,395,1850
235,187,652,291,576,849,1307,1596,1902,1575,1642,1851
577,482,1023,748,633,835,1418,2137,1966,2475,1726,1852
490,608,965,584,441,722,857,1559,1375,1398,1062,1854
13,0,57,86,68,213,422,344,442,500,655,1860
58,63,18,50,98,158,255,561,525,1016,935,1862
13,112,74,51,126,216,107,604,332,1080,961,1863
126,0,47,104,40,147,446,665,798,1180,2271,1864
39,52,226,264,339,276,674,1065,940,1495,4004,1867
85,148,229,363,220,540,831,1572,1500,3051,3269,1876
109,0,81,229,121,186,225,385,507,846,1492,1879
170,132,212,207,218,467,766,1543,1189,2150,3425,1880
78,114,98,114,279,309,247,739,632,1678,4256,1886
32,168,132,46,171,83,519,757,910,1825,3239,1887
104,61,75,275,134,337,278,540,478,1205,4578,1890
148,84,168,31,81,79,154,119,77,130,8,1901
882,1000,1501,814,858,1431,1994,2956,2544,2141,1473,1902
199,41,143,172,198,444,540,885,728,1336,1529,1904
391,311,573,381,248,638,1046,1298,1337,1149,966,1905
226,128,450,493,141,536,966,1312,1565,2304,2086,1906
108,131,94,235,484,263,272,743,737,1008,2082,1907
17,22,122,16,75,48,164,179,341,276,463,1908
163,180,257,327,220,340,743,1219,943,1389,1623,1913
199,442,1104,905,668,841,1147,2041,2244,2479,4498,1915
19,0,0,0,18,151,55,226,274,338,1772,1921
25,37,24,24,25,35,12,149,69,116,647,1922
304,135,321,157,154,773,1025,1094,1394,2416,2879,1923
0,0,45,29,59,129,155,131,75,238,510,1929
315,128,704,599,605,951,1524,1814,1826,2557,2387,1930
0,0,0,0,0,0,0,0,0,0,0,1937
121,230,146,130,197,239,467,629,594,1030,1870,1938
140,37,65,143,78,276,238,582,339,780,2190,1940
12,14,18,72,27,62,111,207,80,315,1210,1944
117,118,84,144,189,343,514,1023,653,1338,3603,1945
17,11,32,15,123,48,106,218,419,621,1452,1949
53,96,193,321,194,468,342,850,800,1242,2860,1950
0,14,12,28,25,49,68,162,209,379,531,1951
113,96,99,115,120,302,222,735,514,866,732,1952
692,485,582,873,550,1570,1967,3550,3179,4314,4182,1960
94,67,100,87,66,231,301,516,551,629,760,1966
0,43,18,50,18,37,163,318,349,433,840,1969
723,373,1352,1027,804,1618,1523,3049,2279,3283,2994,1970
123,67,77,32,45,147,171,316,240,405,1097,1982
0,14,61,81,18,39,183,185,105,445,1028,1983
37,32,23,17,23,71,104,111,101,222,620,1984
0,11,12,20,8,59,93,171,191,289,866,1985
142,60,129,123,273,303,550,692,860,1812,1604,2019
125,72,367,120,346,274,650,1315,1024,1731,3214,2021
30,157,95,111,69,136,131,251,233,461,1557,2025
144,223,243,364,407,294,862,1352,1234,1951,3417,2026
0,11,0,21,10,59,34,87,112,196,1483,2030
0,0,14,0,0,50,12,142,179,257,758,2032
108,165,171,198,250,533,403,850,1192,1301,1910,2035
192,95,321,374,204,550,713,1462,1424,2246,4833,2038
238,99,264,168,371,470,509,791,386,1327,4498,2043
113,61,49,130,154,224,276,563,554,997,1352,2045
0,0,0,0,0,16,0,0,23,15,18,2047
149,103,54,55,247,311,626,1241,1101,1631,3407,2048
311,109,211,215,159,548,937,985,1146,2167,3204,2050
56,74,19,109,120,87,107,306,237,671,2576,2052
46,116,70,84,124,103,245,427,425,890,2182,2053
36,14,0,59,61,155,207,358,316,818,1086,2054
0,10,23,30,4,108,129,325,275,548,1664,2056
26,7,70,63,58,100,127,328,221,561,1958,2061
310,150,470,277,334,638,1084,1767,1700,2414,3013,2062
121,20,151,286,73,212,421,759,799,1537,3082,2066
53,41,80,22,41,243,391,600,568,1306,3091,2067
0,0,0,0,0,16,0,17,16,140,61,2071
147,138,354,206,332,619,1316,1478,1564,2301,2597,2072
49,67,204,133,95,294,649,640,626,1472,2839,2081
96,65,51,60,76,220,294,374,331,937,2870,2090
45,59,93,56,135,125,208,555,295,845,1874,2093
40,36,30,0,0,67,94,200,174,340,1065,2108
25,27,26,38,3,55,50,291,158,195,1024,2109
78,39,41,0,15,68,55,144,104,212,569,2110
439,117,345,250,139,258,249,299,199,227,1104,2111
111,4,106,114,31,133,256,854,621,984,1072,2113
332,124,315,157,175,155,389,917,877,1172,2622,2114
983,606,971,454,436,548,1165,1128,591,989,1405,2115
597,451,631,348,179,416,840,880,966,1610,5096,2116
734,1036,1248,779,725,543,1096,1322,798,1200,4191,2118
1080,1399,1281,564,863,833,1624,1333,842,1106,813,2119
448,328,437,201,249,373,562,857,539,546,433,2120
577,970,972,565,855,1360,839,1444,819,1205,1134,2121
141,211,691,560,356,543,714,1201,1269,1404,1566,2122
927,1007,1303,1095,819,1701,1822,2351,2311,3109,3110,2124
718,713,1097,810,587,799,1217,1510,1291,1938,2383,2125
336,579,584,391,526,986,1233,1366,1469,1409,1089,2126
623,579,813,450,629,573,918,1171,1520,2867,6966,2127
622,630,875,691,644,1024,2035,3230,2084,2427,2861,2128
260,234,494,328,319,383,395,660,717,1566,4034,2129
502,566,660,554,356,559,1090,1981,2278,3578,5556,2130
302,159,690,344,468,735,1133,1809,1564,2305,3116,2131
259,99,473,364,245,531,675,1360,850,2502,4096,2132
583,255,223,233,472,497,1010,1222,1165,1356,1292,2134
706,865,942,572,638,891,1364,2830,2490,5048,3393,2135
376,473,597,488,361,714,1194,1689,1995,2173,2182,2136
697,245,309,317,253,636,1203,1662,1479,2557,4954,2138
330,477,578,382,328,640,1030,1604,1778,2813,5264,2139
293,228,453,92,177,475,640,777,988,1541,3720,2140
362,196,299,227,229,285,445,877,745,1416,1765,2141
114,11,39,0,13,24,113,259,153,292,925,2142
166,308,392,325,168,396,676,1328,1640,2132,3832,2143
131,413,348,276,357,361,646,956,1126,2455,3870,2144
206,167,737,314,225,649,736,1610,1639,2523,2684,2145
932,800,1138,798,734,2075,2178,3243,2781,4579,4109,2148
461,419,791,830,608,1309,1559,2515,2444,2933,2238,2149
662,675,674,478,461,1395,1229,2407,1705,1933,1539,2150
781,633,1198,829,706,1274,2155,2520,2449,3470,2556,2151
164,97,433,482,175,481,693,1337,1080,1294,1825,2152
464,420,877,473,726,1090,1951,3070,2684,4899,7165,2155
101,5,18,36,19,19,20,79,61,68,47,2163
903,447,1153,1156,881,1810,2388,3895,3895,4618,4578,2169
176,97,433,340,163,334,692,1082,1305,1391,1620,2170
259,93,338,138,343,316,485,1501,974,1768,1750,2171
286,70,289,345,382,682,735,1209,1046,1841,4353,2176
201,134,363,290,101,471,879,1145,1241,1727,3277,2180
224,141,359,436,415,510,1075,1679,1866,2577,4469,2184
153,107,129,217,189,342,717,616,675,1434,4077,2186
85,162,198,179,329,402,665,945,736,1959,1352,2188
161,87,229,205,433,227,612,1153,844,1236,1052,2189
124,122,156,107,221,291,857,1083,1102,1513,1959,2190
47,74,43,85,165,161,281,585,697,721,747,2191
