HI_0-5k,HI_5-10k,HI_10-15k,HI_15-20k,HI_20-25k,HI_25-35k,HI_35-50k,HI_50-75k,HI_75-100k,HI_100-150k,HI_150k_plus,zip
1032,945,913,710,454,698,457,278,19,29,20,601
1670,2028,2124,1454,1054,1581,1303,904,428,238,117,602
4172,2812,2397,1846,1223,1924,2126,1519,750,483,179,603
351,386,255,228,193,301,165,84,20,0,0,606
855,1261,1242,1042,855,1359,1034,759,203,172,82,610
4333,2787,2702,2106,2142,3120,2827,2080,714,349,167,612
619,398,370,438,255,368,514,340,126,35,15,616
1165,1368,1012,987,641,775,990,809,224,105,21,617
276,494,319,275,94,380,200,189,16,39,0,622
2325,1914,1836,1486,1230,1641,1237,1315,603,241,101,623
920,1139,1068,995,491,1015,878,534,124,101,47,624
1617,1387,1539,1423,1032,1530,1179,1068,285,223,66,627
109,146,128,26,35,67,39,42,16,0,0,631
648,1173,1133,736,611,1186,647,529,192,160,17,637
1015,649,752,809,654,515,886,350,148,51,21,638
2303,1122,1218,1053,737,1357,813,604,141,67,44,641
1407,945,1065,1056,938,1158,1252,1895,859,579,706,646
408,255,404,207,203,270,107,97,28,0,0,647
834,356,674,771,532,689,648,404,100,71,13,650
34,178,241,133,250,187,168,131,60,19,0,652
913,809,433,391,241,294,349,208,6,0,0,653
777,1075,908,778,639,955,752,423,205,0,9,656
1526,1953,2005,1829,904,1666,1412,1488,623,381,127,659
657,785,901,828,710,653,822,582,206,107,40,660
2601,1695,2075,1575,1226,1820,1651,988,447,180,55,662
1080,750,636,442,627,753,343,330,66,37,0,664
1596,1138,1453,800,697,784,885,468,124,73,28,667
1762,1411,1147,1180,1043,1162,1033,665,120,117,61,669
679,348,340,213,139,268,515,182,0,12,0,670
2481,1872,1922,1556,1372,1658,1514,1424,494,514,78,674
2459,1869,2039,1524,934,1725,1074,1121,318,270,190,676
734,862,487,649,240,707,694,712,211,118,53,677
1393,1370,1264,795,1011,1082,1004,760,177,55,0,678
4497,2539,2258,1895,1778,1504,1850,1193,416,308,211,680
3036,1515,1294,986,771,1150,922,745,576,338,307,682
2156,1567,1312,1178,919,1503,1028,728,204,218,64,683
2515,2096,2032,1547,1123,1459,1441,1152,256,99,161,685
977,1085,1149,1284,1270,1339,1183,851,350,132,71,687
691,547,558,477,486,464,403,336,131,10,9,688
327,232,387,307,164,264,128,344,169,21,0,690
1376,1301,1374,1346,1181,1227,1192,1269,495,546,273,692
2866,2233,2545,2184,1617,2542,2384,1801,981,381,99,693
0,0,0,0,16,0,0,0,0,0,0,694
1905,2284,1667,1078,832,1442,1166,765,301,115,38,698
1211,872,1140,1038,816,1185,976,951,177,140,91,703
381,324,388,358,161,359,164,202,115,24,0,704
1094,1020,1053,1164,920,1190,958,886,186,216,63,705
423,493,420,573,430,528,551,399,30,27,0,707
1005,862,1017,551,676,770,615,361,86,102,12,714
179,190,152,178,69,64,90,39,8,0,10,715
2526,1310,1184,1023,1025,1211,1016,763,526,331,265,716
1803,1108,893,533,399,519,678,422,179,127,99,717
989,960,1135,1135,974,1152,824,803,177,0,62,718
1427,1193,850,1016,826,1184,830,831,284,92,82,719
1460,849,929,766,612,850,766,327,119,72,39,720
854,969,882,839,538,759,641,385,209,16,28,723
4320,3234,3595,2687,2445,3939,3744,3368,1433,963,655,725
1706,1703,1617,1394,1691,2394,2718,2919,1658,926,612,727
