total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17800,13670,2814,0.2,99.8,0.0,1.1,0.0,601
39716,31483,6119,3.8,93.5,0.1,35.7,0.1,602
51565,40573,9358,1.3,96.8,0.4,13.3,0.4,603
6320,5038,1072,0.2,99.8,0.0,2.5,0.0,606
27976,22034,4958,1.5,97.9,0.1,13.6,0.0,610
63884,50003,12128,0.3,99.6,0.0,2.3,0.0,612
10321,8617,2252,0.5,99.5,0.0,3.3,0.0,616
24648,18986,4139,0.4,99.4,0.1,1.4,0.0,617
7385,5887,1915,0.9,99.1,0.0,0.1,0.0,622
42711,33741,8268,0.1,99.9,0.0,1.0,0.0,623
23945,18056,3454,0.3,99.7,0.0,2.4,0.0,624
33481,26285,5648,0.7,99.3,0.0,1.0,0.0,627
1689,1398,410,0.5,99.5,0.0,0.0,0.0,631
24013,18722,4715,0.7,99.3,0.0,2.2,0.0,637
17795,13727,2923,0.4,99.6,0.0,2.1,0.0,638
28925,22671,5227,0.4,99.6,0.0,2.3,0.0,641
38292,29031,5700,1.4,98.2,0.1,6.5,0.1,646
5711,4722,1422,0.0,100.0,0.0,1.5,0.0,647
14569,11183,2382,0.4,99.6,0.0,0.9,0.0,650
3893,2899,706,0.4,99.6,0.0,0.3,0.0,652
12125,9148,2170,0.5,99.5,0.0,2.5,0.0,653
19996,15370,3494,0.4,99.5,0.0,2.3,0.1,656
41327,32491,7129,0.2,99.8,0.0,1.1,0.0,659
16678,13466,4058,0.3,99.4,0.2,15.0,0.0,660
41986,33011,7424,0.9,98.5,0.2,2.2,0.0,662
15693,11871,2178,0.2,99.8,0.0,4.2,0.0,664
24492,19576,5253,0.1,99.9,0.0,2.2,0.0,667
27063,21275,4751,0.4,99.5,0.0,1.1,0.0,669
9087,7093,1597,1.0,99.0,0.0,0.3,0.0,670
41545,32285,7611,1.1,98.6,0.3,0.8,0.0,674
38488,29537,5681,0.3,99.1,0.0,5.8,0.0,676
14755,11836,3143,5.8,90.3,0.0,37.9,0.2,677
26490,20742,4380,0.6,99.1,0.3,0.9,0.0,678
50628,41531,10875,0.5,99.3,0.1,9.6,0.0,680
32433,25746,6197,0.7,98.8,0.0,10.4,0.1,682
32058,25530,6872,0.3,99.6,0.1,0.9,0.0,683
40102,31444,8016,0.8,99.1,0.0,1.6,0.0,685
32087,24328,4238,0.1,99.8,0.0,2.1,0.0,687
12797,10504,2218,0.9,99.1,0.0,0.8,0.1,688
5328,4110,1221,1.2,95.0,0.0,23.0,0.0,690
36700,27927,5486,1.2,98.3,0.0,4.5,0.0,692
57428,44739,10011,3.1,96.7,0.1,1.3,0.0,693
66,66,51,0.0,100.0,0.0,0.0,0.0,694
38502,30251,7051,0.3,99.6,0.0,2.3,0.0,698
27797,21612,4618,0.7,99.3,0.0,7.7,0.0,703
8390,6176,1006,0.1,98.5,0.2,1.9,0.2,704
24387,19088,4164,0.2,99.6,0.0,0.8,0.1,705
11506,9059,2162,1.2,98.8,0.0,3.0,0.0,707
18640,14197,3079,0.2,99.8,0.0,1.1,0.0,714
3692,2805,766,0.0,99.1,0.9,24.3,0.0,715
29351,22882,5913,0.7,99.2,0.1,11.7,0.0,716
17958,13817,3381,0.7,98.7,0.2,13.6,0.4,717
26460,19955,4063,0.2,99.6,0.0,1.0,0.0,718
30094,23363,4680,0.1,99.7,0.0,15.7,0.0,719
22148,16836,3048,0.2,99.8,0.0,3.8,0.0,720
18135,14314,3285,0.2,99.7,0.0,0.3,0.0,723
83479,65435,15507,0.8,99.0,0.1,2.4,0.0,725
57079,44666,9036,1.0,99.0,0.0,2.1,0.0,727
41245,32135,6639,0.4,99.5,0.1,4.4,0.0,728
52897,40520,7545,0.1,99.7,0.0,0.5,0.1,729
33899,26333,6732,1.0,99.0,0.0,11.6,0.0,730
14988,11709,2519,0.4,99.6,0.0,11.4,0.0,731
12798,10086,2648,0.9,98.9,0.0,1.4,0.1,735
49841,39498,8691,0.5,99.4,0.0,3.5,0.1,736
32409,25199,6347,0.7,99.0,0.1,2.6,0.1,738
37558,28892,5402,0.3,99.7,0.0,2.4,0.0,739
1503,1123,283,0.0,100.0,0.0,0.0,0.0,740
5042,4034,912,0.0,100.0,0.0,1.9,0.0,741
53395,41642,8957,0.5,99.5,0.0,2.8,0.0,745
22110,16853,3935,0.3,99.2,0.0,1.7,0.4,751
39218,30766,6176,0.1,99.8,0.0,6.6,0.1,754
22732,16963,3221,0.4,99.6,0.0,0.8,0.0,757
8801,6933,1745,3.3,96.3,0.0,1.9,0.0,765
24489,18631,3529,0.0,99.9,0.0,30.7,0.0,766
35734,27893,5935,0.1,99.9,0.0,1.2,0.0,767
39630,30491,5963,0.6,99.4,0.0,0.7,0.0,769
38132,29422,5742,0.1,99.6,0.2,1.4,0.0,771
21096,16113,3060,0.0,99.9,0.0,1.4,0.0,772
19237,14935,3534,1.2,98.4,0.0,1.4,0.1,773
1493,1114,231,5.0,94.1,0.0,3.0,0.0,775
40398,30868,5611,0.6,99.4,0.0,0.5,0.0,777
46990,36079,6373,1.2,98.5,0.3,2.3,0.0,778
11597,8924,1741,1.3,98.7,0.0,18.6,0.0,780
18544,14371,2795,0.2,99.7,0.0,17.0,0.0,782
34702,26596,5277,0.7,99.2,0.0,16.7,0.0,783
41993,32282,6455,0.7,99.2,0.1,1.2,0.0,784
287,287,149,0.0,100.0,0.0,0.0,0.0,786
50515,39686,9108,0.9,98.8,0.1,1.5,0.0,791
29635,22295,3869,0.0,100.0,0.0,18.6,0.0,794
45852,34813,7005,0.0,99.9,0.0,29.0,0.1,795
6541,5683,1297,4.3,94.4,1.1,6.7,0.1,901
76,76,5,0.0,100.0,0.0,0.0,0.0,906
17472,15072,4175,3.4,95.3,0.5,7.1,0.1,907
5563,4361,1006,0.8,99.0,0.0,14.4,0.1,909
7227,6370,1990,7.5,91.3,0.5,6.2,0.4,911
5758,4959,1172,1.1,98.2,0.3,12.8,0.0,912
8333,5428,817,1.1,98.9,0.0,7.5,0.0,913
28173,22144,4420,0.3,99.0,0.4,11.7,0.0,915
19005,15918,4303,0.6,99.1,0.0,2.6,0.2,917
16400,13029,3986,0.9,99.0,0.0,3.7,0.1,918
17576,14503,3879,1.0,98.6,0.4,3.5,0.0,920
36104,28321,5860,0.8,99.0,0.2,2.6,0.0,921
25745,20202,4674,1.2,98.5,0.2,2.4,0.0,923
54062,40517,10061,1.2,98.2,0.2,4.4,0.1,924
6924,6383,713,2.5,95.1,0.5,6.4,1.1,925
101337,80520,19768,0.8,98.8,0.1,8.4,0.3,926
14229,11960,3283,2.3,97.0,0.0,2.2,0.7,927
67,47,15,17.9,0.0,82.1,0.0,0.0,934
893,893,241,0.8,99.2,0.0,13.3,0.0,936
77458,60432,12622,0.4,99.2,0.1,26.2,0.0,949
0,0,0,-,-,-,-,-,950
8,8,0,0.0,100.0,0.0,0.0,0.0,951
9078,7056,1780,0.5,99.5,0.0,44.5,0.0,952
72712,55206,8447,0.3,99.2,0.1,11.4,0.3,953
71602,56227,13968,0.6,99.3,0.0,13.1,0.1,956
42155,32617,8087,0.3,99.5,0.1,23.9,0.0,957
48349,38912,8834,0.9,98.9,0.2,23.6,0.0,959
2429,2367,34,0.5,98.1,0.9,30.5,0.0,960
30655,25479,5894,0.9,98.5,0.2,36.3,0.3,961
20509,15548,3161,0.3,99.2,0.0,7.0,0.3,962
7543,6007,1225,0.4,99.4,0.2,10.4,0.0,965
15981,13142,3325,1.2,98.7,0.1,4.9,0.0,966
3293,2975,1167,1.1,97.9,0.0,1.5,0.7,968
43372,35198,7764,1.6,98.1,0.0,6.8,0.2,969
28550,23247,5191,0.3,99.5,0.0,7.0,0.0,971
61084,47464,10549,0.6,99.3,0.0,9.2,0.0,976
15019,13260,3581,5.1,93.2,0.1,4.9,1.0,979
14874,12046,3389,0.2,99.8,0.0,7.1,0.0,982
38533,30530,7790,0.5,99.2,0.1,8.8,0.0,983
33320,26311,7219,0.4,99.4,0.0,7.5,0.2,985
58705,45446,8792,0.5,99.3,0.1,10.5,0.0,987
17423,14178,3752,86.5,7.5,1.2,1.1,3.5,1001
29970,26282,3229,73.7,6.2,5.3,3.0,11.7,1002
11296,11227,1,73.4,4.7,5.6,2.1,13.6,1003
5228,4082,782,95.8,1.5,2.0,0.2,0.6,1005
14888,11278,2108,91.4,2.0,0.8,2.6,3.0,1007
1194,1013,227,98.7,0.3,0.0,0.4,0.6,1008
237,203,107,100.0,0.0,0.0,0.0,0.0,1009
3718,3040,594,98.4,1.2,0.2,0.0,0.2,1010
1523,1206,167,93.6,3.3,1.0,1.1,0.7,1011
528,428,84,96.4,2.1,0.0,1.1,0.0,1012
22943,17800,3310,68.5,25.1,3.1,1.4,2.3,1013
30629,25154,5958,79.4,14.6,3.0,2.6,1.3,1020
2528,2193,574,66.8,10.6,15.7,6.5,1.8,1022
1018,821,227,95.7,1.0,3.2,1.1,0.0,1026
17872,14990,3156,88.7,6.6,1.8,2.1,1.3,1027
16063,12688,3299,87.8,2.8,6.0,1.3,2.0,1028
760,641,132,97.6,0.5,0.9,0.9,0.0,1029
11278,8888,1772,89.8,6.3,1.7,0.3,1.9,1030
1192,1005,230,96.6,0.8,0.7,1.9,0.0,1031
590,488,80,97.6,1.7,0.0,0.0,0.7,1032
6310,5127,993,90.9,6.9,0.0,1.0,0.3,1033
2323,1919,357,96.5,1.7,0.0,1.2,0.2,1034
5338,4454,1204,89.8,4.5,2.3,0.8,2.2,1035
5190,4240,1145,97.1,2.0,0.2,0.2,0.5,1036
755,604,146,88.7,9.7,1.6,2.6,0.0,1037
2853,2396,689,97.7,0.0,0.7,0.3,1.3,1038
1194,1030,222,97.0,2.5,0.5,0.7,0.0,1039
40280,30555,5497,43.2,50.0,3.5,2.2,1.8,1040
2343,1865,370,93.2,0.3,4.1,1.9,0.0,1050
1697,1426,482,89.8,4.5,3.7,1.2,0.9,1053
1972,1587,477,95.0,1.4,0.8,1.6,1.1,1054
21352,17292,3704,89.9,6.6,1.2,0.9,1.3,1056
8773,7012,1393,95.8,1.4,0.3,1.9,0.6,1057
15407,13344,2324,80.2,9.1,3.3,3.0,5.3,1060
10867,8485,1712,81.2,8.1,1.4,3.3,6.2,1062
563,558,0,63.8,8.2,4.1,7.1,19.0,1063
12,12,12,100.0,0.0,0.0,0.0,0.0,1066
1825,1451,230,95.5,2.5,0.2,0.9,0.3,1068
8753,7022,1361,96.2,1.7,1.4,0.6,0.1,1069
562,473,126,90.9,2.5,0.5,3.6,2.5,1070
1271,1036,215,95.3,0.9,0.7,2.1,0.6,1071
1542,1220,200,88.8,4.5,0.8,4.7,0.6,1072
6081,4941,1131,98.3,0.4,0.0,0.2,1.0,1073
228,155,0,100.0,0.0,0.0,0.0,0.0,1074
17770,15201,3162,85.7,5.3,3.1,3.0,3.8,1075
9650,7695,1752,95.8,0.2,0.0,2.4,1.6,1077
811,583,166,96.1,3.9,0.0,0.0,0.0,1079
