hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
1423,3173,1720,17.6,601
3067,5774,4203,21.4,602
3812,9690,5981,23.0,603
529,1515,385,10.7,606
1959,6510,2266,15.1,610
3609,12113,8055,24.7,612
824,2666,890,13.8,616
1153,5508,2170,15.9,617
547,1393,743,19.6,622
3210,7481,5895,25.4,623
1866,4878,2297,17.5,624
2350,6055,3632,20.5,627
191,263,136,12.1,631
1400,5494,2755,20.1,637
1270,3726,1361,12.8,638
2117,5575,3028,18.2,641
2287,6534,5365,29.8,646
569,1407,512,16.1,647
966,3841,908,10.2,650
331,714,451,20.9,652
1110,2953,941,15.4,653
1443,4100,2129,18.9,656
3157,6140,4760,22.8,659
1131,3835,2069,22.4,660
3023,8698,4415,19.7,662
760,3701,1200,15.6,664
2451,4304,1846,15.1,667
2192,4323,2714,18.3,669
868,1667,810,15.7,670
2528,7401,5137,22.3,674
1973,7737,3765,19.1,676
1373,2315,1681,20.7,677
1814,4852,2741,19.0,678
3920,11049,4654,19.0,680
2237,5825,3490,25.8,682
2218,6648,3713,22.9,683
2658,6512,4246,18.1,685
2335,5874,2604,16.3,687
1164,3037,1077,14.9,688
363,815,984,36.1,690
3889,5552,3260,19.1,692
9489,4956,6023,19.7,693
0,0,0,0.0,694
2713,7836,4152,19.6,698
2114,5967,2015,13.2,703
674,1457,734,21.0,704
1527,5332,2770,20.8,705
966,2047,1074,16.6,707
998,4216,1619,16.7,714
327,618,177,9.4,715
1664,5523,4562,31.5,716
854,3177,1929,26.9,717
1718,4784,2897,20.0,718
1951,5320,2663,15.8,719
1614,4545,1860,15.7,720
1234,3903,1381,14.5,723
5034,16780,11100,26.2,725
2443,8635,8770,34.0,727
2356,8329,4872,23.0,728
3254,10511,5257,19.8,729
2483,7381,3591,22.3,730
814,3460,1638,19.2,731
935,2960,1061,18.7,735
2702,10894,5460,22.6,736
2037,7219,3844,21.6,738
1949,8294,4257,22.7,739
140,394,51,10.8,740
415,1343,326,10.1,741
3518,11197,5252,19.5,745
1643,5199,1743,16.0,751
2411,7770,3697,18.4,754
1207,4558,2518,24.2,757
820,2029,695,17.5,765
1487,5465,2163,16.8,766
2383,6691,2851,15.1,767
