HI_0-5k,HI_5-10k,HI_10-15k,HI_15-20k,HI_20-25k,HI_25-35k,HI_35-50k,HI_50-75k,HI_75-100k,HI_100-150k,HI_150k_plus,zip
1304,978,839,548,298,596,582,294,31,23,24,601
1799,2105,2019,1498,946,1404,1284,1009,329,264,81,602
3737,2571,2598,1848,1401,2211,2045,1617,523,451,231,603
487,364,267,209,185,239,207,56,0,0,0,606
923,1255,1426,958,843,988,1212,894,157,163,39,610
4227,3128,2523,2321,2195,2469,2618,2079,643,285,101,612
747,460,445,416,217,455,353,280,68,51,23,616
1228,1447,957,822,761,968,804,560,300,82,0,617
361,368,320,264,55,318,177,156,25,16,73,622
2552,1970,1764,1591,1017,1586,1247,1128,366,232,70,623
956,1170,1115,875,598,1087,977,557,136,86,24,624
1872,1473,1701,1552,926,1243,1090,1010,277,220,67,627
203,125,120,25,30,38,41,46,15,0,0,631
1015,1178,1225,758,639,961,795,600,181,110,17,637
1246,851,888,655,535,557,750,330,83,27,16,638
1884,1167,1151,1008,826,1343,942,587,203,71,36,641
1439,943,1000,1228,850,1260,1472,1741,730,646,619,646
314,308,444,300,172,172,76,101,18,0,0,647
893,460,725,534,729,546,639,417,153,42,11,650
55,198,187,137,225,184,166,97,13,53,0,652
891,628,499,414,265,356,294,183,6,6,22,653
740,1126,1026,793,651,859,665,441,128,35,14,656
1823,2177,2226,1758,899,1463,1399,1470,380,403,95,659
669,1138,766,627,683,713,824,555,123,112,43,660
2331,1972,1980,1665,1136,1767,1737,954,358,169,75,662
1055,695,786,470,711,610,373,248,126,44,0,664
1804,1362,1216,823,530,946,793,359,119,14,48,667
2215,1398,1237,927,846,1002,1009,763,65,123,35,669
755,344,410,247,184,301,341,191,34,26,0,670
2546,1965,2031,1322,1479,1861,1551,1632,461,465,61,674
2860,2003,2069,1338,1094,1248,1297,974,177,166,84,676
668,825,366,579,304,868,680,605,125,88,33,677
1387,1533,1404,936,840,859,992,806,147,107,22,678
4474,2787,2539,1817,1451,1652,1946,1089,341,286,175,680
3190,1540,1216,906,820,1294,1115,819,479,312,211,682
2102,1820,1563,1125,1111,1190,957,822,228,177,122,683
2892,1993,2292,1452,1139,1497,1420,982,195,94,69,685
1346,1034,1014,1400,1224,1427,1137,810,368,91,92,687
676,690,553,466,434,593,400,330,116,19,9,688
450,209,412,202,314,210,95,342,115,22,0,690
1586,1308,1748,1441,756,1309,1316,939,609,329,279,692
2932,2398,2317,1917,1420,2416,1876,2058,607,304,160,693
0,0,12,17,0,0,0,0,0,0,0,694
1997,1851,1511,1190,751,1221,1118,736,198,117,37,698
1429,1190,1136,919,700,969,1038,703,208,109,63,703
536,421,554,341,254,347,143,222,20,25,0,704
994,1107,1049,1068,739,1369,825,653,192,200,26,705
508,542,448,454,505,479,502,384,5,13,22,707
802,891,1046,690,548,1002,545,311,61,78,0,714
248,139,263,173,44,96,72,29,0,0,9,715
2303,1393,1149,966,894,1438,1133,772,497,240,365,716
1829,1038,753,544,403,647,566,480,198,84,98,717
1046,996,1028,1177,967,1160,780,833,197,28,29,718
1229,1364,846,947,814,1202,1103,849,229,91,27,719
1662,884,1082,492,594,801,682,359,16,64,29,720
988,1181,830,906,511,680,562,426,114,30,25,723
4494,3309,3480,3349,2481,3585,3375,3156,1623,864,500,725
1711,1595,1624,1469,1618,2698,3048,3042,1232,975,699,727
1831,1474,1819,1824,1163,1670,1674,1220,415,156,38,728
