HI_0-5k,HI_5-10k,HI_10-15k,HI_15-20k,HI_20-25k,HI_25-35k,HI_35-50k,HI_50-75k,HI_75-100k,HI_100-150k,HI_150k_plus,zip
2177,1744,1922,2070,1187,1966,2474,1532,685,389,187,729
2620,1676,1547,1232,866,1405,1189,697,354,171,204,730
923,503,649,372,269,641,501,282,107,64,69,731
435,688,538,631,363,688,552,293,83,142,30,735
1959,2421,2036,1892,1784,2088,2021,1652,706,474,186,736
2023,1204,1161,1586,881,1547,1445,952,563,152,79,738
1638,1178,1485,1547,1004,1391,1421,1196,385,369,123,739
135,161,67,70,66,81,24,34,0,0,0,740
113,220,229,151,79,290,264,111,8,29,0,741
1840,1710,1662,1760,1762,2144,2242,1858,469,419,110,745
1312,1094,1073,927,668,972,963,506,194,94,26,751
1930,1762,1837,1594,1227,1659,1545,1397,362,289,71,754
1257,855,1133,851,579,741,850,798,168,187,46,757
250,446,490,201,202,308,302,153,10,41,0,765
945,988,1092,927,647,1147,1016,708,191,114,34,766
2244,1716,1619,1291,868,1728,1045,762,261,176,20,767
2290,1708,1594,1058,979,1906,1717,1061,617,218,122,769
1924,1105,1682,1159,1084,1776,1656,1183,390,256,158,771
1636,873,690,689,565,763,777,437,157,50,0,772
802,924,695,750,582,856,839,618,286,106,61,773
40,52,87,31,39,79,73,41,23,0,0,775
2173,1442,1663,1412,1302,1453,1610,1394,367,91,24,777
1419,1338,1153,1090,862,1789,2068,2030,1214,1049,721,778
605,704,186,169,401,701,396,428,164,119,148,780
1451,818,859,618,355,585,416,317,54,22,0,782
2446,1651,1266,1198,687,1306,994,720,225,53,34,783
2277,2076,2111,1681,1278,1566,1403,1116,371,233,31,784
0,0,22,23,21,0,33,28,0,0,0,786
2137,1979,2082,2072,1493,2437,1858,1303,456,344,233,791
1530,1586,1120,1030,561,1180,1074,614,139,43,41,794
2254,1656,1876,1551,1369,1932,2017,1525,444,338,121,795
546,299,237,245,170,203,226,211,127,184,295,901
6,7,0,0,15,0,0,14,13,21,39,906
742,603,726,703,488,1168,993,1030,681,731,775,907
568,237,269,230,148,193,231,219,145,74,32,909
336,435,379,222,142,454,439,579,214,288,233,911
346,248,297,242,200,317,331,207,114,96,93,912
1551,510,319,288,171,138,89,139,87,76,24,913
2674,1722,1446,1477,807,1183,878,531,140,69,53,915
1794,1200,1276,904,556,856,698,432,194,222,106,917
1559,853,826,530,404,759,762,1013,459,509,412,918
618,628,776,644,683,1094,894,1023,277,166,121,920
2721,1413,1375,1501,1060,1465,1774,1510,494,195,166,921
2775,1304,1185,931,706,1156,995,590,271,142,32,923
4320,2301,1843,1556,1395,2103,2163,2227,585,659,292,924
1029,731,331,355,172,199,284,184,9,28,33,925
4061,2603,2996,2725,2085,3822,4516,4950,3365,2681,2616,926
537,376,615,335,458,792,850,761,437,382,429,927
0,0,0,0,19,0,0,15,0,0,0,934
0,0,0,0,0,0,0,0,0,0,0,936
2854,2496,2319,2234,2092,3558,3541,3641,1447,923,256,949
0,0,0,0,0,0,0,0,0,0,0,950
0,0,0,0,0,0,0,0,0,0,0,951
448,490,486,336,191,332,276,145,90,31,0,952
2408,1780,1873,1805,1494,3214,2515,3094,1624,1380,500,953
3158,2554,2831,2429,1995,3207,3567,3177,1110,450,107,956
2032,1185,1432,1475,1196,1717,2337,1709,676,489,192,957
1951,1467,1529,1637,1191,2212,2799,2734,1454,646,346,959
0,0,0,0,0,0,0,0,0,0,0,960
1536,857,907,1077,754,1293,1522,1729,734,673,364,961
1434,1054,778,645,509,719,831,531,146,126,115,962
518,403,395,328,122,324,259,165,44,29,11,965
522,234,459,384,225,590,624,844,407,611,884,966
109,161,139,109,70,201,170,303,134,145,285,968
894,743,934,694,646,1541,1492,2431,1269,1845,1836,969
779,1144,1389,993,765,1002,929,955,297,443,158,971
1964,1790,2027,1723,1403,2846,3283,3162,1498,1042,657,976
390,271,481,886,763,1148,909,1495,578,704,444,979
783,460,535,502,700,735,1201,633,228,125,51,982
1371,1280,1543,1191,1285,1819,2100,2112,542,356,165,983
1050,1256,1153,1395,1239,1821,1774,1658,608,338,52,985
1664,1765,1590,1581,1550,3137,3373,3432,1757,1096,495,987
224,182,359,319,349,519,939,1443,832,1427,888,1001
721,504,511,429,379,1051,978,1069,1177,1344,1714,1002
22,0,10,0,0,0,0,0,4,0,0,1003
27,22,42,51,77,83,249,454,85,369,339,1005
61,84,150,105,98,473,349,694,971,1204,1286,1007
3,3,8,14,15,56,44,110,73,132,52,1008
11,0,0,0,0,0,0,33,29,32,0,1009
9,9,95,81,48,112,168,118,195,309,287,1010
29,7,35,21,22,41,60,94,80,127,53,1011
0,11,6,10,17,18,41,54,35,26,34,1012
289,420,689,794,733,1292,1071,1651,1159,798,389,1013
320,304,688,817,456,958,2093,2093,2000,2044,836,1020
0,24,47,38,98,202,284,175,83,139,18,1022
0,19,21,32,15,52,66,87,68,53,36,1026
147,46,401,237,319,855,1123,1550,1149,1398,751,1027
68,17,187,145,318,435,585,745,939,1371,1147,1028
16,0,19,10,21,38,23,32,56,32,36,1029
56,30,143,153,132,345,462,917,586,750,820,1030
34,29,60,29,25,36,67,60,59,56,52,1031
0,0,19,0,7,26,22,25,36,80,13,1032
27,37,71,45,104,214,262,216,346,583,588,1033
7,0,24,31,20,44,74,158,123,227,133,1034
15,56,144,61,12,319,224,483,262,358,421,1035
48,0,57,119,34,102,173,315,334,337,466,1036
0,0,0,0,0,26,18,45,46,87,25,1037
0,24,66,31,9,214,130,266,188,244,158,1038
0,22,22,9,30,25,65,76,55,103,104,1039
687,1216,1594,1193,720,1598,1717,2383,1508,1389,1270,1040
37,11,41,62,48,37,180,166,163,209,77,1050
40,20,7,12,41,87,59,126,86,50,84,1053
3,8,22,10,40,53,63,111,120,137,213,1054
164,116,195,323,282,679,844,1570,1324,1433,1031,1056
27,62,61,157,73,257,403,540,579,741,548,1057
241,265,564,282,275,554,650,1034,791,846,984,1060
80,227,125,152,94,439,374,580,648,736,610,1062
0,0,0,0,0,0,0,0,0,0,0,1063
0,0,0,0,0,0,9,0,0,0,0,1066
3,0,9,17,23,27,87,119,113,161,111,1068
53,131,124,183,214,164,578,602,486,641,381,1069
0,2,11,13,23,28,48,57,35,15,29,1070
10,4,16,0,22,40,82,77,135,93,34,1071
3,10,28,13,38,57,52,111,105,134,99,1072
18,22,64,83,82,185,159,415,219,522,628,1073
0,0,0,0,0,0,39,39,73,0,0,1074
147,180,266,312,315,489,824,1215,868,1213,853,1075
123,90,110,98,74,480,385,516,508,652,765,1077
0,0,32,21,44,116,0,11,49,35,11,1079
59,31,20,58,104,55,114,180,156,96,82,1080
6,3,26,66,79,70,96,164,112,88,65,1081
101,257,197,147,299,312,780,814,541,843,274,1082
0,49,78,54,101,92,99,95,255,186,104,1083
0,0,3,3,7,5,8,10,16,15,9,1084
340,242,571,602,466,1531,2262,3218,1742,2512,2071,1085
0,0,0,0,0,0,0,0,0,0,0,1086
21,13,19,0,9,26,19,43,37,17,7,1088
415,533,516,531,736,1422,1766,2073,1406,1567,1072,1089
26,0,22,16,44,0,24,86,91,138,93,1092
0,0,7,3,7,2,9,15,16,17,40,1093
0,19,18,50,0,24,24,7,7,19,8,1094
99,94,15,192,150,287,477,528,602,1327,1582,1095
0,24,38,25,63,62,114,144,180,288,147,1096
0,0,0,10,0,3,0,8,0,0,0,1097
9,0,36,16,25,42,47,98,82,138,69,1098
129,165,317,168,20,152,165,161,50,73,49,1103
198,633,1001,1001,765,1427,1217,1173,789,536,337,1104
424,732,897,438,477,831,452,282,271,80,81,1105
41,81,137,101,119,281,420,641,739,1358,1908,1106
188,460,607,392,146,494,451,431,234,274,117,1107
508,745,851,831,476,1091,1175,1701,1044,948,508,1108
418,707,1001,948,623,1027,1342,1334,867,724,276,1109
246,219,253,218,138,389,680,1143,657,1151,592,1118
155,253,536,253,257,613,569,892,589,645,204,1119
18,0,44,64,75,114,54,270,73,269,97,1128
128,58,115,89,160,88,482,680,351,426,253,1129
110,193,237,250,203,437,653,521,350,293,88,1151
0,0,0,0,0,0,0,0,0,0,0,1199
579,835,1251,1426,1101,2085,2787,3191,2227,2740,1657,1201
86,140,213,226,177,442,675,734,339,492,318,1220
0,9,18,0,10,27,73,67,74,33,26,1222
3,17,31,18,64,80,117,184,179,223,127,1223
17,0,0,0,45,0,43,0,21,0,0,1224
50,30,43,44,59,98,150,309,339,221,80,1225
133,30,73,68,148,337,536,657,385,377,346,1226
0,6,19,0,0,5,0,7,6,0,0,1229
220,28,71,236,109,308,527,411,501,725,429,1230
8,24,43,22,34,81,152,315,192,153,151,1235
10,2,9,0,17,61,55,112,38,61,97,1236
53,19,4,41,32,65,82,175,196,177,158,1237
36,29,50,107,116,157,280,408,306,547,256,1238
96,0,72,68,102,250,198,356,268,359,406,1240
0,0,0,0,0,13,16,51,50,42,0,1242
7,2,0,4,16,14,18,27,10,15,27,1243
0,0,0,0,10,0,9,9,10,0,3,1244
3,8,4,23,3,54,53,59,35,101,73,1245
312,287,546,482,447,805,932,1159,745,707,330,1247
0,3,22,19,3,23,31,65,47,86,52,1253
19,12,4,6,16,23,70,80,35,98,126,1254
2,8,11,6,10,30,25,96,50,47,70,1255
0,2,11,10,19,39,40,68,35,48,25,1256
17,8,27,36,37,134,45,119,95,206,205,1257
2,5,11,3,9,22,36,50,31,18,45,1258
4,0,27,4,3,18,43,47,17,44,70,1259
11,0,11,0,0,17,21,0,0,60,32,1260
18,11,22,80,59,115,49,76,27,35,43,1262
3,0,6,0,10,2,4,17,10,5,19,1264
14,0,38,5,43,40,75,109,88,84,105,1266
59,27,116,81,64,179,173,384,297,491,526,1267
0,8,13,8,8,16,38,64,35,67,77,1270
157,213,552,740,393,805,1170,1438,1059,937,525,1301
6,7,16,3,9,43,106,130,93,82,93,1330
145,79,373,312,243,456,771,933,655,1025,289,1331
11,15,34,46,50,86,145,241,120,157,148,1337
0,0,0,0,0,9,6,18,11,6,0,1338
17,8,9,15,42,72,68,102,121,85,41,1339
19,28,33,6,35,71,103,221,94,85,48,1340
0,10,6,16,11,51,40,177,62,174,204,1341
0,0,25,0,30,11,40,104,63,122,62,1342
0,0,4,5,0,0,0,2,8,5,0,1343
7,6,27,33,33,35,105,99,106,81,49,1344
2,9,6,6,8,16,10,37,20,43,16,1346
0,7,0,0,0,8,14,30,0,20,0,1347
6,0,22,19,6,6,78,124,106,62,34,1349
3,2,5,5,5,9,8,3,1,3,3,1350
24,0,44,8,65,0,178,133,231,152,124,1351
0,16,13,14,15,54,88,128,87,108,53,1354
5,6,17,23,10,20,60,75,57,92,41,1355
11,49,35,9,69,54,178,215,193,265,156,1360
35,78,374,192,145,436,420,424,418,439,238,1364
6,4,24,25,23,53,35,112,74,62,77,1366
1,4,5,27,16,34,17,34,40,32,12,1367
3,0,20,25,18,7,89,96,72,139,28,1368
103,37,75,99,118,154,197,331,302,276,147,1370
21,38,37,109,79,104,165,477,285,315,344,1373
37,73,13,49,209,162,95,437,160,191,184,1375
89,71,176,215,212,230,329,356,298,244,99,1376
11,4,18,12,6,55,34,75,50,52,22,1378
9,30,41,21,21,38,43,65,57,42,18,1379
410,525,989,704,732,1496,1904,2740,2030,2099,1188,1420
0,24,24,0,45,102,176,315,358,547,417,1430
0,11,16,15,19,57,66,206,146,357,217,1431
89,31,167,61,55,88,284,651,445,841,703,1432
13,0,0,0,0,0,63,46,0,64,26,1434
10,0,18,100,142,110,122,245,148,299,80,1436
16,0,0,0,0,0,0,49,36,58,47,1438
271,245,604,436,423,901,1222,1469,1140,961,550,1440
46,46,80,205,40,200,176,405,363,824,1663,1450
16,0,0,0,62,46,73,159,97,291,839,1451
0,0,124,17,46,57,204,227,261,377,419,1452
552,406,846,1111,862,1619,2014,2972,2230,2596,1733,1453
40,24,94,91,145,145,270,396,256,760,1338,1460
111,64,174,118,128,193,257,506,475,1092,1085,1462
60,57,187,62,155,206,269,537,694,1127,984,1463
28,29,68,114,88,177,264,635,264,408,366,1464
0,0,42,0,0,7,0,0,21,21,44,1467
16,0,87,49,32,113,243,385,292,313,221,1468
12,22,77,74,19,126,268,579,440,596,522,1469
0,0,53,28,108,170,145,336,618,719,667,1473
15,0,11,12,51,50,48,77,104,135,191,1474
18,66,376,80,120,274,395,611,560,934,387,1475
140,89,151,268,162,456,714,1087,958,1353,1325,1501
5,20,22,10,55,89,69,150,129,244,332,1503
16,41,80,95,136,228,293,596,435,783,725,1504
36,0,38,19,55,156,202,232,170,363,500,1505
9,20,7,69,60,191,215,228,178,258,232,1506
118,25,77,126,99,315,394,746,579,1194,1213,1507
66,113,212,200,84,500,653,1139,829,999,738,1510
10,11,19,25,40,53,52,137,166,199,110,1515
28,37,133,54,75,117,175,557,570,643,757,1516
66,0,93,0,95,185,125,214,58,298,315,1518
18,48,63,48,81,81,196,331,260,561,763,1519
45,76,113,136,94,248,406,710,869,1236,1759,1520
43,0,0,22,10,57,129,137,179,233,143,1521
15,0,0,37,29,65,76,170,156,351,251,1522
0,7,104,0,16,85,240,394,250,771,437,1523
59,83,118,78,90,125,330,429,316,520,369,1524
0,0,34,0,0,0,72,17,27,13,0,1525
95,98,210,206,49,422,374,992,571,1108,1109,1527
22,12,40,61,34,76,140,203,152,255,231,1529
10,2,7,9,8,39,38,74,76,100,97,1531
31,37,103,73,120,224,378,737,620,1194,1912,1532
56,11,129,56,21,114,258,291,269,404,698,1534
26,46,49,52,97,162,147,378,240,433,191,1535
64,37,93,25,151,122,108,381,284,774,764,1536
0,0,0,37,75,69,85,201,267,173,47,1537
81,117,264,171,172,402,420,712,471,755,751,1540
10,38,16,10,10,26,71,143,85,290,541,1541
0,0,9,7,10,42,76,84,112,307,141,1542
29,26,36,0,39,140,323,426,393,783,761,1543
137,123,160,266,393,850,917,1642,1797,2787,4068,1545
202,393,445,408,320,746,898,1303,889,958,381,1550
58,0,21,63,26,158,252,256,171,315,413,1560
0,0,0,0,0,16,0,49,0,43,0,1561
140,111,254,121,299,384,249,945,742,1195,425,1562
15,26,26,56,13,197,235,437,290,511,949,1564
18,36,45,43,41,84,204,360,236,510,569,1566
33,26,60,0,44,194,167,139,337,516,1092,1568
75,57,92,192,144,257,340,674,533,1114,1327,1569
130,79,335,350,425,750,957,1167,1101,996,594,1570
84,62,143,170,177,332,322,797,378,722,691,1571
171,28,126,77,171,393,404,985,807,1220,2412,1581
46,23,77,58,67,85,235,383,234,340,526,1583
21,41,58,55,50,198,235,359,285,332,240,1585
144,0,139,65,120,407,295,579,587,665,533,1588
15,27,140,57,35,229,183,433,501,731,1090,1590
512,187,457,452,358,887,1151,1583,1219,1518,1371,1602
628,391,506,439,485,754,988,1048,704,799,368,1603
700,684,850,823,899,1283,1700,2511,1679,2255,1191,1604
675,666,1111,719,860,932,1371,1650,929,1221,522,1605
164,242,285,364,418,723,852,1497,1327,1300,948,1606
118,137,305,279,187,472,437,788,368,447,176,1607
131,278,145,183,131,228,298,176,62,15,70,1608
595,336,661,667,343,558,1052,873,495,1139,1003,1609
822,336,778,690,450,1009,1303,1168,685,439,248,1610
0,15,0,19,18,76,70,142,118,174,160,1611
9,0,23,52,56,39,148,202,257,209,575,1612
239,215,292,208,228,813,971,1510,1312,3022,4187,1701
633,546,945,621,655,1418,1797,2589,2107,2142,1774,1702
23,0,0,0,0,0,0,0,51,39,148,1718
47,10,48,11,74,59,221,351,267,306,869,1719
135,55,361,165,131,319,385,811,659,1752,3754,1720
88,51,147,206,207,197,472,903,581,1273,2560,1721
74,38,107,58,72,198,349,585,677,761,2311,1730
0,0,0,0,0,66,62,65,99,144,119,1731
0,10,37,24,22,45,87,163,130,287,873,1740
28,18,8,29,54,70,113,73,92,251,1087,1741
177,53,137,41,123,207,301,714,489,1335,3195,1742
0,0,0,8,0,10,7,29,19,92,45,1745
47,10,63,157,93,187,283,538,603,1116,2181,1746
48,62,56,66,68,157,77,284,138,777,530,1747
16,105,91,68,8,124,386,541,460,911,3281,1748
68,72,176,332,192,552,696,1215,1059,1586,1738,1749
260,161,381,547,560,1062,1890,2598,2005,3168,3086,1752
51,129,93,118,163,252,385,413,503,987,1156,1754
0,26,11,36,12,68,87,181,303,388,911,1756
231,180,427,416,344,689,1156,1678,1773,2408,1833,1757
264,94,196,467,399,870,934,1692,1530,2662,5202,1760
32,0,0,31,19,40,59,103,69,298,905,1770
62,24,69,18,73,132,128,236,360,572,1604,1772
18,63,34,75,83,88,85,209,166,345,974,1773
50,0,35,37,14,97,152,336,199,400,1255,1775
75,42,38,122,86,228,210,411,521,781,3841,1776
61,68,75,122,62,164,195,331,330,851,2743,1778
194,227,325,573,470,864,1250,2624,2312,3736,3181,1801
134,155,101,310,253,461,803,1175,1354,1965,3231,1803
185,190,206,164,256,382,641,1340,1036,1870,6204,1810
146,127,231,176,214,557,1141,1424,1367,3153,2973,1821
78,121,221,145,189,427,793,1031,1098,2048,3615,1824
130,215,408,371,373,712,1061,1557,1493,2445,2459,1826
12,5,0,11,27,25,85,122,106,249,498,1827
273,354,603,475,438,721,1065,1984,1333,1500,1303,1830
196,211,474,335,583,661,1122,1242,1101,1619,1305,1832
42,0,114,57,23,94,238,422,332,699,1232,1833
72,16,30,96,84,85,206,369,255,604,551,1834
102,58,72,141,201,430,508,1111,837,1100,697,1835
186,299,343,180,253,119,188,310,153,146,85,1840
747,878,1439,785,1008,1721,2105,2996,1349,1203,564,1841
422,506,446,421,276,1205,1064,1362,1092,1268,516,1843
395,355,638,562,789,1213,1976,2929,2133,3369,3333,1844
192,135,366,322,286,728,680,1214,1137,2048,4013,1845
375,124,247,499,317,467,845,901,580,751,351,1850
393,251,511,400,646,861,1486,1676,1518,1498,925,1851
598,644,1367,712,715,915,1443,2156,1897,1855,1445,1852
671,552,1070,570,465,869,780,1548,1111,1281,575,1854
12,14,90,108,100,211,283,446,319,385,807,1860
116,26,27,103,104,253,156,481,451,876,795,1862
7,104,173,85,245,286,305,500,325,870,960,1863
32,14,98,78,74,146,227,870,643,1056,2174,1864
45,141,162,257,313,258,768,951,1102,1644,3458,1867
242,201,374,310,289,503,730,1541,1754,2814,2771,1876
83,0,79,188,135,145,275,527,564,993,1451,1879
154,181,250,308,317,513,872,1686,1234,2185,2856,1880
95,71,103,153,164,406,362,765,783,1618,3830,1886
48,156,73,166,248,196,457,917,1016,2106,2645,1887
72,41,129,141,132,333,337,854,411,1260,4169,1890
119,79,163,55,61,66,121,77,57,87,0,1901
896,1232,1505,938,839,1530,2421,2739,2014,1784,1349,1902
90,78,120,164,195,373,700,960,857,1638,989,1904
359,386,503,374,371,615,1079,1343,1247,1353,744,1905
210,212,518,409,196,638,1041,1503,1583,2146,1980,1906
67,61,158,183,153,266,322,647,525,1136,2017,1907
9,0,64,20,59,63,248,231,191,228,459,1908
158,177,119,232,208,489,642,1306,936,1444,1420,1913
313,308,926,709,653,1235,1543,2197,2116,2915,3772,1915
15,0,0,54,14,41,150,205,316,435,1523,1921
16,47,80,0,53,55,30,209,146,127,381,1922
310,102,394,291,227,895,1220,1331,1299,2173,2461,1923
44,19,39,22,18,48,165,186,40,383,466,1929
312,268,641,706,702,938,1553,2126,1810,2060,2021,1930
0,0,0,0,0,0,0,0,0,0,0,1937
148,109,187,265,203,331,476,732,778,983,1471,1938
81,12,42,122,90,207,304,689,429,930,1985,1940
1,65,16,80,77,109,82,242,192,297,911,1944
162,155,186,120,340,333,761,770,844,1417,3148,1945
20,51,57,15,146,81,174,314,579,611,927,1949
75,91,287,257,248,522,419,1100,811,1428,2680,1950
0,16,14,30,79,73,91,261,303,383,404,1951
125,100,171,119,159,208,323,560,623,878,493,1952
622,463,1091,983,747,1827,2123,3922,2723,3658,3417,1960
73,99,76,195,83,151,386,468,552,532,628,1966
15,45,37,54,18,33,251,290,242,396,789,1969
628,503,1236,959,725,1578,1653,3173,2316,2924,2511,1970
129,41,44,87,57,187,111,257,242,374,1129,1982
0,16,106,43,87,55,130,206,117,371,1014,1983
28,7,31,30,64,73,79,154,169,176,586,1984
12,51,7,15,20,56,107,118,157,285,761,1985
146,32,123,87,197,306,672,794,878,1581,1614,2019
161,151,373,203,158,359,481,1260,1171,1666,3038,2021
20,41,100,132,136,131,106,303,323,385,1442,2025
142,123,230,381,316,665,751,1317,1179,1640,3230,2026
0,10,6,30,11,18,62,83,133,358,1304,2030
0,0,21,0,66,40,51,220,215,263,714,2032
70,66,178,134,140,373,493,950,985,1434,1834,2035
149,81,328,225,202,595,651,1317,1458,2448,4201,2038
203,106,185,265,234,456,580,895,524,1293,4002,2043
96,50,138,232,254,393,263,731,623,993,1087,2045
0,0,0,0,0,34,20,0,12,0,0,2047
137,103,71,107,214,391,613,1075,1016,1881,2869,2048
361,176,341,301,209,580,875,1156,1028,2028,2724,2050
51,68,92,63,91,107,190,335,306,661,2189,2052
54,42,101,74,140,148,294,426,455,1076,1881,2053
25,13,15,92,94,174,226,430,255,741,942,2054
37,12,20,61,20,114,126,265,271,707,1516,2056
83,9,97,75,60,142,129,440,198,569,1872,2061
227,227,405,319,485,530,981,1628,1752,2688,2522,2062
103,52,300,255,75,286,403,659,758,1332,2623,2066
86,70,115,56,20,218,337,429,652,1409,2882,2067
0,0,0,0,0,15,0,49,16,100,79,2071
260,177,408,269,329,761,1267,1621,1369,2277,2046,2072
83,48,162,222,148,394,647,824,641,1405,2516,2081
97,55,53,121,75,167,301,423,489,875,2818,2090
56,78,115,57,137,244,280,515,370,774,1536,2093
77,18,27,0,0,95,100,89,230,325,849,2108
27,59,23,32,17,63,133,236,137,280,910,2109
58,34,27,0,73,86,110,141,80,201,575,2110
399,78,416,206,198,228,298,319,172,312,850,2111
63,84,135,94,111,178,196,772,532,1041,1127,2113
413,135,379,169,208,233,526,936,893,1254,2280,2114
1180,836,928,571,373,641,760,1165,616,986,1178,2115
545,365,662,338,284,667,675,1386,847,1734,4657,2116
741,959,1050,644,624,828,742,1358,627,1330,4059,2118
975,1353,1325,808,742,1019,1553,1081,805,1007,760,2119
597,415,452,377,233,475,568,727,352,391,346,2120
884,988,1462,709,555,1349,1015,1404,756,945,608,2121
252,359,513,500,359,543,1023,1425,1110,1362,1090,2122
923,1082,1327,1172,914,1622,2050,2665,1927,2838,2433,2124
778,616,1135,636,578,844,1174,1732,1466,1695,1820,2125
459,589,726,438,662,677,1256,1707,1254,1548,779,2126
651,705,992,540,612,854,905,1595,1676,3105,5341,2127
572,651,1032,865,758,1243,2135,3061,1703,2433,1946,2128
225,292,775,356,189,406,416,692,612,1565,3522,2129
574,628,875,711,446,858,1027,1901,2372,3300,3939,2130
361,462,704,378,646,803,1275,1816,1484,2289,2466,2131
134,257,323,607,362,489,699,1581,1197,2557,3215,2132
839,217,381,230,321,738,933,1327,854,1354,1011,2134
782,894,1347,543,831,1096,1547,3181,2330,4019,2969,2135
522,505,639,636,367,796,1390,2059,1396,1883,1762,2136
751,400,326,472,253,806,1083,1678,1620,2324,4418,2138
340,415,636,374,498,712,953,1784,1661,2870,4171,2139
345,335,487,146,379,610,765,742,876,1601,3159,2140
428,248,406,395,169,384,390,800,758,1311,1456,2141
128,24,46,4,14,54,82,145,129,257,639,2142
239,360,466,229,256,451,783,1563,1403,2788,2630,2143
206,239,364,326,381,490,520,1149,1371,2295,3550,2144
214,316,453,343,434,752,1078,1726,1452,2153,1852,2145
1211,808,1540,735,728,1970,2703,3734,3021,3718,2908,2148
476,518,472,995,702,1513,2092,2853,2251,2458,1406,2149
435,595,913,572,687,1553,1421,2452,1559,1701,1253,2150
927,491,1112,1219,587,1940,2812,3573,2219,3169,1950,2151
178,146,482,482,221,704,816,1409,986,1119,1463,2152
501,573,631,688,746,1321,1928,3120,2738,4891,5835,2155
60,6,30,19,39,69,37,76,74,63,44,2163
601,891,1184,1127,1119,1881,2363,4065,3520,4633,3692,2169
221,78,409,349,316,405,726,1242,1130,1253,1492,2170
279,78,374,133,350,500,517,1272,1273,1590,1520,2171
232,82,321,268,585,613,893,1395,1090,2110,3667,2176
193,148,358,163,178,524,988,1135,1270,1884,2400,2180
280,253,375,450,468,820,1154,1582,2022,2945,3725,2184
100,71,129,238,326,267,472,1010,704,1701,3863,2186
111,164,190,238,142,464,630,953,936,1269,1251,2188
201,62,200,358,269,394,561,1346,811,1015,989,2189
170,54,213,114,234,523,668,1170,953,1486,1565,2190
31,52,49,85,182,273,375,752,515,620,646,2191
