housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
5341,3740,1601,401,90900,601
12777,9630,3147,459,98300,602
19624,11258,8366,448,129200,603
1948,1463,485,394,104700,606
8781,6392,2389,524,104600,610
523,276,247,432,129700,611
23286,14505,8781,474,107800,612
3150,2123,1027,580,101100,616
8234,6065,2169,581,118800,617
2996,2145,851,565,107900,622
14572,10916,3656,540,117200,623
7344,5134,2210,492,87900,624
11585,8773,2812,578,103500,627
480,278,202,326,98300,631
262,114,148,336,67100,636
7265,5680,1585,454,103100,637
5814,4262,1552,371,93100,638
8854,5308,3546,458,99700,641
12006,9563,2443,664,150100,646
1844,1353,491,336,90100,647
5245,3619,1626,633,100800,650
1412,1022,390,678,118600,652
3627,2466,1161,329,80400,653
6429,4699,1730,413,83600,656
13061,9566,3495,541,121200,659
6084,4294,1790,531,112800,660
14067,8516,5551,512,122500,662
5056,2961,2095,444,102900,664
8259,5691,2568,520,98800,667
9997,6628,3369,483,97300,669
2702,1988,714,299,93200,670
14691,10775,3916,534,116300,674
12956,8193,4763,478,100700,676
5741,4117,1624,572,137200,677
9059,5916,3143,488,103700,678
17577,9774,7803,462,97700,680
12077,5992,6085,418,116900,682
10904,7409,3495,466,97200,683
14312,10006,4306,440,103200,685
9810,6970,2840,561,114100,687
3950,2504,1446,547,96100,688
2063,1370,693,782,138000,690
11968,8145,3823,631,128800,692
20435,15366,5069,572,116200,693
52,52,0,-,-,694
12264,9204,3060,495,98300,698
8993,5917,3076,432,129700,703
2443,1900,543,608,91600,704
8909,6883,2026,519,119000,705
3904,2782,1122,500,101300,707
6246,4821,1425,498,95200,714
780,623,157,609,79400,715
11547,7500,4047,481,121200,716
6678,3324,3354,417,110300,717
8138,5905,2233,511,97700,718
8692,5837,2855,502,100300,719
6514,4385,2129,469,95300,720
6222,4255,1967,486,93700,723
30818,19841,10977,546,134300,725
20011,14246,5765,800,144100,727
13069,10216,2853,489,105900,728
16661,12288,4373,585,115400,729
12950,8727,4223,502,100900,730
3924,3050,874,501,88800,731
4234,3114,1120,497,104600,735
17707,11273,6434,572,134500,736
11898,8312,3586,616,114200,738
12418,8254,4164,539,132900,739
718,374,344,489,96800,740
1338,1107,231,649,92800,741
16232,11809,4423,589,131500,745
7550,5803,1747,463,87900,751
13364,9601,3763,565,112300,754
7182,5730,1452,502,104400,757
2608,1790,818,441,114500,765
7808,6008,1800,487,101600,766
11808,8400,3408,498,94600,767
12770,9775,2995,493,99700,769
12150,9323,2827,478,118500,771
6408,4066,2342,436,98600,772
6800,4744,2056,485,125300,773
447,275,172,458,168500,775
13415,9784,3631,573,112500,777
14840,11430,3410,630,160400,778
