total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17982,13727,2722,0.2,99.8,0.0,0.4,0.0,601
40260,31626,5887,3.4,93.6,0.1,36.8,0.1,602
52408,41065,9244,1.7,96.2,0.2,14.9,0.4,603
6331,4901,1002,0.0,99.9,0.1,2.0,0.0,606
28328,22089,4755,0.9,98.8,0.0,11.8,0.0,610
64816,50367,11875,0.3,99.6,0.0,2.9,0.0,612
10707,8739,2195,0.2,99.8,0.0,2.6,0.0,616
24793,18914,3969,0.3,99.4,0.1,1.2,0.1,617
7425,5776,1635,0.9,99.1,0.0,0.1,0.0,622
42955,33706,8212,0.2,99.8,0.0,0.7,0.0,623
24628,18402,3413,0.6,99.4,0.0,2.6,0.0,624
33949,26374,5456,0.6,99.4,0.0,0.9,0.0,627
1664,1351,413,0.5,99.5,0.0,0.0,0.0,631
24398,18801,4576,1.0,99.0,0.0,2.3,0.0,637
18084,13863,2803,0.5,99.5,0.0,2.2,0.0,638
29516,22977,5098,0.3,99.6,0.1,2.1,0.0,641
38396,28838,5420,1.8,97.9,0.2,7.4,0.0,646
5740,4680,1421,0.1,99.9,0.0,1.7,0.0,647
14738,11145,2294,0.2,99.8,0.0,0.7,0.0,650
3800,2935,756,0.4,99.6,0.0,0.1,0.0,652
12514,9392,2060,0.6,99.4,0.0,2.3,0.0,653
20414,15558,3389,0.4,99.5,0.0,2.2,0.1,656
41578,32372,6851,0.4,99.3,0.0,1.1,0.3,659
16845,13495,3940,0.2,99.5,0.1,28.8,0.0,660
42499,33197,7337,0.7,98.9,0.2,2.9,0.0,662
15974,11950,2096,0.2,99.8,0.0,5.7,0.0,664
24968,19713,5030,0.1,99.9,0.0,3.5,0.0,667
27703,21592,4655,0.2,99.6,0.0,1.5,0.0,669
9333,7219,1565,1.1,98.9,0.0,0.2,0.0,670
42358,32519,7388,1.1,98.6,0.3,0.9,0.0,674
38999,29646,5460,0.4,99.2,0.0,6.1,0.0,676
14855,11802,3031,5.0,91.0,0.0,40.1,0.2,677
26815,20753,4208,0.5,99.3,0.2,1.4,0.0,678
52431,42583,10929,0.7,99.2,0.1,16.0,0.0,680
32431,25826,5849,0.8,98.7,0.0,16.8,0.1,682
32569,25859,6734,0.3,99.6,0.1,0.9,0.0,683
40800,31672,7701,0.6,99.3,0.0,1.5,0.0,685
32294,24178,4046,0.1,99.8,0.0,6.7,0.0,687
12870,10445,2098,1.0,98.9,0.0,0.8,0.1,688
5565,4111,1073,1.5,94.6,0.0,26.5,0.1,690
36777,27779,5396,1.1,98.6,0.0,6.8,0.0,692
58615,45151,9662,3.4,96.4,0.1,1.7,0.0,693
77,77,50,0.0,100.0,0.0,0.0,0.0,694
39395,30708,6824,0.5,99.5,0.0,2.9,0.0,698
28165,21667,4436,0.6,99.4,0.0,8.2,0.0,703
8007,5829,997,0.1,98.6,0.2,2.1,0.0,704
24717,19188,3983,0.2,99.8,0.0,0.8,0.0,705
11701,9127,2090,0.1,99.9,0.0,4.7,0.0,707
18988,14283,2979,0.2,99.8,0.0,3.1,0.0,714
3586,2696,763,0.0,99.1,0.9,24.2,0.0,715
30876,23695,5696,0.5,99.5,0.0,15.0,0.0,716
17704,13469,3287,0.7,98.7,0.2,15.4,0.4,717
26547,19838,3898,0.1,99.7,0.0,1.9,0.0,718
30588,23437,4481,0.1,99.6,0.0,28.2,0.0,719
22676,17106,2980,0.1,99.9,0.0,8.9,0.0,720
18441,14409,3158,0.1,99.8,0.0,2.9,0.0,723
86276,66946,15217,0.6,99.3,0.0,4.2,0.0,725
56503,43912,8738,0.9,99.1,0.0,3.4,0.0,727
41337,32086,6183,0.4,99.5,0.1,4.6,0.0,728
53439,40368,7285,0.1,99.9,0.1,0.3,0.0,729
34965,26954,6643,0.6,99.3,0.1,14.5,0.0,730
14382,11286,2567,0.4,99.6,0.0,9.4,0.0,731
13063,10186,2584,0.3,99.5,0.0,1.6,0.1,735
50335,39453,8385,0.5,99.4,0.0,1.8,0.1,736
33205,25606,6246,0.7,99.2,0.0,2.7,0.1,738
37970,29016,5166,0.3,99.6,0.0,2.6,0.0,739
1515,1073,306,0.0,100.0,0.0,0.0,0.0,740
5514,4492,961,0.2,99.6,0.0,2.2,0.0,741
53797,41577,8605,0.6,99.3,0.1,3.1,0.0,745
22777,17200,3705,0.3,99.2,0.0,2.3,0.5,751
